,Id,ExternalId,Name,Precursor,PrecursorType,RetentionTime,Significance,ClusterId,Consensus,Reference,Clusterable,ChromatographyType,FileId,IntegerMz,Mass,Formula,TopMz1,TopMz2,TopMz3,TopMz4,TopMz5,TopMz6,TopMz7,TopMz8,TopMz9,TopMz10,TopMz11,TopMz12,TopMz13,TopMz14,TopMz15,TopMz16
4128,371304,,Unknown,,,24.2175,,1266294.0,0,0,1,GAS,142.0,0,,,311.2766,73.0469,129.0729,312.2802,207.0324,43.0542,280.2634,135.0625,81.0699,253.0169,191.0014,281.051,326.9655,282.0505,43.0178,225.0427
4130,371306,,Unknown,,,57.607167,0.006919,1266296.0,0,0,1,GAS,142.0,0,,,268.2999,240.2683,296.3312,58.0653,269.3029,269.3231,281.0509,43.0542,207.0324,327.0355,341.0186,44.0077,42.9998,45.0156,241.2719,73.0468
4152,371328,,Unknown,,,25.322333,,1266318.0,0,0,1,GAS,142.0,0,,,43.0542,57.0699,69.0699,71.0855,85.1013,70.0778,130.1049,128.107,147.0656,225.059,340.3403,42.9998,111.1168,81.0699,83.0856,73.0469
4228,371404,,Unknown,,,52.509833,,1266394.0,0,0,1,GAS,142.0,0,,,207.0324,43.0542,253.0168,281.0509,42.9998,83.0856,67.0543,248.9888,341.0185,327.0355,267.0093,97.0105,96.0043,282.0506,85.1013,208.0317
4246,371422,,Unknown,,,31.281667,,1266412.0,0,0,1,GAS,142.0,0,,,207.0324,281.0509,253.017,429.0891,324.9862,355.0696,43.0178,75.0261,341.0172,342.0179,225.0428,192.9801,265.0202,43.0542,248.9888,299.061
4309,371485,,Unknown,,,24.325333,,1266475.0,0,0,1,GAS,142.0,0,,,311.2767,429.0891,73.0469,341.0172,312.2803,43.0178,129.073,355.0696,43.0542,221.0842,43.9893,327.0355,281.0509,207.0324,253.017,430.0881
4320,371496,,Unknown,,,10.525067,,1266486.0,0,0,1,GAS,142.0,0,,,79.0417,253.0169,78.0339,43.0178,192.9801,271.0276,327.0355,43.0542,266.9989,80.045,52.0308,73.0469,44.0212,281.051,117.0731,341.0187
4380,371556,,Unknown,,,20.683167,,1266546.0,0,0,1,GAS,142.0,0,,,296.3311,281.051,341.0187,207.0324,297.3346,43.0178,71.0856,79.0417,324.9862,57.0699,266.9998,44.0576,43.0542,58.0653,282.0505,85.1011
4391,371567,,Unknown,,,30.801333,,1266557.0,0,0,1,GAS,142.0,0,,,281.051,253.0169,207.0324,75.023,209.0119,43.0178,79.0417,324.9861,73.0469,341.0187,191.0007,327.0355,91.0543,43.9893,43.0542,192.9801
4414,371590,,Unknown,,,22.6235,,1266580.0,0,0,1,GAS,142.0,0,,,207.0324,281.051,43.0178,73.0469,327.0355,225.0427,50.0151,253.0169,324.9861,429.0893,299.0611,342.0176,359.028,43.0542,135.0806,133.0136
4433,371609,,Unknown,,,11.194033,,1266599.0,0,0,1,GAS,142.0,0,,,324.9862,341.0187,73.0469,128.0622,359.028,325.9865,342.0177,44.0257,49.0073,281.051,268.9783,42.0463,42.0099,343.0149,266.9998,360.0285
4435,371611,,Unknown,,,19.996167,,1266601.0,0,0,1,GAS,142.0,0,,,296.3314,73.0469,297.3347,58.0652,43.0542,49.0073,271.0277,42.0099,429.0891,42.0462,253.017,104.0256,205.0857,75.0261,209.0118,282.0507
9529,376705,,"Silane, (1,1-dimethylethyl)(dotriacontyloxy)dimethyl-",,,16.958367,,1271691.0,0,0,1,GAS,150.0,0,,,523.3113,524.313,449.2901,525.3204,485.326,495.2944,591.2892,551.3061,535.3627,189.0176,363.0071,463.038,450.299,146.9599,434.9853,146.9379
9603,376779,,"L-Glutamic acid, 3TMS derivative",,,14.35105,0.517062,1271765.0,0,0,1,GAS,151.0,0,,,73.06,128.08,73.06,147.07,156.07,248.14,230.1,348.16,246.12,84.04,75.03,218.13,129.07,204.1,100.05,148.06
9606,376782,,Unknown,,,19.286333,0.482863,1271768.0,0,0,1,GAS,151.0,0,,,73.06,73.06,191.1,306.16,217.13,319.17,265.11,218.12,307.15,204.11,432.21,219.11,192.1,133.04,148.06,221.09
10498,377674,,Unknown,,,9.821983,0.703794,1272660.0,0,0,1,GAS,153.0,0,,,73.06,73.06,283.06,314.13,207.04,192.98,133.02,191.0,147.06,316.1,225.05,315.13,211.01,302.1,284.06,134.98
10502,377678,,"L-Glutamic acid, 3TMS derivative",,,14.350883,0.368518,1272664.0,0,0,1,GAS,153.0,0,,,73.06,73.06,128.08,147.06,156.08,230.1,248.13,348.15,246.13,218.1,84.05,75.04,363.16,129.07,100.05,258.09
10504,377680,,"D-(+)-Talose, pentakis(trimethylsilyl) ether, methyloxime (syn)",,,17.347167,0.609015,1272666.0,0,0,1,GAS,153.0,0,,,73.06,205.11,73.06,147.06,160.07,320.17,217.12,321.16,206.11,103.04,157.06,129.06,229.12,117.03,189.07,207.1
10995,378171,,Unknown,,,19.2865,0.821949,1273157.0,0,0,1,GAS,154.0,0,,,73.06,147.05,73.06,191.09,306.16,265.12,204.1,218.13,319.15,307.16,219.11,192.1,129.06,133.04,221.1,291.12
11366,378542,,Unknown,,,9.8219,0.802473,1273528.0,0,0,1,GAS,155.0,0,,,73.05,73.05,300.1,283.05,207.03,315.11,301.11,192.99,133.0,147.05,190.99,316.09,225.04,302.08,210.99,134.98
13336,415754,,MSF_000000733970,354.2303,,,,,0,0,0,LC_MSMS_POS,157.0,0,,,85.0284,65.0382,65.0382,73.0458,129.9563,264.0294,108.0521,,,,,,,,,
17103,2147556,,Unknown,,,,,1265161.0,1,0,0,GAS,,0,,,113.0962,95.0856,73.0468,42.9998,75.0261,155.01545,225.05905,114.0994,240.0315,115.0574,278.10595,130.0765,43.0542,131.0343,67.0543,109.10135
