SpectrumId,SubmissionId,name
369351,139,"#1 221.0900@4.1873 MS1+"
369352,139,"#2 147.0600@6.1139 MS1+"
369353,139,"#3 145.0600@7.6903 MS1+"
369354,139,"#4 260.1900@9.0726 MS1+"
369355,139,"#5 313.2700@15.6597 MS1+"
369356,139,"#6 341.3000@17.3235 MS1+"
369357,139,"#7 271.2200@20.0510 MS1+"
369358,139,"#8 271.2200@20.0822 MS1+"
369359,139,"#9 221.1000@4.1936 MS1+"
369360,139,"#10 383.1800@12.0378 MS1+"
369361,139,"#11 186.1600@9.0602 MS1+"
369362,139,"#12 321.1500@20.2387 MS1+"
369363,139,"#13 441.3100@24.2857 MS1+"
369364,139,"#14 271.2200@20.1823 MS1+"
369365,139,"#15 271.2100@20.4763 MS1+"
369366,139,"#16 271.2200@20.2762 MS1+"
369367,139,"#17 271.2000@20.2887 MS1+"
369368,139,"#18 147.0500@8.2595 MS1+"
369369,139,"#19 341.2800@17.3050 MS1+"
369370,139,"#20 321.1500@20.3325 MS1+"
369371,139,"#21 132.0100@4.3186 MS1+"
369372,139,"#22 221.0700@4.2249 MS1+"
369373,139,"#23 263.1300@4.2185 MS1+"
369374,139,"#24 147.0500@6.1014 MS1+"
369375,139,"#25 164.9800@6.2452 MS1+"
369376,139,"#26 321.1700@20.1572 MS1+"
369377,139,"#27 145.0600@7.7279 MS1+"
369378,139,"#28 262.1200@8.2659 MS1+"
369379,139,"#29 383.1800@12.0691 MS1+"
369380,139,"#30 100.0300@5.7449 MS1+"
369381,139,"#31 164.9800@6.2829 MS1+"
369382,139,"#32 271.2200@20.4387 MS1+"
369383,139,"#33 271.2200@20.4825 MS1+"
369384,139,"#34 213.1100@5.7635 MS1+"
369385,139,"#35 296.1000@12.8198 MS1+"
369386,139,"#36 132.0100@4.6690 MS1+"
369387,139,"#37 218.1200@8.1407 MS1+"
369388,139,"#38 271.2200@20.0510 MS1+"
369389,139,"#39 115.0600@8.4346 MS1+"
369390,139,"#40 314.2500@15.6410 MS1+"
369391,139,"#41 441.3100@24.2733 MS1+"
369392,139,"#42 316.2600@26.0123 MS1+"
369393,139,"#43 341.2800@17.3675 MS1+"
369394,139,"#44 132.0100@4.3373 MS1+"
369395,139,"#45 233.1000@6.0827 MS1+"
369396,139,"#46 147.0500@7.9217 MS1+"
369397,139,"#47 316.2400@26.0060 MS1+"
369398,139,"#48 164.9700@6.3142 MS1+"
369399,139,"#49 147.0900@24.2797 MS1+"
369400,139,"#50 221.0700@9.1103 MS1+"
369401,139,"#51 165.9900@4.5688 MS1+"
369402,139,"#52 147.0500@10.5865 MS1+"
369403,139,"#53 321.1700@20.5950 MS1+"
369404,139,"#54 302.1800@14.1021 MS1+"
369405,139,"#55 271.2200@20.3762 MS1+"
369406,139,"#56 165.9900@4.5502 MS1+"
369407,139,"#57 647.4900@26.0372 MS1+"
369408,139,"#58 147.0500@9.1417 MS1+"
369409,139,"#59 321.1700@20.4325 MS1+"
369410,139,"#60 213.1100@5.7512 MS1+"
369411,139,"#61 213.1600@12.4005 MS1+"
369412,139,"#62 271.2200@20.4138 MS1+"
369413,139,"#63 432.2400@15.1718 MS1+"
369414,139,"#64 262.1200@10.3865 MS1+"
369415,139,"#65 321.1400@20.6202 MS1+"
369416,139,"#66 269.0500@9.1415 MS1+"
369417,139,"#67 242.2200@11.4749 MS1+"
369418,139,"#68 115.0500@8.4347 MS1+"
369419,139,"#69 318.2200@12.4319 MS1+"
369420,139,"#70 321.1500@20.4825 MS1+"
369421,139,"#71 119.0100@5.5948 MS1+"
369422,139,"#72 313.2600@15.6283 MS1+"
369423,139,"#73 152.0300@5.1944 MS1+"
369424,139,"#74 253.0600@7.6089 MS1+"
369425,139,"#75 198.1000@13.9831 MS1+"
369426,139,"#76 277.1200@12.6319 MS1+"
369427,139,"#77 277.1300@13.4390 MS1+"
369428,139,"#78 316.2500@25.9935 MS1+"
369429,139,"#79 233.1000@8.1721 MS1+"
369430,139,"#80 242.1100@4.1059 MS1+"
369431,139,"#81 189.0800@7.1209 MS1+"
369432,139,"#82 231.1200@10.0423 MS1+"
369433,139,"#83 119.0100@5.6072 MS1+"
369434,139,"#84 296.1000@12.8510 MS1+"
369435,139,"#85 143.0200@12.7633 MS1+"
369436,139,"#86 321.1700@20.7702 MS1+"
369437,139,"#87 213.1600@12.3882 MS1+"
369438,139,"#88 417.1900@10.5865 MS1+"
369439,139,"#89 271.2200@20.3762 MS1+"
369440,139,"#90 179.0200@8.3408 MS1+"
369441,139,"#91 321.1400@20.5952 MS1+"
369442,139,"#92 132.0200@4.6377 MS1+"
369443,139,"#93 321.1500@20.2198 MS1+"
369444,139,"#94 291.1800@23.7105 MS1+"
369445,139,"#95 113.0600@8.3095 MS1+"
369446,139,"#96 274.1200@10.4552 MS1+"
369447,139,"#97 277.1300@12.6320 MS1+"
369448,139,"#98 321.1700@20.4702 MS1+"
369449,139,"#99 321.1700@20.0510 MS1+"
369450,139,"#100 321.1500@20.6515 MS1+"
369451,139,"#101 152.9700@5.5385 MS1+"
369452,139,"#102 277.1300@13.4139 MS1+"
369453,139,"#103 111.0700@10.2050 MS1+"
369454,139,"#104 115.0600@18.1055 MS1+"
369455,139,"#105 191.1200@8.9038 MS1+"
369456,139,"#106 261.1300@11.7062 MS1+"
369457,139,"#107 111.0800@9.8172 MS1+"
369458,139,"#108 111.0700@10.1236 MS1+"
369459,139,"#109 158.1000@7.6215 MS1+"
369460,139,"#110 432.2300@15.1842 MS1+"
369461,139,"#111 272.1300@13.2701 MS1+"
369462,139,"#112 271.2000@20.8203 MS1+"
