SOP003_MX524916_posCSH_Muscle-QTOF-UC-3,SOP005_MX524916_posCSH_Muscle-QTOF-UC-1,SOP007_MX524916_posCSH_Plasma1-QTOF-UC-1,SOP009_MX524916_posCSH_Liver-QTOF-UC-1,SOP010_MX524916_posCSH_Brain-QTOF-UC-1,SOP011_MX524916_posCSH_Heart-QTOF-UC-3,SOP012_MX524916_posCSH_Heart-QTOF-UC-1,SOP013_MX524916_posCSH_Muscle-QTOF-UC-2,SOP015_MX524916_posCSH_Plasma1-QTOF-UC-3,SOP016_MX524916_posCSH_Brain-QTOF-UC-3,SOP017_MX524916_posCSH_Liver-QTOF-UC-2,SOP018_MX524916_posCSH_Plasma1-QTOF-UC-2,SOP021_MX524916_posCSH_Liver-QTOF-UC-3,SOP024_MX524916_posCSH_Brain-QTOF-UC-2,SOP026_MX524916_posCSH_Heart-QTOF-UC-2
0,0,0,5135,0,0,0,0,0,0,4534,0,4458,0,0
6247,6153,2339,13445,9208,6586,7349,6262,2332,8175,13418,2274,12886,0,7281
28250,39731,2292,0,0,0,0,32086,2129,0,1019,2206,0,0,0
0,0,0,2418,0,0,0,0,0,0,2388,0,2530,0,0
0,0,0,16136,1240,0,0,0,0,1314,15166,0,15836,1395,0
0,0,0,11119,0,0,0,0,0,0,11049,0,11058,0,0
0,0,0,8554,18643,0,0,0,0,19860,8475,0,8834,3164,0
0,0,0,0,34334,0,0,0,0,33875,0,0,0,222920,0
3254,4090,0,36593,206264,5480,5595,3490,0,217851,33960,0,35295,0,6181
0,3820,0,31765,172001,4772,4989,0,0,182362,29607,0,31972,190279,4901
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1197,1679,0,4226,43244,0,0,1535,0,3125,4210,0,4686,48495,0
0,0,0,2252,36062,0,0,0,0,9523,2236,0,2076,0,0
0,0,0,4807,1882,0,0,0,0,1978,4856,0,4691,1769,0
0,0,0,4252,1645,0,0,0,0,1870,3994,0,4166,1913,0
3555,3829,2045,2900,3575,2948,3401,3488,2288,2355,2878,1853,0,0,3223
79916,0,31770,42963,88146,37788,87747,44709,31059,78272,87536,29693,45952,0,40821
12094,11405,5989,13759,10628,10802,12291,12486,6322,9752,13468,5995,13259,0,11792
0,0,0,0,8307,0,0,0,0,8670,0,0,0,8945,0
0,0,0,10063,30529,0,0,0,0,31038,9827,0,10386,30693,0
0,0,0,10056,28651,0,0,0,0,30088,9622,0,10338,29241,0
0,0,0,1713,6622,0,0,0,0,6578,1349,0,1449,7491,0
0,0,0,1930,5584,0,0,0,0,5842,1750,0,1890,5627,0
0,0,0,1896,8640,0,0,0,0,10275,0,0,0,5669,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,4947,0,0,0,0,0,0,4614,0,4837,0,0
0,0,0,5626,0,0,0,0,0,0,5145,0,5526,0,0
0,0,0,19782,1058,0,0,0,0,1209,18435,0,19492,1178,0
0,0,0,19098,0,0,0,0,0,0,16888,0,18962,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1062,2315,0,1572,1811,0,0,0,0,0,1984,0,1767
78489,69031,51085,34101,26481,54107,52729,59969,46695,24008,33634,48662,31280,0,58301
59287,57136,27220,0,58155,45633,58682,74766,26767,52914,51983,26307,54359,0,50840
0,1168,0,0,8480,0,0,1160,0,9827,0,0,0,9553,0
0,0,0,8147,10478,0,0,0,0,11501,7317,0,7928,41455,0
0,0,0,0,41506,0,0,0,0,43754,0,0,0,11037,0
0,0,0,2159,134720,0,0,0,0,140652,1941,0,2086,138110,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1057,1317,1038,56384,10150,1852,1826,1152,1215,11013,54339,1154,58913,24709,1812
0,0,0,0,23600,0,0,0,0,24609,0,0,0,10820,0
1222,1517,1322,60008,11076,2151,1888,1237,1554,11296,57610,1239,61535,0,1946
0,0,0,0,28966,0,0,0,0,32345,0,0,2121,12225,0
0,0,0,0,4149,0,0,0,0,9715,0,0,0,8627,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2755,3189,0,0,0,0,0,2588,0,0,0,0,0,0,0
0,0,0,0,21206,0,0,0,0,23895,0,0,0,0,0
0,0,0,8237,0,0,0,0,0,0,8063,0,8743,0,0
0,0,0,9394,83040,0,0,0,0,89869,8725,0,9433,84625,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1764,7046,0,0,0,0,8542,1807,0,1840,8434,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,8646,3454,0,0,0,0,3551,8009,0,8610,2900,0
0,0,0,7449,1694,0,0,0,0,0,7003,0,7656,1943,0
0,0,0,0,27824,0,0,0,0,30627,0,0,0,29489,0
0,0,1032,113607,2800,2886,3123,0,1034,2989,107859,0,118287,0,3291
0,0,0,0,5610,0,0,0,0,5903,0,0,0,2882,0
1200,0,1348,128628,2921,3420,3480,0,1259,3245,119520,1197,131787,3180,3856
7064,8725,0,0,0,0,0,7658,0,0,0,0,0,0,0
0,0,0,2458,0,0,0,0,0,0,2101,0,2224,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,13322,0,0,0,0,0,0,12351,0,12720,0,0
0,0,0,0,4347,0,0,0,0,4813,0,0,0,4310,0
0,0,0,0,0,0,0,0,0,0,0,0,0,40365,0
0,0,0,12180,4104,0,0,0,0,4436,11258,0,12064,10605,0
0,0,0,13457,41952,0,0,0,0,42941,13233,0,14204,0,0
0,0,0,0,5999,0,0,0,0,6464,0,0,0,6421,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,21137,0,0,0,0,0,0,20706,0,21649,0,0
0,0,0,0,0,2354,0,0,1253,0,0,0,0,0,1011
19195,18455,8904,10700,10281,15365,18191,19197,5862,18212,19065,1302,11122,0,17521
9531,8452,4986,9645,8693,8534,8936,8846,5020,7023,8974,4572,9594,0,8978
0,0,0,0,50985,0,0,0,0,57966,0,0,0,3153,0
0,0,0,6635,2796,0,0,0,0,3105,6321,0,7240,55938,0
0,0,0,0,1504,0,0,0,0,0,0,0,0,0,0
0,0,0,5400,126248,0,0,0,0,135385,5061,0,5475,4160,0
0,0,0,0,4045,0,0,0,0,4119,0,0,0,135682,0
2371,3266,3383,105423,3791,4389,4265,2860,3604,3900,101916,3648,107262,84416,4608
0,1604,0,0,22724,0,0,0,0,85777,0,0,0,3938,0
3049,3917,4030,121588,4212,4904,5126,3198,4331,0,119685,4341,123426,22494,5294
0,0,0,0,19860,0,0,0,0,21836,0,0,2923,4932,0
0,0,0,0,106439,0,0,0,0,111640,0,0,0,29251,0
0,0,0,0,49832,0,0,0,0,53643,0,0,0,18385,0
5739,5514,3633,6614,22599,5672,6140,5427,3733,0,6308,3740,6517,4382,6023
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,17701,0,0,0,0,18471,0,0,0,2432,0
0,0,0,3351,0,0,0,0,0,0,3266,0,3324,0,0
0,0,0,0,162732,0,0,0,0,174033,0,0,0,42831,0
2586,3424,0,30761,64002,0,0,2585,0,70968,28113,1197,16203,0,0
0,0,0,0,13528,0,0,0,0,12950,0,0,0,168486,0
0,0,0,0,161140,0,0,0,0,169591,0,0,0,93749,0
3001,4054,0,19458,80622,0,0,3023,0,90605,18966,0,19474,21255,0
0,0,0,16415,40978,0,0,0,0,44649,0,0,31161,0,0
1331,1476,0,13000,7418,0,0,1322,0,7650,12738,0,13149,2674,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,13949,0,0,0,0,14778,0,0,0,13721,0
0,0,0,0,127625,0,0,0,0,133528,0,0,0,7764,0
1478,1649,1546,44986,0,2695,2412,1444,1928,0,42620,1755,45940,0,2414
0,0,0,0,3529,0,0,0,0,3753,0,0,0,3417,0
0,0,0,25159,0,0,0,0,0,0,23933,0,26692,0,0
0,0,0,31366,4277,0,0,0,0,4284,30163,0,33751,4914,0
0,3057,0,0,0,0,0,2752,0,0,0,0,0,0,0
0,0,0,0,3495,0,0,0,0,3687,0,0,0,1524,0
1573,0,0,5732,0,1487,0,0,0,0,5159,0,5610,0,0
0,0,0,0,12500,0,0,0,0,13973,0,0,0,2806,0
0,0,0,0,0,0,0,0,0,2043,0,0,0,0,0
0,0,0,4639,9467,0,0,0,0,11685,4324,0,4843,11354,0
0,0,0,0,14819,0,0,0,0,15963,0,0,0,15360,0
0,0,0,0,2056,0,0,0,0,2222,0,0,0,2024,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1923,103719,3689,5666,5364,0,1981,3997,97619,1790,102853,3692,5637
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13604,12496,8496,13052,10893,12926,14648,13127,8143,8406,12584,8052,12605,0,14500
0,0,0,2748,0,0,0,0,0,0,2552,0,2726,0,0
0,0,0,11776,1369,0,0,0,0,1736,11200,0,11725,1632,0
0,0,0,15530,0,0,0,0,0,0,14540,0,16330,0,0
0,0,0,0,6967,0,0,0,0,8523,0,0,0,8251,0
0,0,0,0,17213,0,0,0,0,18407,0,0,0,18346,0
6548,5956,4776,6282,6230,6645,6770,6281,4815,0,6044,4689,5800,0,6353
0,0,0,0,4685,0,0,0,0,5147,0,0,0,5052,0
0,0,0,4197,0,0,0,0,0,0,3722,0,4184,0,0
0,0,0,4198,0,0,0,0,0,0,4041,0,4443,0,0
0,0,0,0,39863,0,0,0,0,42499,0,0,0,43347,0
0,0,0,0,4996,0,0,0,0,5521,0,0,0,5210,0
0,0,0,0,2929,0,0,0,0,3537,0,0,0,4217,0
0,0,0,1282,0,0,0,0,0,0,0,0,0,0,0
2528,3175,0,18801,12110,0,0,2653,0,0,22296,0,24242,17432,0
0,0,0,1465,0,0,0,0,0,0,1387,0,1403,0,0
0,0,0,2061,0,0,0,0,0,0,2078,0,2043,0,0
0,0,0,3262,0,0,0,0,0,0,3060,0,3290,0,0
10554,14546,0,0,0,0,0,11558,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,5736,0,0,0,0,0,0,4970,0,5392,0,0
0,1046,0,12373,0,0,0,0,0,0,10813,0,11937,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,3022,0,0,0,0,0,0,2740,0,3108,0,0
1674,2218,0,1811,0,0,0,1817,0,0,0,0,1854,0,0
177256,177580,69631,232114,243326,234709,255032,170861,70832,211547,218450,68829,226025,0,253779
0,0,0,0,177668,0,0,0,0,189844,0,0,0,175493,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1571,1717,0,0,0,0,0,0,0,1790
1674,2236,0,2025,0,4060,4387,1775,0,0,1897,0,2060,0,4649
4619,6856,0,4411,0,14538,14502,5115,0,0,4030,0,4591,0,15641
11719,15405,0,0,0,0,0,13936,0,0,0,0,0,0,0
0,0,0,0,0,0,29044,0,0,0,0,0,0,0,0
23750,32433,0,40746,1512,158916,162397,29131,0,1629,40693,0,45244,0,172933
98616,146158,0,168530,0,732184,768544,117168,0,0,163755,0,175539,0,789010
0,0,0,0,0,2167,2135,0,0,0,0,0,0,0,2265
0,0,0,1989,0,11449,11964,0,0,0,1939,0,0,0,12231
0,0,0,1962,0,2362,0,0,0,2834,0,0,2059,2628,2878
0,1411,0,7931,1677,6918,0,0,0,0,7254,0,0,0,8090
0,0,0,20726,0,4857,9927,0,0,0,18203,0,21495,0,10337
0,0,0,0,1160,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,4778,5064,0,0,0,0,0,0,0,0
29720,38501,0,104187,0,169237,168868,30096,1218,0,96477,1295,105978,0,177022
0,0,0,0,1955,0,0,0,0,1937,0,0,2885,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8214,11039,0,0,0,0,0,9227,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1363,0,0,0,0,0,0,0,0,0,0,0
0,0,0,2733,0,0,0,0,2041,0,1714,2122,0,0,0
5645,6476,6438,4588,3303,3836,3263,5803,5364,2547,4660,5084,3319,3714,2888
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1176,0,0,0,0,0,1441,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1325,2736,0,0,0,0,1897,0,1307,1932,0,1318,0
5707,6315,6482,3089,3384,3379,3146,5710,5456,2393,2926,5306,2059,4180,2596
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1101,0,0,0,0,0,0,1015,0,1126,0,0
0,0,0,0,0,1267,1102,0,0,0,0,0,0,0,1249
0,0,0,1671,0,1056,0,0,0,0,1507,0,1760,0,1015
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1607,1294,12347,2921,5671,5370,0,1386,3306,11254,1208,11873,3037,6081
2608,2478,1393,2182,2668,2156,2196,2549,1492,2367,2069,1271,2488,0,2228
0,1213,0,12071,4142,0,0,1070,0,0,0,0,12492,4447,4751
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1141,1045,11423,0,9001,9212,0,0,0,11252,1113,11629,0,8448
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1133,0,17520,0,7929,8047,0,0,0,17594,1019,17644,0,8016
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,6497,2724,4535,4707,0,0,2937,6243,0,6880,4829,4719
0,0,0,6741,6072,3328,3638,0,0,5917,5946,0,6780,6213,3833
0,0,0,28734,0,8103,7902,0,0,0,28537,0,29284,0,8006
2981,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3471,3568,1897,4797,0,3307,3739,3583,1840,0,4198,1863,4501,0,3545
0,0,0,40461,0,7794,7930,0,0,0,40209,0,41430,0,8163
0,0,1185,7997,0,0,0,0,1131,0,7223,1127,7604,0,0
2617,3069,0,0,0,0,0,2314,0,0,0,0,0,0,0
0,1133,1284,6812,0,0,0,0,1362,0,5762,0,5983,0,0
0,0,0,0,0,1232,1200,0,0,0,0,0,0,0,1167
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,3667,2444,1421,1448,0,0,2405,3487,0,3927,0,1376
0,0,0,2128,0,2059,1860,0,0,0,1936,0,1957,2646,2168
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1027,0,0,0,0,0,1133,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1149,12599,0,0,0,1446,0,5755,0,0,5761,0,7270,1060
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,2019,0,0,0,0,0,0,1807,0,2040,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
