NIH_Lip_Std_CSH_POS_Brain_01,NIH_Lip_Std_CSH_POS_Brain_02,NIH_Lip_Std_CSH_POS_Brain_03,NIH_Lip_Std_CSH_POS_Heart_01,NIH_Lip_Std_CSH_POS_Heart_02,NIH_Lip_Std_CSH_POS_Heart_03,NIH_Lip_Std_CSH_POS_Liver_01,NIH_Lip_Std_CSH_POS_Liver_02,NIH_Lip_Std_CSH_POS_Liver_03,NIH_Lip_Std_CSH_POS_Muscle_01,NIH_Lip_Std_CSH_POS_Muscle_02,NIH_Lip_Std_CSH_POS_Muscle_03,NIH_Lip_Std_CSH_POS_Plasma1_01,NIH_Lip_Std_CSH_POS_Plasma1_02,NIH_Lip_Std_CSH_POS_Plasma1_03
0,0,0,0,0,0,0,0,0,0,247847,0,0,0,0
4035347,4492874,4688574,0,0,0,0,0,0,78717,0,91307,0,0,0
13690424,14702527,16206791,251078,321629,277235,1208757,1436610,1723674,0,461724,0,0,0,0
0,0,79706,0,0,0,86458,355935,317177,0,0,0,0,0,0
197791,189079,341762,39913,66328,62646,352850,1151756,353237,0,0,0,0,0,0
2191891,2332186,2604942,1922974,1946393,2143691,1760137,2171047,2214199,1674791,1985504,1955074,2239248,604188,2474383
4830324,3899822,3274705,5644942,4459536,5173736,5646546,3405988,6565628,3213540,4267800,3869412,5286772,1177474,5028984
115365,0,162384,0,0,0,129274,0,0,91655,125910,146263,144348,0,168454
0,0,0,0,0,0,0,0,531166,0,0,0,0,0,0
699710,866898,1774429,0,0,0,439922,542457,72017,0,0,0,0,0,0
2337620,2762603,5630250,120721,197854,147246,1570750,280259,2019608,111205,94994,0,135870,0,160122
1120099,983863,1572331,0,0,0,0,0,0,0,0,0,0,0,0
391701,359874,547170,0,0,0,106223,86559,93737,0,0,0,0,0,0
1327942,1462805,1780028,0,0,0,394864,430942,419046,0,0,0,0,0,0
565139,480948,744038,0,0,0,0,0,0,0,0,0,0,0,0
405186,445788,594467,114514,150876,150138,961349,949954,950227,0,0,0,96705,0,119891
0,0,0,0,0,0,856677,981130,932160,0,0,0,0,0,0
0,0,35552,0,0,0,979207,100366,115788,0,0,0,0,0,0
0,0,190445,39344,69209,0,3539625,442085,4016182,0,0,0,38529,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
436756,0,529287,371854,393093,388262,350056,370684,383312,304627,304565,337678,435352,109564,398986
3569853,3863059,4156378,5445580,0,5579416,3596289,0,0,5071328,4920088,5439194,4841761,1053727,5324886
3059456,3068619,3490930,2902639,2478700,2598938,2865721,2974814,3781734,1847018,1804318,2333533,3018901,572189,3332345
165792,164278,185475,0,0,0,0,0,0,272079,260519,276707,177806,0,177709
333593,458365,805669,0,161471,149808,1054186,1103278,1309478,0,0,0,248310,135007,256258
780553,806975,932754,823716,733181,758787,0,0,0,871054,820242,846976,816217,0,754258
273022,417702,829385,68378,98903,72051,268634,97561,94196,80631,96994,72699,67835,78832,90675
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136184,182033,370100,188107,187548,0,2878381,666008,3147896,0,0,106172,198323,0,171114
0,53458,0,0,0,0,584904,2764612,645584,0,0,0,0,0,0
510425,703253,1344486,645773,701607,567475,10610488,10067237,11512552,371040,378565,415614,678898,193321,668673
461319,430831,686715,0,0,24677,305604,446146,2385917,0,0,0,0,0,0
302175,424704,706186,0,0,0,0,0,0,0,0,0,0,0,0
152144,194063,311387,0,0,0,0,106656,131265,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,249305,265042,259719,0,0,0
376655,0,613170,0,0,0,0,731795,711159,0,0,0,0,0,0
0,358935,0,0,0,0,512155,0,68378,0,0,0,0,0,0
1252255,1377334,2048182,178643,194253,0,754345,1057509,1053253,151704,137478,182780,99097,0,67560
0,0,900399,0,0,0,0,2618248,0,0,0,0,0,0,0
190298,185588,245061,0,0,0,0,229339,268502,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,292969,0,0,0,107962
862471,961481,1533704,74454,139861,108487,1195839,1416188,1391790,54362,61316,70711,125408,0,114526
52730,80006,135740,108302,94267,88347,1044009,847076,977949,0,0,0,128018,0,106370
0,0,169971,0,0,0,0,0,0,0,0,0,0,0,0
0,0,107597,272244,225090,170051,5488346,1649288,1923745,23272,0,0,139045,0,160909
0,0,0,0,0,0,0,4651416,5281192,0,0,0,0,0,0
198685,213564,389879,998969,982090,822285,19995622,17550602,6989994,0,208687,188805,559280,156558,584937
0,0,0,0,0,0,0,0,19239218,298002,313028,329978,0,0,0
0,0,0,0,0,0,221824,269258,0,0,0,0,0,0,0
0,0,205006,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,577540,0,0,0,0,0,0
556780,0,702919,188199,0,199364,3277547,3959584,3361708,0,0,0,0,0,0
