2020-03-13_008_NISTplasma1,2020-03-13_012_NISTplasma1,2020-03-13_016_NISTplasma1,2020-03-13_022_HEART,2020-03-13_023_LIVER,2020-03-13_024_BRAIN,2020-03-13_025_MUSCLE,2020-03-13_026_HEART,2020-03-13_027_LIVER,2020-03-13_028_BRAIN,2020-03-13_029_MUSCLE,2020-03-13_030_HEART,2020-03-13_031_LIVER,2020-03-13_032_BRAIN,2020-03-13_033_MUSCLE
10421,11689,11575,2126,0,0,10703,1752,1341,0,11027,2042,1367,0,10512
5628,6278,6820,6305,2844,3081,14908,7275,3501,3498,15585,6318,3069,3931,14592
1238,1677,1485,5875,0,0,0,6269,0,0,0,6696,0,0,0
1535,1598,0,0,0,0,63730,0,0,0,0,0,0,0,1381
1852,2194,2179,10196,0,1795,16992,10857,0,2331,18212,10730,0,1891,17674
4456,4694,5096,8106,0,0,19152,8964,0,0,19178,8741,0,0,19050
0,0,0,7815,0,0,0,7712,0,0,0,1475,0,0,0
8506,9795,9719,90557,3113,5059,55404,94567,3454,4868,55774,95247,3272,5436,56144
1853,1927,2088,5479,0,0,22341,5681,0,0,22227,5857,0,0,23236
0,0,0,1846,0,0,5356,1749,0,0,5742,2068,0,0,6182
0,0,0,0,0,0,0,7320,0,0,0,0,0,0,0
0,0,0,15191,0,0,0,15447,2069,0,0,15674,2127,0,0
5232,5734,5263,322582,25353,8970,28851,326768,24539,10036,29935,335386,25549,9060,28448
0,0,0,34889,1683,0,0,36007,1299,4433,0,36876,1439,0,0
5585,5419,6193,98879,7667,0,40723,98169,8310,0,41960,103555,7492,0,43742
0,0,0,19410,10985,0,0,19960,11171,0,0,19662,11214,0,0
0,0,0,0,0,0,0,17086,0,0,0,0,0,0,0
0,0,0,4141,0,0,0,4491,0,0,0,2349,0,0,0
0,0,0,571645,9370,1961,0,582940,9932,2241,0,580612,9748,2317,0
0,0,0,102458,0,1272,2692,104370,1299,1491,2553,103827,0,1304,2696
0,0,0,84734,0,0,0,85743,0,0,0,86167,1287,0,0
0,0,0,11468,0,0,2226,11466,0,0,2579,11597,0,0,2451
0,0,0,6821,2929,0,0,7201,3289,0,0,8179,3396,0,0
0,0,0,20484,3832,2254,3795,20978,3577,2418,3668,21266,4077,2047,3754
0,0,0,22948,26975,0,0,22659,26742,0,0,13556,27371,0,0
0,0,0,0,0,0,0,0,0,0,0,23649,0,0,0
0,0,0,12762,11061,0,0,12133,10417,0,0,12877,11207,0,0
0,0,0,3661,1299,0,0,4056,1425,0,0,3985,1325,0,0
0,0,0,139312,2009,0,0,144252,2829,0,0,140614,2722,1198,0
0,0,0,136931,1861,2067,0,134770,1875,2390,0,106949,1951,2327,0
0,0,0,22854,0,0,0,22791,0,0,0,6250,0,0,0
0,0,0,5330,0,0,0,4369,0,0,0,4419,0,0,0
0,0,0,5462,0,0,0,0,0,0,0,9934,0,0,0
1653,1857,1641,13191,0,0,0,13829,0,0,0,13239,0,0,0
2715,2882,2592,4485,4631,4465,4803,4342,4717,4177,4930,4132,4755,4539,4843
0,0,0,18814,0,0,0,19149,0,0,0,18336,0,0,0
0,0,0,10817,0,0,0,9842,0,0,0,10504,0,0,0
5546,5707,5210,8441,7545,7117,7322,8242,7614,7195,7430,7592,7515,7162,7249
2894,2768,2688,4525,3016,7515,5815,4576,2678,7875,5943,4785,3217,8148,5501
13745,13919,13737,10098,16629,18450,11092,9278,16397,18426,11916,9546,15879,17796,10596
388516,390988,386220,656570,423149,1450584,797838,654847,421356,1450748,789908,657776,416779,1450729,791292
4867,5353,5069,6266,3685,0,6929,5984,3420,0,7144,6351,3412,0,7074
0,0,0,12860,0,0,0,13321,0,0,0,13270,0,0,0
0,0,0,4293,3488,0,2039,4742,3498,0,1936,4085,3720,0,2352
1169,0,0,1995,0,0,5497,2410,0,0,5717,2479,0,0,6040
5019,5494,5186,0,0,0,9983,0,0,0,10174,0,0,0,11362
48666,63266,62773,172013,17322,27596,379531,168043,16863,27628,395847,176808,18202,29313,407468
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2362,2389,2215,0,0,0,0,0,0,0,0,0,0,0,0
19815,20264,19166,0,0,0,0,0,0,0,0,0,0,0,0
246672,242039,251974,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8480,8436,7908,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2504,2306,2472,0,0,0,0,0,0,0,0,0,0,0,0
31617,32138,31535,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19351,18320,18940,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1680,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41120,39710,37291,0,0,0,0,0,0,0,0,0,0,0,0
