index,muscle,muscle,plasma,liver,brain,heart,heart,muscle,plasma,brain,liver,plasma,liver,brain,heart
7958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7959,0,0,1917,0,0,0,0,0,1073,0,0,0,0,0,0
7960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7980,2673,2544,0,2109,2427,2433,2185,2501,0,2437,2242,0,2429,2270,2361
7981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8005,1085,0,0,1014,0,0,0,0,1063,0,1007,0,1149,0,1000
8006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8020,1103,1245,0,0,0,0,0,1291,0,0,0,0,0,0,0
8021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8031,3203,3063,3399,3616,3048,3474,3081,3347,3533,3346,3762,3365,3946,3217,3318
8032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8034,0,0,0,2231,0,0,0,0,0,0,1965,0,2364,0,0
8035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8056,0,0,0,0,0,0,0,0,0,0,0,0,0,1337,0
8057,0,2103,0,3247,0,3279,3671,0,0,1218,3666,0,3853,1535,3749
8058,0,0,0,0,4927,0,0,0,0,5191,0,0,0,1049,0
8059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8065,0,1681,0,1796,1746,0,0,0,0,0,0,0,1819,0,1717
8066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8072,0,0,0,1015,1136,0,0,0,0,1476,0,0,0,1153,0
8073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8080,0,0,0,0,0,0,0,0,0,0,0,0,1001,0,0
8081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8126,0,0,0,0,2824,0,0,0,0,3015,0,0,0,3183,0
8127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8135,0,0,1713,0,0,0,0,0,1736,0,0,1576,0,0,0
8136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8178,3347,3474,0,3749,3933,4063,3979,3527,0,4007,3941,0,3703,3941,4374
8179,8348,7903,2824,8415,8572,8867,8353,8001,2879,8276,8397,0,8503,8024,9334
8180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8193,0,0,0,2532,0,0,0,0,0,0,2659,0,2870,0,0
8194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8226,0,0,0,0,0,0,0,0,0,0,0,0,1211,0,0
8227,0,0,0,1022,0,0,0,0,0,0,1423,0,1132,0,0
8228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8233,0,0,0,0,0,3556,3798,0,0,0,0,0,0,0,3595
8234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8238,7747,9066,2280,0,0,1045,1229,8630,1337,0,0,1242,1185,0,0
8239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8246,0,0,3130,0,0,0,0,0,3411,0,0,3587,0,0,0
8247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8253,3077,3887,0,0,0,0,0,2942,1082,0,0,0,0,0,0
8254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8274,0,0,0,0,0,1081,1081,0,0,0,0,0,0,0,1029
8275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8281,0,0,1164,0,0,0,0,0,1123,0,0,1171,0,0,0
8282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8306,5684,5745,1381,6193,6450,6093,5757,6107,1203,5898,5852,1214,5968,5719,6061
8307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8328,4291,5171,0,0,0,0,0,4574,0,0,0,0,0,0,0
8329,2861,3343,0,0,0,0,0,3047,0,0,0,0,0,0,0
8330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8335,0,0,2533,2907,6499,0,2496,0,2156,4146,2902,2547,2992,0,2159
8336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8337,0,0,3275,1403,6747,0,1100,0,3179,5599,0,3347,0,0,0
8338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8351,3201,4033,0,0,0,0,0,3391,0,0,0,0,0,0,0
8352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8363,0,1318,0,0,1240,0,0,0,0,2540,0,0,1278,0,0
8364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8366,2703,3818,0,0,0,0,0,3190,0,0,0,0,0,0,0
8367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
