Pre-screen Parameter,Average
thrshold:50_4:4,2.717
thrshold:50_4:7,3.013
thrshold:50_6:6,2.622
thrshold:50_6:11,2.935
thrshold:50_8:8,2.632
thrshold:50_8:15,2.737
thrshold:50_12_space_savor,0
thrshold:50_12:12,2.767
thrshold:50_16_space_savor,0
thrshold:50_16:16,3.213
