,name,ms_level,polarity,retention_time,height,area,mz,neutral_mass,adducts,p_value,quantitation_mass,I-1.mzXML retention_time,I-1.mzXML height,I-1.mzXML mz,I-10.mzXML retention_time,I-10.mzXML height,I-10.mzXML mz,I-11.mzXML retention_time,I-11.mzXML height,I-11.mzXML mz,I-12.mzXML retention_time,I-12.mzXML height,I-12.mzXML mz,I-13.mzXML retention_time,I-13.mzXML height,I-13.mzXML mz,I-14.mzXML retention_time,I-14.mzXML height,I-14.mzXML mz,I-15.mzXML retention_time,I-15.mzXML height,I-15.mzXML mz,I-16.mzXML retention_time,I-16.mzXML height,I-16.mzXML mz,I-17.mzXML retention_time,I-17.mzXML height,I-17.mzXML mz,I-18.mzXML retention_time,I-18.mzXML height,I-18.mzXML mz,I-19.mzXML retention_time,I-19.mzXML height,I-19.mzXML mz,I-2.mzXML retention_time,I-2.mzXML height,I-2.mzXML mz,I-20.mzXML retention_time,I-20.mzXML height,I-20.mzXML mz,I-21.mzXML retention_time,I-21.mzXML height,I-21.mzXML mz,I-22.mzXML retention_time,I-22.mzXML height,I-22.mzXML mz,I-3.mzXML retention_time,I-3.mzXML height,I-3.mzXML mz,I-4.mzXML retention_time,I-4.mzXML height,I-4.mzXML mz,I-5.mzXML retention_time,I-5.mzXML height,I-5.mzXML mz,I-6.mzXML retention_time,I-6.mzXML height,I-6.mzXML mz,I-7.mzXML retention_time,I-7.mzXML height,I-7.mzXML mz,I-8.mzXML retention_time,I-8.mzXML height,I-8.mzXML mz,I-9.mzXML retention_time,I-9.mzXML height,I-9.mzXML mz,J-67.mzXML retention_time,J-67.mzXML height,J-67.mzXML mz,J-68.mzXML retention_time,J-68.mzXML height,J-68.mzXML mz,J-69.mzXML retention_time,J-69.mzXML height,J-69.mzXML mz,J-70.mzXML retention_time,J-70.mzXML height,J-70.mzXML mz,J-71.mzXML retention_time,J-71.mzXML height,J-71.mzXML mz,J-72.mzXML retention_time,J-72.mzXML height,J-72.mzXML mz,J-73.mzXML retention_time,J-73.mzXML height,J-73.mzXML mz,J-74.mzXML retention_time,J-74.mzXML height,J-74.mzXML mz,J-75.mzXML retention_time,J-75.mzXML height,J-75.mzXML mz,J-76.mzXML retention_time,J-76.mzXML height,J-76.mzXML mz,J-77.mzXML retention_time,J-77.mzXML height,J-77.mzXML mz,J-78.mzXML retention_time,J-78.mzXML height,J-78.mzXML mz,J-79.mzXML retention_time,J-79.mzXML height,J-79.mzXML mz,J-80.mzXML retention_time,J-80.mzXML height,J-80.mzXML mz,J-81.mzXML retention_time,J-81.mzXML height,J-81.mzXML mz,J-82.mzXML retention_time,J-82.mzXML height,J-82.mzXML mz,J-83.mzXML retention_time,J-83.mzXML height,J-83.mzXML mz,J-84.mzXML retention_time,J-84.mzXML height,J-84.mzXML mz,J-85.mzXML retention_time,J-85.mzXML height,J-85.mzXML mz,J-86.mzXML retention_time,J-86.mzXML height,J-86.mzXML mz,J-87.mzXML retention_time,J-87.mzXML height,J-87.mzXML mz,J-88.mzXML retention_time,J-88.mzXML height,J-88.mzXML mz,Li-23.mzXML retention_time,Li-23.mzXML height,Li-23.mzXML mz,Li-24.mzXML retention_time,Li-24.mzXML height,Li-24.mzXML mz,Li-25.mzXML retention_time,Li-25.mzXML height,Li-25.mzXML mz,Li-26.mzXML retention_time,Li-26.mzXML height,Li-26.mzXML mz,Li-27.mzXML retention_time,Li-27.mzXML height,Li-27.mzXML mz,Li-28.mzXML retention_time,Li-28.mzXML height,Li-28.mzXML mz,Li-29.mzXML retention_time,Li-29.mzXML height,Li-29.mzXML mz,Li-30.mzXML retention_time,Li-30.mzXML height,Li-30.mzXML mz,Li-31.mzXML retention_time,Li-31.mzXML height,Li-31.mzXML mz,Li-32.mzXML retention_time,Li-32.mzXML height,Li-32.mzXML mz,Li-33.mzXML retention_time,Li-33.mzXML height,Li-33.mzXML mz,Li-34.mzXML retention_time,Li-34.mzXML height,Li-34.mzXML mz,Li-35.mzXML retention_time,Li-35.mzXML height,Li-35.mzXML mz,Li-36.mzXML retention_time,Li-36.mzXML height,Li-36.mzXML mz,Li-37.mzXML retention_time,Li-37.mzXML height,Li-37.mzXML mz,Li-38.mzXML retention_time,Li-38.mzXML height,Li-38.mzXML mz,Li-39.mzXML retention_time,Li-39.mzXML height,Li-39.mzXML mz,Li-40.mzXML retention_time,Li-40.mzXML height,Li-40.mzXML mz,Li-41.mzXML retention_time,Li-41.mzXML height,Li-41.mzXML mz,Li-42.mzXML retention_time,Li-42.mzXML height,Li-42.mzXML mz,Li-43.mzXML retention_time,Li-43.mzXML height,Li-43.mzXML mz,Li-44.mzXML retention_time,Li-44.mzXML height,Li-44.mzXML mz,Lu-101.mzXML retention_time,Lu-101.mzXML height,Lu-101.mzXML mz,Lu-102.mzXML retention_time,Lu-102.mzXML height,Lu-102.mzXML mz,Lu-103.mzXML retention_time,Lu-103.mzXML height,Lu-103.mzXML mz,Lu-104.mzXML retention_time,Lu-104.mzXML height,Lu-104.mzXML mz,Lu-105.mzXML retention_time,Lu-105.mzXML height,Lu-105.mzXML mz,Lu-106.mzXML retention_time,Lu-106.mzXML height,Lu-106.mzXML mz,Lu-107.mzXML retention_time,Lu-107.mzXML height,Lu-107.mzXML mz,Lu-108.mzXML retention_time,Lu-108.mzXML height,Lu-108.mzXML mz,Lu-109.mzXML retention_time,Lu-109.mzXML height,Lu-109.mzXML mz,Lu-110.mzXML retention_time,Lu-110.mzXML height,Lu-110.mzXML mz,Lu-89.mzXML retention_time,Lu-89.mzXML height,Lu-89.mzXML mz,Lu-90.mzXML retention_time,Lu-90.mzXML height,Lu-90.mzXML mz,Lu-91.mzXML retention_time,Lu-91.mzXML height,Lu-91.mzXML mz,Lu-92.mzXML retention_time,Lu-92.mzXML height,Lu-92.mzXML mz,Lu-93.mzXML retention_time,Lu-93.mzXML height,Lu-93.mzXML mz,Lu-94.mzXML retention_time,Lu-94.mzXML height,Lu-94.mzXML mz,Lu-95-rerun2.mzXML retention_time,Lu-95-rerun2.mzXML height,Lu-95-rerun2.mzXML mz,Lu-96.mzXML retention_time,Lu-96.mzXML height,Lu-96.mzXML mz,Lu-97.mzXML retention_time,Lu-97.mzXML height,Lu-97.mzXML mz,Lu-98.mzXML retention_time,Lu-98.mzXML height,Lu-98.mzXML mz,Lu-99.mzXML retention_time,Lu-99.mzXML height,Lu-99.mzXML mz,M-45.mzXML retention_time,M-45.mzXML height,M-45.mzXML mz,M-46.mzXML retention_time,M-46.mzXML height,M-46.mzXML mz,M-47.mzXML retention_time,M-47.mzXML height,M-47.mzXML mz,M-48.mzXML retention_time,M-48.mzXML height,M-48.mzXML mz,M-49.mzXML retention_time,M-49.mzXML height,M-49.mzXML mz,M-50.mzXML retention_time,M-50.mzXML height,M-50.mzXML mz,M-51.mzXML retention_time,M-51.mzXML height,M-51.mzXML mz,M-52.mzXML retention_time,M-52.mzXML height,M-52.mzXML mz,M-53.mzXML retention_time,M-53.mzXML height,M-53.mzXML mz,M-54.mzXML retention_time,M-54.mzXML height,M-54.mzXML mz,M-55.mzXML retention_time,M-55.mzXML height,M-55.mzXML mz,M-56.mzXML retention_time,M-56.mzXML height,M-56.mzXML mz,M-57.mzXML retention_time,M-57.mzXML height,M-57.mzXML mz,M-58.mzXML retention_time,M-58.mzXML height,M-58.mzXML mz,M-59.mzXML retention_time,M-59.mzXML height,M-59.mzXML mz,M-60.mzXML retention_time,M-60.mzXML height,M-60.mzXML mz,M-61.mzXML retention_time,M-61.mzXML height,M-61.mzXML mz,M-62.mzXML retention_time,M-62.mzXML height,M-62.mzXML mz,M-63.mzXML retention_time,M-63.mzXML height,M-63.mzXML mz,M-64.mzXML retention_time,M-64.mzXML height,M-64.mzXML mz,M-65.mzXML retention_time,M-65.mzXML height,M-65.mzXML mz,M-66.mzXML retention_time,M-66.mzXML height,M-66.mzXML mz,VIP
64,#65 188.1100@14.1446 MS1+,1,+,14.14455,1312904.75,30606.573650739538,188.11,,,0.0004309641251869501,188.11222222222224,,,,,,,,,,,,,14.14465,469781.3366406817,188.11,14.13835,181123.3677831674,188.1,,,,14.144633333333331,544714.5625,188.12,14.138366666666666,323431.30521277455,73.06,,,,14.144416666666666,467378.3093068608,188.11,,,,,,,14.144633333333331,731577.3583067415,188.12,14.144466666666666,228317.171875,156.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.138266666666668,488917.96875,188.12,14.138233333333334,249444.015625,188.11,,,,,,,,,,14.138133333333334,421665.6060890424,188.1,,,,14.138283333333334,443026.9134056138,188.11,,,,14.13835,864511.75,188.11,,,,,,,14.144516666666668,529088.5625,188.11,14.144616666666668,608729.0625,156.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.14455,1256078.7364542726,188.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.144566666666666,582170.4982002032,188.1,14.138266666666668,867154.75,188.11,,,,14.144483333333334,1338913.125,188.11,14.14445,1363531.5,188.12,14.144416666666666,759165.125,188.11,,,,14.144433333333334,562236.788023683,188.11,14.144616666666668,759318.9375,188.11,14.13825,802715.1400570924,188.11,,,,14.144566666666666,400230.4903560087,188.11,,,,14.144366666666668,172454.58564922676,188.11,14.14445,582001.8006801495,188.1,,,,14.138266666666668,1520298.125,188.11,14.138333333333332,530821.0319490427,188.1,,,,14.14445,421816.3125,188.1,14.144533333333332,564479.9375,188.11,,,,,,,,,,,,,,,,,,,,,,,,,14.1446,413776.3830261149,156.06,,,,,,,,,,,,,14.1445,849811.75,156.06,,,,,,,,,,14.144383333333334,1821298.875,156.07,14.14455,1312904.75,188.11,,,,,,,,,,1.7613979286426156
24,#25 115.0700@13.5879 MS1+,1,+,13.5879,1689242.125,36338.03925749943,115.07,,,0.0,115.06554216867472,13.594033333333334,501294.53125,115.06,13.58775,2373302.75,115.06,13.587716666666669,2453866.25,115.07,13.587766666666663,2156922.0,115.06,13.587916666666668,3257928.0,115.07,13.587866666666669,1541209.6636051142,115.06,13.58765,2530485.75,115.07,13.5879,4093974.186590136,115.07,13.5879,1689242.125,115.07,13.5877,1882347.430682348,115.07,13.587683333333333,2418930.25,115.06,13.587633333333336,1830228.875,115.07,13.58785,1300317.625,115.06,13.587916666666668,3394599.75,115.06,13.587733333333334,1400191.8289883358,115.07,13.587733333333334,815456.625,115.07,13.5877,2307156.5,115.07,13.587866666666669,2293207.75,115.06,13.587616666666666,1590270.875,115.06,13.587666666666667,4349836.0,115.07,13.587833333333332,3505491.5,115.06,13.587683333333333,2810638.5,115.07,13.587616666666666,2695459.0,115.06,13.5879,3635152.25,115.06,13.587666666666667,2886909.4020521124,115.07,13.587716666666669,3201790.25,115.06,13.58765,3078732.0,115.06,13.58765,3252011.0,115.07,13.587733333333334,3207869.75,115.06,13.587733333333334,866995.3688791412,115.07,13.587783333333334,2919170.5,115.06,13.58775,330485.71875,115.06,13.587716666666669,2689424.2072232235,115.06,13.587716666666669,2821443.5,115.07,13.58775,2298179.75,115.06,13.587666666666667,3135333.5,115.07,13.587716666666669,2193478.25,115.07,13.5878,1965106.75,115.07,13.587833333333332,3567262.5,115.07,13.587883333333334,3015894.9208911685,115.07,13.587666666666667,3568182.0,115.07,13.587616666666666,2074767.125,115.06,13.587783333333334,2753560.5,115.06,13.587883333333334,3373343.0,115.06,,,,13.587783333333334,2204283.75,115.06,13.587883333333334,2427224.0,115.07,13.587816666666669,1653422.375,115.06,13.58785,2017672.625,115.07,13.587766666666663,232393.15625,73.07,13.587866666666669,2526367.75,115.07,13.5879,746355.5,115.07,,,,13.587816666666669,909065.3125,220.08,13.5876,1147357.75,115.06,13.58765,1476824.0,115.07,13.58775,443181.53125,218.1,13.587583333333331,974369.4375,115.07,,,,13.587733333333334,632502.875,115.06,,,,,,,13.587733333333334,1202121.8455270126,115.05,13.587833333333332,1741520.5,115.07,13.587683333333333,778018.8125,220.08,13.587716666666669,1101091.625,115.05,13.594083333333334,105656.61537888108,115.05,13.587783333333334,260531.578125,220.08,13.587833333333332,270643.96875,220.08,,,,13.587733333333334,305009.0,220.08,13.587683333333333,215063.390625,218.12,13.587833333333332,186880.82459345472,115.05,,,,,,,13.587766666666663,173578.2554142837,115.05,13.5877,1858748.75,115.06,,,,13.5878,173823.54478464546,220.11,,,,13.587716666666669,365718.5,220.08,,,,,,,13.58785,179325.5,73.06,,,,13.587716666666669,211219.63717962248,220.1,13.5878,230517.109375,115.07,13.59415,8388096.0,115.07,13.593883333333334,8388096.0,115.07,13.594,8388096.0,115.07,13.5939,8388096.0,115.07,13.5939,8288032.5,115.07,13.593966666666669,8388096.0,115.07,13.587716666666669,8297755.5,115.07,13.587783333333334,8140829.312825097,115.07,13.587866666666669,8388096.0,115.07,13.594083333333334,8388096.0,115.08,13.58785,8349807.0,115.07,13.5878,8388096.0,115.07,13.587783333333334,8388096.0,115.07,13.587783333333334,7949653.5,115.07,13.594083333333334,6385961.0,115.06,13.587716666666669,6832324.467556744,115.06,13.587616666666666,7859722.5,115.07,13.58765,8159233.0,115.06,13.587833333333332,7316203.5,115.06,13.58775,8079504.0,115.07,,,,13.587783333333334,7192059.745955214,115.07,2.014731613567561
77,#78 213.0500@16.5591 MS1+,1,+,16.559116666666668,406814.25,8918.86318295039,213.05,,,9.38417545337522e-06,213.06071428571428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.590216666666667,59701.62953338152,213.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.584166666666665,174332.5107866993,213.07,,,,,,,,,,,,,,,,16.559066666666666,168681.41185951867,213.06,,,,,,,,,,,,,,,,,,,16.59048333333333,51620.62109375,213.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.584016666666667,331165.26583280467,213.04,,,,16.590416666666666,245043.93561486388,213.07,16.5591,1506806.910819247,213.06,,,,,,,16.552783333333334,258114.125,213.07,16.552733333333332,147886.2510797538,213.05,16.584166666666665,479024.34375,213.06,16.55275,1172524.0,213.06,,,,16.552833333333332,346901.78125,213.05,,,,16.55915,228112.5261939109,213.07,,,,16.55895,168999.9022638846,213.06,,,,,,,,,,16.559166666666666,432309.42883704574,213.06,,,,,,,16.559116666666668,406814.25,213.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1348085128398036
46,#47 281.1300@20.8565 MS1+,1,+,20.8565,3898654.25,78861.29181110249,281.13,,,9.18363521895671e-08,281.11727272727273,,,,20.850166666666667,116193.26742942331,281.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.8565,102027.7890625,281.09,20.8565,164879.75,281.12,20.85033333333333,54945.02434790452,281.09,,,,,,,20.85666666666667,123603.421875,281.12,20.8565,262044.10061127023,281.11,,,,,,,,,,,,,,,,,,,,,,,,,20.8565,291557.59375,281.09,,,,,,,20.850166666666667,206370.890625,281.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.8565,266211.9375,281.12,,,,,,,,,,20.85033333333333,470141.71875,281.11,,,,,,,20.85666666666667,377694.25,281.12,,,,,,,,,,,,,,,,,,,,,,20.856333333333332,259428.890625,281.12,20.8565,958501.5663631008,281.12,20.8565,353689.82347026846,281.11,,,,20.8565,542670.125,281.12,,,,20.85666666666667,1162594.875,281.12,20.8565,3898654.25,281.13,20.85666666666667,374042.78125,176.06,20.8565,675515.0625,281.11,20.8565,1102511.7461920015,281.11,20.8565,826313.6875,281.11,20.85666666666667,1248554.5,281.12,20.8565,1991332.0,281.12,20.85033333333333,3768519.5,281.13,20.8565,1212272.25,281.1,,,,,,,,,,20.856333333333332,657953.5,176.06,20.8565,717368.375,281.11,,,,20.8565,365071.049797522,281.11,,,,,,,20.8565,460313.5625,281.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4153425188859505
15,#16 117.0700@5.8060 MS1+,1,+,5.8059666666666665,4077943.5,51273.88211239922,117.07,,,1.1687317780229025e-12,117.06306666666666,5.812333333333333,1469754.3239102955,117.06,5.812283333333334,1812045.749828815,117.06,,,,5.7998,631621.7185481124,73.06,5.812466666666666,955387.830070352,117.07,,,,5.812200000000001,1869854.0400267327,117.07,5.81245,2538617.0,117.07,5.812433333333333,3572019.25,117.06,,,,5.818483333333333,507823.5625,117.07,5.8121833333333335,2680359.0,117.06,5.8124,2605924.25,117.06,5.81245,3791889.460574814,117.07,5.812283333333334,1637945.9114574264,117.06,5.812283333333334,2873113.25,117.06,5.812250000000001,3469062.497844084,117.06,5.812416666666667,2752072.25,117.06,5.812166666666667,1317664.769805028,117.07,,,,5.806133333333333,901427.0,147.07,5.8059666666666665,4077943.5,117.07,5.81215,1497535.9740155,117.06,5.799933333333333,2003038.8455581623,117.07,5.8059666666666665,2408981.0050910497,117.06,5.806016666666666,1020672.445176106,73.05,,,,,,,5.806033333333334,1849259.625,117.06,,,,5.8060833333333335,5006460.0,117.06,5.8123,141932.6890595783,147.04,5.806,4407183.5,117.06,5.806,3052074.75,117.06,5.80605,3394970.5,117.06,5.80595,2622124.25,117.06,5.806,2369191.25,117.06,5.8061,2414845.75,117.07,5.806116666666667,4532143.5,117.06,5.812433333333333,3923033.5,117.06,5.8059666666666665,6836574.0,117.07,5.805916666666667,2926911.25,117.06,5.806066666666666,5176537.5,117.06,5.806166666666667,3723457.75,117.06,5.8123,8388096.0,117.06,5.812333333333333,3447490.4220718853,117.07,5.806166666666667,1433236.75,117.06,5.81235,1886385.155366424,117.06,5.812383333333333,1306082.0,117.07,5.812316666666666,1703983.016165168,117.06,5.812416666666667,2473084.442341757,117.06,5.812433333333333,581283.6542456764,117.06,5.806183333333333,4157315.474763056,117.07,5.806116666666667,709732.8125,117.06,5.805899999999999,730436.8125,117.06,,,,5.799783333333334,767753.1875,117.06,5.805866666666666,745968.5,117.07,5.812250000000001,2086207.884625372,117.06,5.812283333333334,720978.375,117.06,5.805933333333333,963810.5,117.07,5.81235,4267158.0,117.07,,,,5.812383333333333,1056547.9668438043,117.06,5.812233333333333,3162880.932399549,117.07,5.812266666666667,665211.1249188264,117.07,5.812383333333333,6142313.040252421,117.05,5.793566666666666,3833774.3019235954,117.07,5.806133333333333,3764432.75,117.05,,,,5.806016666666666,6493122.0,117.06,5.8059666666666665,5244984.0,117.06,5.806133333333333,8257700.598477108,117.06,5.805983333333333,8388096.0,117.06,5.793666666666667,7026980.689275239,117.06,5.806066666666666,7011946.5,117.06,5.805983333333333,1148755.6621069466,117.06,5.806133333333333,3460429.75,117.06,5.8060833333333335,3298720.5,117.05,5.805933333333333,6586892.5,117.06,5.806016666666666,5091672.0,147.04,5.787266666666667,864591.3103820672,117.04,5.812333333333333,7150411.0,117.06,5.806150000000001,8388096.0,117.06,,,,5.806,8322119.1691667475,117.06,5.8061,6490723.193640371,117.06,,,,5.8121833333333335,683519.8125,117.06,,,,,,,5.799666666666667,396379.1875,117.06,5.806,557216.0625,117.05,,,,,,,,,,,,,5.799883333333333,412939.0788545611,117.06,,,,,,,,,,5.806116666666667,358058.4802678497,117.05,5.79975,161282.38529046968,73.05,,,,5.805933333333333,438976.2670968283,117.02,5.806116666666667,425755.6523069603,117.05,,,,,,,5.8060833333333335,644300.2156797292,117.06,2.502078405131816
23,#24 285.1000@16.5153 MS1+,1,+,16.5153,2930332.6794757303,39884.20804562723,285.1,,,2.728407166863178e-09,285.1048,,,,,,,,,,,,,,,,,,,,,,,,,16.515416666666667,689650.9375,285.09,,,,,,,,,,,,,16.509183333333333,563757.7598994921,285.09,,,,,,,16.515233333333335,538419.240253728,285.11,,,,,,,16.50893333333333,752225.6875,285.1,,,,16.5152,964649.375,285.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.508983333333333,848210.0900800787,285.09,,,,,,,,,,,,,,,,16.5091,892222.1999304324,285.09,16.5154,758775.4375138377,285.1,16.50893333333333,732616.2343183552,285.11,16.5089,402709.71875,285.09,16.50905,957608.951137378,285.11,16.509149999999998,416134.5625,285.11,16.515283333333333,1936149.9484005996,285.11,,,,,,,16.509083333333333,523003.3125,285.09,,,,,,,16.509133333333335,355504.8125,285.09,,,,,,,,,,16.515133333333335,393971.59375,285.09,,,,,,,,,,16.515216666666667,220540.9375,285.11,,,,16.515166666666666,591305.4963980245,285.1,16.515333333333334,4794009.0,285.11,16.515249999999998,881193.2375137875,285.1,,,,,,,,,,16.51535,1806665.9515399516,285.1,16.515316666666667,8388096.0,285.12,,,,16.51526666666667,2764841.25,285.1,16.509,2258512.5,285.1,,,,16.51536666666667,3016069.0,285.1,16.508966666666666,7590532.5,285.11,16.515416666666667,8388096.0,285.11,16.5153,2930332.6794757303,285.1,,,,16.51536666666667,1816879.25,285.1,16.509066666666666,150247.2642286697,285.1,16.5089,1304181.3073350126,285.09,16.515249999999998,2580708.75,285.09,,,,16.515316666666667,892429.25,285.1,16.515383333333332,4034493.75,285.1,,,,16.515233333333335,1924043.3253210937,285.09,16.515333333333334,3010117.5065347524,285.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.566588802417214
