,top1,top3,top5,top10,top20,top50
10,1,0.999,0.999,0.999,0.999,0.999
20,1,0.999,0.999,0.999,0.999,0.999
30,1,0.999,0.999,0.999,0.999,0.999
40,1,0.999,0.999,0.999,0.999,0.999
50,1,1,1,1,1,1
100,1,1,1,1,1,1
200,1,1,1,1,1,1
500,1,1,1,1,1,1
4_4,1,1,1,1,1,1
4_7,1,1,1,1,1,1
6_6,1,1,1,1,1,1
6_11,1,1,1,1,1,1
8_8,1,1,1,1,1,1
8_15,1,1,1,1,1,1
12_12,1,1,1,1,1,1
16_16,1,1,1,1,1,1
