Id,Mz,Intensity,SpectrumId
62953437,43.9951,0.002169,2152890
62953438,44.9862,0.023547,2152890
62953439,46.9769,0.002473,2152890
62953440,58.9986,0.006583,2152890
62953441,73.0251,0.378372,2152890
62953442,74.0643,0.01619,2152890
62953443,75.0425,0.028115,2152890
62953444,77.0239,0.003148,2152890
62953445,91.0587,0.002583,2152890
62953446,93.0378,0.004513,2152890
62953447,101.0089,0.002842,2152890
62953448,103.0311,0.008472,2152890
62953449,117.0415,0.002405,2152890
62953450,129.0467,0.002197,2152890
62953451,131.0124,0.005444,2152890
62953452,133.0227,0.003327,2152890
62953453,134.0843,0.002633,2152890
62953454,135.0663,0.001952,2152890
62953455,141.0457,0.00417,2152890
62953456,147.0324,0.08482,2152890
62953457,148.0777,0.012608,2152890
62953458,149.0459,0.009489,2152890
62953459,151.023,0.004066,2152890
62953460,165.0572,0.001942,2152890
62953461,167.0428,0.004326,2152890
62953462,181.0484,0.002314,2152890
62953463,189.0632,0.024195,2152890
62953464,190.0999,0.004047,2152890
62953465,191.0591,0.00842,2152890
62953466,193.0683,0.004309,2152890
62953467,195.0382,0.002439,2152890
62953468,204.0689,0.261279,2152890
62953469,205.1408,0.016289,2152890
62953470,206.1397,0.004228,2152890
62953471,207.1003,0.00352,2152890
62953472,221.072,0.004174,2152890
62953473,243.0672,0.001982,2152890
62953474,255.1296,0.01045,2152890
62953475,267.0821,0.004222,2152890
62953476,282.1013,0.00895,2152890
62953477,283.1161,0.003836,2152890
62953478,357.1257,0.005615,2152890
62953479,358.1624,0.003099,2152890
62953480,372.135,0.008246,2152890
