Query Spectrum ID,Match Spectrum ID,Score
,0,2152339,0.9669419998446008
,1,2152340,0.9628539998304063
,2,2152341,0.9753879749379306
,3,2152342,0.9652969303906045
,4,2152343,0.977199044785905
,5,2152344,0.9578189996250147
,6,2152345,0.9611219221302965
,7,2152346,0.9690220612053768
,8,2152347,0.9527490941091149
,9,2152348,0.9710350267310538
,10,2152349,0.9813400183964995
,11,2152350,0.9752231234565677
,11,2155637,0.5199305301307142
,12,2152351,0.9556221771170822
,13,2152352,0.9765500232561993
,14,2152353,0.9585920826451476
,15,2152354,0.9772319761502527
,16,2152355,0.9558079996905414
,16,2152359,0.5380697240614896
,17,2152356,0.9720769995666081
,18,2152357,0.9520789516999985
,19,2152358,0.9543019082358847
,20,2152359,0.9518719033216164
,20,2152355,0.5255585105856198
,21,2152360,0.9382748764392144
,22,2152361,0.9335382653159546
,23,2152362,0.9563219997804202
,24,2152363,0.9702238802122115
,25,2152364,0.9403769398911449
,26,2152365,0.9600729598613578
,27,2152366,0.9490042546196557
,28,2152367,0.9626319992708735
,29,2152368,0.951705854692826
,30,2152369,0.9458920534826972
,31,2152370,0.9180439179349015
,32,2152371,0.9176140822243596
,33,2152372,0.948962050724078
,34,2152373,0.9646310352471686
,35,2152374,0.93974618040035
,36,2152375,0.969216092070481
,37,2152376,0.942839771081681
,38,2152377,0.8992899995961646
,39,2152378,0.9127269997058308
,40,2152379,0.9188300806794476
,41,2152380,0.9341370654580436
,42,2152381,0.916600249227881
,43,2152382,0.9306617914783193
,44,2152383,0.9585142069929047
,44,2152455,0.5036092351644686
,45,2152384,0.9556499998091423
,46,2152385,0.9224397669390257
,47,2152386,0.9370759366081738
,48,2152387,0.8893161105249003
,49,2152388,0.9193499189486433
,50,2152389,0.967857902834153
,51,2152390,0.9702920293373595
,52,2152391,0.9377918751008577
,53,2152392,0.9443009438765032
,53,2152656,0.5198638836733009
,54,2152393,0.8706218702639524
,55,2152394,0.9247041497345261
,56,2152395,0.9684879050328236
,57,2152396,0.9284117133849777
,58,2152397,0.8987033036902882
,59,2152398,0.956390216904224
,60,2152399,0.9281290714523187
,61,2152400,0.9454310542202669
,61,2152662,0.5201621278060434
,62,2152401,0.9401359396492257
,63,2152402,0.9538661840105643
,64,2152403,0.9627949613886553
,65,2152404,0.950991950422922
,66,2152405,0.9228079225252527
,67,2152406,0.9517101925368168
,68,2152407,0.9182040815190808
,69,2152408,0.9849420449684876
,70,2152409,0.9630700729430616
,71,2152410,0.9281138558960846
,72,2152411,0.9506889994635888
,73,2152412,0.9573476402781709
,74,2152413,0.9456270538661592
,75,2152414,0.9631360365878643
,76,2152415,0.9471852636987365
,77,2152416,0.9591119180338502
,78,2152417,0.900212899700481
,79,2152418,0.9380901849497626
,80,2152419,0.9550969098661751
,81,2152420,0.9345760650687265
,82,2152421,0.9536770919290015
,83,2152422,0.9690489994190047
,84,2152423,0.9573719996162924
,85,2152424,0.9673078021382541
,86,2152425,0.9177200818331881
,87,2152426,0.9685759998771707
,88,2152427,0.9250000746383962
,89,2152428,0.9295802109541746
,90,2152429,0.9382658144292455
,91,2152430,0.9635999996756148
,92,2152431,0.9760529518264538
,93,2152432,0.9432598294661511
,94,2152433,0.9654830343878149
,95,2152434,0.9118661759687235
,96,2152435,0.9664460668394931
,97,2152436,0.9320782033698856
,98,2152437,0.9803020588244707
,99,2152438,0.8965371032651213
,100,2152439,0.9179100814724608
,101,2152440,0.9773830215481635
,102,2152441,0.9261487041354494
,103,2152442,0.9787640632765652
,104,2152443,0.9499919498117992
,105,2152444,0.9496908987504646
,106,2152445,0.9649600698825965
,107,2152446,0.976756046287614
,108,2152447,0.9618740761441845
,109,2152448,0.9425769995602027
,109,2152455,0.5102611783104687
,110,2152449,0.9638509631864981
,111,2152450,0.9301983480929196
,112,2152451,0.959252040292702
,113,2152452,0.9617659615345654
,114,2152453,0.976945999640784
,115,2152454,0.9537779069751295
,116,2152455,0.9374758747288346
,116,2152448,0.5177217361873906
,117,2152456,0.9188199999129005
,118,2152457,0.9648681400994016
,119,2152458,0.9133729996355677
,120,2152459,0.9688709062006501
,121,2152460,0.9240319236845469
