	m/z	retention_time	p-value	f-score	FDR_BH	custom_id
0	215.0342	0.4142	3.442260195381254e-20	58.62424706682931	1.2522705193542147e-19	1.0
1	217.0362	0.4162	0.3699836229372699	1.0000000000000002	0.3959474265159181	6.0
2	804.571	5.5718	0.3699836229372699	0.9999999999999997	0.3959474265159181	8.0
3	830.5906	5.7476	0.002371690056514122	6.259052876436587	0.004321054185912058	13.0
4	596.5256	6.0223	1.53566712325808e-119	1932.268166567945	9.97002347715246e-118	18.0
5	803.5632	5.0897	2.4166601155287137e-91	870.3957326537259	4.339704547885605e-90	21.0
6	747.5602	4.7732	0.08630086155896681	2.484736532637874	0.1286889172363392	22.0
7	246.9529	0.4212	0.0023755558557620794	6.257307073005935	0.004321054185912058	24.0
8	187.0088	0.4146	6.721874509160402e-11	26.879263651387877	1.91018925445501e-10	33.0
9	217.0529	0.4126	0.14382339560264001	1.9609419796770386	0.1973771477863873	36.0
10	805.5797	5.5828	9.551620991956438e-105	1278.0562587243066	2.7798510749004253e-103	44.0
11	540.3304	1.4608	3.0843441481016964e-70	460.6390299414569	2.9249286078627323e-69	45.0
12	831.5944	5.7374	1.406602347364982e-99	1103.548708593496	2.967930952940112e-98	52.0
13	827.5631	4.9986	7.256785293053425e-109	1435.296340954312	2.78396672151686e-107	54.0
14	112.9862	0.4482	0.19052109282621077	1.673891704582771	0.25496221781697553	59.0
15	850.559	4.8246	4.37499466260413e-05	10.638918252917538	9.492276337372457e-05	63.0
16	854.5846	5.6289	0.31871829785592587	1.1509948834288017	0.3959474265159181	64.0
17	828.5707	5.2668	0.3699836229372699	1.0000000000000007	0.3959474265159181	69.0
18	748.5676	4.7853	1.8199567998002276e-14	38.15539782880386	5.710199029856477e-14	70.0
19	258.2521	3.1364	0.08614625025323654	2.486580909314244	0.1286857260420029	72.0
20	586.507	6.0321	0.3699836229372699	1.0000000000000004	0.3959474265159181	77.0
21	112.9851	12.6352	0.0001751211637092449	9.094663055287517	0.0003604933223673236	81.0
22	857.6746	6.8166	3.614888476873433e-91	865.9747202298385	6.35617890516912e-90	92.0
23	694.6259	8.3972	0.3699836229372699	1.0000000000000004	0.3959474265159181	106.0
24	465.2987	3.1286	0.12114230176299513	2.1366036520213347	0.17750712272216645	108.0
25	89.0229	0.4893	6.397255693612712e-05	10.213419877693887	0.00013738635637173356	111.0
26	367.1077	0.4168	4.6858151733267905e-33	117.70074499807927	2.234366105247351e-32	117.0
27	186.0431	0.4752	0.13741665505295442	2.0075498188377017	0.1923377394107687	123.0
28	172.9919	0.4176	4.5537703433003096e-07	15.899091065987463	1.1205195830161695e-06	125.0
29	828.5672	4.9986	5.140990937334564e-87	766.7806356136488	7.481028191569607e-86	129.0
30	586.5196	6.0134	0.3699836229372699	1.0000000000000004	0.3959474265159181	132.0
31	201.057	0.4737	4.930909552875842e-13	33.498006312660216	1.4757757668890817e-12	133.0
32	134.8664	12.8531	0.3699836229372699	1.0000000000000002	0.3959474265159181	134.0
33	804.5674	5.0814	1.0433909530748257e-41	170.37809683002232	5.831933539040748e-41	142.0
34	855.5926	5.6289	1.44853480761731e-06	14.53949800228924	3.453568863358784e-06	143.0
35	832.6072	6.2626	9.312567738181137e-80	617.5644936788804	1.1391024885543305e-78	144.0
36	115.0225	0.4744	3.1864600207970007e-23	70.79815237364929	1.2685718196003155e-22	145.0
37	718.5386	6.3678	3.0700603241306708e-52	253.11126157191896	2.1592757613052386e-51	147.0
38	851.5633	4.8275	1.8758441914043964e-84	710.8041688087162	2.435711534685093e-83	149.0
39	829.5787	5.2655	4.753070292717499e-102	1184.0180925684847	1.0842138721766402e-100	155.0
40	505.3446	4.8772	0.018894900752996557	4.060783659263329	0.030905612859552508	156.0
