	m/z	retention_time	p-value	f-score
0	215.0342	0.4142	3.442260195381254e-20	58.62424706682931
1	217.0362	0.4162	0.3699836229372699	1.0000000000000002
2	804.571	5.5718	0.3699836229372699	0.9999999999999997
3	830.5906	5.7476	0.002371690056514122	6.259052876436587
4	596.5256	6.0223	1.53566712325808e-119	1932.268166567945
5	803.5632	5.0897	2.4166601155287137e-91	870.3957326537259
6	747.5602	4.7732	0.08630086155896681	2.484736532637874
7	246.9529	0.4212	0.0023755558557620794	6.257307073005935
8	187.0088	0.4146	6.721874509160402e-11	26.879263651387877
9	217.0529	0.4126	0.14382339560264001	1.9609419796770386
10	805.5797	5.5828	9.551620991956438e-105	1278.0562587243066
11	540.3304	1.4608	3.0843441481016964e-70	460.6390299414569
12	831.5944	5.7374	1.406602347364982e-99	1103.548708593496
13	827.5631	4.9986	7.256785293053425e-109	1435.296340954312
14	112.9862	0.4482	0.19052109282621077	1.673891704582771
15	850.559	4.8246	4.37499466260413e-05	10.638918252917538
16	854.5846	5.6289	0.31871829785592587	1.1509948834288017
17	828.5707	5.2668	0.3699836229372699	1.0000000000000007
18	748.5676	4.7853	1.8199567998002276e-14	38.15539782880386
19	258.2521	3.1364	0.08614625025323654	2.486580909314244
20	586.507	6.0321	0.3699836229372699	1.0000000000000004
21	112.9851	12.6352	0.0001751211637092449	9.094663055287517
22	857.6746	6.8166	3.614888476873433e-91	865.9747202298385
23	694.6259	8.3972	0.3699836229372699	1.0000000000000004
24	465.2987	3.1286	0.12114230176299513	2.1366036520213347
25	89.0229	0.4893	6.397255693612712e-05	10.213419877693887
26	367.1077	0.4168	4.6858151733267905e-33	117.70074499807927
27	186.0431	0.4752	0.13741665505295442	2.0075498188377017
28	172.9919	0.4176	4.5537703433003096e-07	15.899091065987463
29	828.5672	4.9986	5.140990937334564e-87	766.7806356136488
30	586.5196	6.0134	0.3699836229372699	1.0000000000000004
31	201.057	0.4737	4.930909552875842e-13	33.498006312660216
32	134.8664	12.8531	0.3699836229372699	1.0000000000000002
33	804.5674	5.0814	1.0433909530748257e-41	170.37809683002232
34	855.5926	5.6289	1.44853480761731e-06	14.53949800228924
35	832.6072	6.2626	9.312567738181137e-80	617.5644936788804
36	115.0225	0.4744	3.1864600207970007e-23	70.79815237364929
37	718.5386	6.3678	3.0700603241306708e-52	253.11126157191896
38	851.5633	4.8275	1.8758441914043964e-84	710.8041688087162
39	829.5787	5.2655	4.753070292717499e-102	1184.0180925684847
40	505.3446	4.8772	0.018894900752996557	4.060783659263329
41	856.602	5.9064	0.23513783921365894	1.4596935502801192
42	832.621	6.2669	0.01500325919600743	4.302493073324222
43	824.5432	4.6031	0.00019857981367704346	8.95590874334711
44	325.1843	3.1424	2.4852065122110948e-120	1974.9835729040565
45	465.2848	3.1286	0.8644890161979175	0.14573861065677932
46	775.5857	5.4488	0.3699836229372699	0.9999999999999993
47	311.1701	3.1438	0.0002312687774864375	8.787979192016063
48	684.6078	8.3991	0.36858692028759416	1.0038257390829337
49	92.9292	0.4256	8.6028009116077e-14	35.940735167250885
50	465.3227	3.1286	0.21570794964261097	1.547430566882692
51	858.6828	6.8067	0.060532869526626676	2.8502630806623954
