	m/z	retention_time	p-value	f-score
0	147.0	5.891	1.5075952298547674e-17	48.92728801629263
1	147.0	11.1772	8.463558947735852e-84	709.1647823455314
2	147.0	6.4908	9.670651492977202e-46	201.0274182207409
3	147.0	12.1905	6.763778565397291e-11	26.91511029740268
4	147.0	11.2908	8.035036600154837e-60	332.45595747608627
5	147.0	6.6192	1.630165311980179e-08	19.938518978608528
6	117.0	11.971	4.945955682770766e-05	10.508443015485094
7	117.0	12.8784	1.3580282409158835e-08	20.1637512851935
8	147.0	7.265	2.7568742256851105e-41	168.7542922143536
9	129.0	16.6975	7.784184438847999e-11	26.73077294070405
10	87.0	7.8393	1.0493091303829246e-10	26.34000984963967
11	87.0	9.1495	6.73296213345239e-11	26.92110612782212
12	87.0	11.4045	1.2429433901555225e-06	14.732038223177542
13	87.0	10.3324	7.474138660412774e-15	39.533422111306116
14	87.0	7.1376	1.2641358662782173e-10	26.096969745847662
15	147.0	7.1925	0.004801193173414815	5.508093507137258
16	174.0	7.6903	2.377430221299903e-20	59.43979191166312
17	142.0	7.658	1.4547492409697196e-60	340.8546182313092
18	116.0	6.2056	1.75289769713833e-70	470.6953079164791
19	204.0	11.5574	3.6277557099166367e-38	148.3427366809844
20	117.0	12.7746	0.26557079419126833	1.3361471457988012
21	147.0	7.3973	0.0006157467038057737	7.719720561063097
22	299.0	7.4247	2.2332177012900624e-16	44.76382777410794
23	156.0	9.128	2.408816702439593e-12	31.379905741778483
24	144.0	7.0278	2.0706112420554766e-63	374.6605545176188
25	87.0	6.4251	0.0009732790722166759	7.22211390368164
26	87.0	12.3777	5.471496912243347e-05	10.395188377094424
27	87.0	13.2704	7.907835493617148e-07	15.263111913152217
28	87.0	14.0927	8.293095354722478e-05	9.93017445866101
29	237.0	16.5044	8.522661601219786e-09	20.740435810732617
30	131.0	15.1785	0.07992092416085318	2.5642018149779955
31	87.0	14.8551	7.06146094537817e-07	15.396492712924452
32	156.0	10.5647	5.443272477026923e-39	153.56882942565076
33	91.0	6.6486	1.2835147962166919e-54	278.0365187918983
34	87.0	15.5921	0.00044945029711651195	8.063418356976124
35	87.0	16.4123	5.795232098247288e-05	10.33077836425864
36	147.0	10.0061	2.2194873337854934e-11	28.387675358139287
37	142.0	10.794	4.4565227348699624e-48	219.55649492549932
38	147.0	10.9812	3.7798456456868306e-64	383.86130767617743
39	158.0	7.5884	4.796763060703141e-43	181.04253874242744
40	156.0	11.3398	2.4783365678645178e-55	285.06507139199977
41	246.0	9.6582	5.5970221300603684e-06	12.984847517925285
42	102.0	6.3507	1.7329401158221524e-18	52.36435529840077
43	202.0	12.8098	4.6339163106774326e-63	370.36571197442555
44	217.0	11.5525	2.406517819448859e-49	230.104833305211
45	87.0	17.4011	0.0006889934423141734	7.597315354214549
46	218.0	11.4565	1.4609398339966253e-51	249.43422901423645
47	147.0	8.8369	0.0018955789762268936	6.502317915532642
48	131.0	6.3781	5.473470977414074e-32	112.61270353634355
49	97.0	5.6235	1.6975322577227793e-20	60.010567195922945
50	147.0	10.7783	1.5410557569106769e-62	364.03340268703437
51	204.0	8.0069	2.5792790907152443e-43	182.9760347099811
52	141.0	8.9712	0.00019765166398969715	8.966269003763133
53	147.0	11.8494	4.0279369141547023e-11	27.59771170578726
54	117.0	10.9763	5.275965628716832e-10	24.250015967583234
55	147.0	14.8149	2.282082230933124e-08	19.52492791525607
56	91.0	13.4449	9.81932377155518e-07	15.008510692287658
57	117.0	8.1823	4.645273523349971e-53	263.1576612116854
58	217.0	11.5025	6.568359646867182e-27	87.35909316615542
59	218.0	9.7856	1.4390863430500019e-37	144.6177815987504
60	217.0	14.2122	0.002810702352139763	6.079593797168008
61	91.0	6.6456	2.4568455470099705e-06	13.937070752548642
62	147.0	9.2622	1.7003414214733643e-32	115.33107932474255
63	128.0	9.3308	0.0005658733280824791	7.811813182360668
64	129.0	12.7706	0.0004202170809257074	8.137006729445286
65	146.0	13.1009	4.7992778114437945e-90	853.9168368938524
66	91.0	11.87	2.9277156500671225e-05	11.098658888755219
67	131.0	13.6517	3.1985675453892344e-49	229.06076067115424
68	133.0	6.3252	6.691253178167047e-48	218.11585470586857
69	174.0	7.1533	0.30604688212107006	1.192205072315088
70	147.0	10.4333	1.8071794796277673e-17	48.64321799313598
71	116.0	7.3356	3.293488549388294e-06	13.59708677574728
72	97.0	5.6382	8.255255001821245e-11	26.653780625891383
73	212.0	7.0572	0.0010003811375335259	7.192346672156027
74	97.0	8.0333	9.121224145758777e-35	127.94975178033687
75	123.0	5.8146	0.4263712498598561	0.856683607429166
76	204.0	11.822	4.759294229435053e-28	92.7316418215604
77	116.0	9.9786	3.719665332840328e-15	40.556160326594345
78	207.0	5.6676	7.818822165644504e-14	36.15290074496072
79	85.0	8.9467	7.258754738960214e-05	10.078886555260109
80	174.0	10.4902	1.5835224351580346e-28	95.03336945286617
81	147.0	8.7654	4.95996325624344e-44	188.1822900061274
82	147.0	6.7632	3.722433454113806e-21	62.609637619561084
83	147.0	12.7138	4.121811206788456e-10	24.566951056305253
84	160.0	8.4871	3.310160137633181e-05	10.960139188431658
85	154.0	9.5484	1.6839046246374456e-10	25.72385752060482
86	129.0	15.9429	7.9789916665219115e-22	65.29502141372014
87	134.0	7.8932	6.381740522103044e-05	10.22285280214279
88	156.0	10.1913	4.816864185351599e-40	160.41980488779745
89	89.0	7.0082	4.4558304445721194e-21	62.29920255069222
90	147.0	17.8196	3.2652903889793824e-19	55.07590625297028
