,m/z,retention_time,p-value,f-score,FDR_BH,custom_id
0,147.0,5.891,1.5075952298547674e-17,48.92728801629263,3.4297791479195957e-17,#1 147.0000@5.8910 MS1+
1,147.0,11.1772,8.463558947735852e-84,709.1647823455314,3.8509193212198124e-82,#2 147.0000@11.1772 MS1+
2,147.0,6.4908,9.670651492977202e-46,201.0274182207409,4.8890515881162523e-45,#3 147.0000@6.4908 MS1+
3,147.0,12.1905,6.763778565397291e-11,26.91511029740268,1.231007698902307e-10,#4 147.0000@12.1905 MS1+
4,147.0,11.2908,8.035036600154837e-60,332.45595747608627,8.124314784601002e-59,#5 147.0000@11.2908 MS1+
5,147.0,6.6192,1.630165311980179e-08,19.938518978608528,2.4724173898366048e-08,#6 147.0000@6.6192 MS1+
6,117.0,11.971,4.945955682770766e-05,10.508443015485094,6.33918263566394e-05,#7 117.0000@11.9710 MS1+
7,117.0,12.8784,1.3580282409158835e-08,20.1637512851935,2.094585930904159e-08,#8 117.0000@12.8784 MS1+
8,147.0,7.265,2.7568742256851105e-41,168.7542922143536,1.1403434297152049e-40,#9 147.0000@7.2650 MS1+
9,129.0,16.6975,7.784184438847999e-11,26.73077294070405,1.3889427135983684e-10,#10 129.0000@16.6975 MS1+
10,87.0,7.8393,1.0493091303829246e-10,26.34000984963967,1.8016439785820025e-10,#11 87.0000@7.8393 MS1+
11,87.0,9.1495,6.73296213345239e-11,26.92110612782212,1.231007698902307e-10,#12 87.0000@9.1495 MS1+
12,87.0,11.4045,1.2429433901555225e-06,14.732038223177542,1.7401207462177315e-06,#13 87.0000@11.4045 MS1+
13,87.0,10.3324,7.474138660412774e-15,39.533422111306116,1.545787768403551e-14,#14 87.0000@10.3324 MS1+
14,87.0,7.1376,1.2641358662782173e-10,26.096969745847662,2.130303033913292e-10,#15 87.0000@7.1376 MS1+
15,147.0,7.1925,0.004801193173414815,5.508093507137258,0.005021937687135036,#16 147.0000@7.1925 MS1+
16,174.0,7.6903,2.377430221299903e-20,59.43979191166312,5.847193246980843e-20,#17 174.0000@7.6903 MS1+
17,142.0,7.658,1.4547492409697196e-60,340.8546182313092,1.6547772616030559e-59,#18 142.0000@7.6580 MS1+
18,116.0,6.2056,1.75289769713833e-70,470.6953079164791,5.317123014652935e-69,#19 116.0000@6.2056 MS1+
19,204.0,11.5574,3.6277557099166367e-38,148.3427366809844,1.3205030784096557e-37,#20 204.0000@11.5574 MS1+
20,117.0,12.7746,0.26557079419126833,1.3361471457988012,0.27153867720680247,#21 117.0000@12.7746 MS1+
21,147.0,7.3973,0.0006157467038057737,7.719720561063097,0.0006917648153867334,#22 147.0000@7.3973 MS1+
22,299.0,7.4247,2.2332177012900624e-16,44.76382777410794,4.838638352795135e-16,#23 299.0000@7.4247 MS1+
23,156.0,9.128,2.408816702439593e-12,31.379905741778483,4.765267824391369e-12,#24 156.0000@9.1280 MS1+
24,144.0,7.0278,2.0706112420554766e-63,374.6605545176188,3.7685124605409676e-62,#25 144.0000@7.0278 MS1+
25,87.0,6.4251,0.0009732790722166759,7.22211390368164,0.001067089103273705,#26 87.0000@6.4251 MS1+
26,87.0,12.3777,5.471496912243347e-05,10.395188377094424,6.915364152974231e-05,#27 87.0000@12.3777 MS1+
27,87.0,13.2704,7.907835493617148e-07,15.263111913152217,1.142242904633588e-06,#28 87.0000@13.2704 MS1+
28,87.0,14.0927,8.293095354722478e-05,9.93017445866101,9.929890490522966e-05,#29 87.0000@14.0927 MS1+
29,237.0,16.5044,8.522661601219786e-09,20.740435810732617,1.3371762167431045e-08,#30 237.0000@16.5044 MS1+
30,131.0,15.1785,0.07992092416085318,2.5642018149779955,0.08264550112088227,#31 131.0000@15.1785 MS1+
31,87.0,14.8551,7.06146094537817e-07,15.396492712924452,1.036440235531312e-06,#32 87.0000@14.8551 MS1+
32,156.0,10.5647,5.443272477026923e-39,153.56882942565076,2.0639074808727083e-38,#33 156.0000@10.5647 MS1+
33,91.0,6.6486,1.2835147962166919e-54,278.0365187918983,1.0618167859610815e-53,#34 91.0000@6.6486 MS1+
34,87.0,15.5921,0.00044945029711651195,8.063418356976124,0.0005177212283240833,#35 87.0000@15.5921 MS1+
35,87.0,16.4123,5.795232098247288e-05,10.33077836425864,7.22419343754114e-05,#36 87.0000@16.4123 MS1+
36,147.0,10.0061,2.2194873337854934e-11,28.387675358139287,4.297305263286806e-11,#37 147.0000@10.0061 MS1+
37,142.0,10.794,4.4565227348699624e-48,219.55649492549932,2.534647305457291e-47,#38 142.0000@10.7940 MS1+
38,147.0,10.9812,3.7798456456868306e-64,383.86130767617743,8.599148843937539e-63,#39 147.0000@10.9812 MS1+
39,158.0,7.5884,4.796763060703141e-43,181.04253874242744,2.0785973263046944e-42,#40 158.0000@7.5884 MS1+
40,156.0,11.3398,2.4783365678645178e-55,285.06507139199977,2.2552862767567112e-54,#41 156.0000@11.3398 MS1+
41,246.0,9.6582,5.5970221300603684e-06,12.984847517925285,7.490132556404316e-06,#42 246.0000@9.6582 MS1+
42,102.0,6.3507,1.7329401158221524e-18,52.36435529840077,4.043526936918356e-18,#43 102.0000@6.3507 MS1+
43,202.0,12.8098,4.6339163106774326e-63,370.36571197442555,7.028106404527439e-62,#44 202.0000@12.8098 MS1+
44,217.0,11.5525,2.406517819448859e-49,230.104833305211,1.5642365826417582e-48,#45 217.0000@11.5525 MS1+
45,87.0,17.4011,0.0006889934423141734,7.597315354214549,0.0007646146737876802,#46 87.0000@17.4011 MS1+
46,218.0,11.4565,1.4609398339966253e-51,249.43422901423645,1.0226578837976377e-50,#47 218.0000@11.4565 MS1+
47,147.0,8.8369,0.0018955789762268936,6.502317915532642,0.0020293845510193803,#48 147.0000@8.8369 MS1+
48,131.0,6.3781,5.473470977414074e-32,112.61270353634355,1.7175374446368302e-31,#49 131.0000@6.3781 MS1+
49,97.0,5.6235,1.6975322577227793e-20,60.010567195922945,4.290984318132581e-20,#50 97.0000@5.6235 MS1+
50,147.0,10.7783,1.5410557569106769e-62,364.03340268703437,2.00337248398388e-61,#51 147.0000@10.7783 MS1+
51,204.0,8.0069,2.5792790907152443e-43,182.9760347099811,1.1735719862754361e-42,#52 204.0000@8.0069 MS1+
52,141.0,8.9712,0.00019765166398969715,8.966269003763133,0.0002335883301696421,#53 141.0000@8.9712 MS1+
53,147.0,11.8494,4.0279369141547023e-11,27.59771170578726,7.636297066418289e-11,#54 147.0000@11.8494 MS1+
54,117.0,10.9763,5.275965628716832e-10,24.250015967583234,8.423032845846171e-10,#55 117.0000@10.9763 MS1+
55,147.0,14.8149,2.282082230933124e-08,19.52492791525607,3.4044177543428576e-08,#56 147.0000@14.8149 MS1+
56,91.0,13.4449,9.81932377155518e-07,15.008510692287658,1.3961850987680018e-06,#57 91.0000@13.4449 MS1+
57,117.0,8.1823,4.645273523349971e-53,263.1576612116854,3.522665755207061e-52,#58 117.0000@8.1823 MS1+
58,217.0,11.5025,6.568359646867182e-27,87.35909316615542,1.8678772745778547e-26,#59 217.0000@11.5025 MS1+
59,218.0,9.7856,1.4390863430500019e-37,144.6177815987504,5.036802200675007e-37,#60 218.0000@9.7856 MS1+
60,217.0,14.2122,0.002810702352139763,6.079593797168008,0.002974115279589749,#61 217.0000@14.2122 MS1+
61,91.0,6.6456,2.4568455470099705e-06,13.937070752548642,3.387468860271323e-06,#62 91.0000@6.6456 MS1+
62,147.0,9.2622,1.7003414214733643e-32,115.33107932474255,5.526109619788434e-32,#63 147.0000@9.2622 MS1+
63,128.0,9.3308,0.0005658733280824791,7.811813182360668,0.0006436809106938199,#64 128.0000@9.3308 MS1+
64,129.0,12.7706,0.0004202170809257074,8.137006729445286,0.000490253261079992,#65 129.0000@12.7706 MS1+
65,146.0,13.1009,4.7992778114437945e-90,853.9168368938524,4.3673428084138524e-88,#66 146.0000@13.1009 MS1+
66,91.0,11.87,2.9277156500671225e-05,11.098658888755219,3.861190205160988e-05,#67 91.0000@11.8700 MS1+
67,131.0,13.6517,3.1985675453892344e-49,229.06076067115424,1.940464310869469e-48,#68 131.0000@13.6517 MS1+
68,133.0,6.3252,6.691253178167047e-48,218.11585470586857,3.5817884659600076e-47,#69 133.0000@6.3252 MS1+
69,174.0,7.1533,0.30604688212107006,1.192205072315088,0.30944740303352636,#70 174.0000@7.1533 MS1+
70,147.0,10.4333,1.8071794796277673e-17,48.64321799313598,4.0110568938079714e-17,#71 147.0000@10.4333 MS1+
71,116.0,7.3356,3.293488549388294e-06,13.59708677574728,4.473245641706489e-06,#72 116.0000@7.3356 MS1+
72,97.0,5.6382,8.255255001821245e-11,26.653780625891383,1.444669625318718e-10,#73 97.0000@5.6382 MS1+
73,212.0,7.0572,0.0010003811375335259,7.192346672156027,0.0010837462323279863,#74 212.0000@7.0572 MS1+
74,97.0,8.0333,9.121224145758777e-35,127.94975178033687,3.0741903602372172e-34,#75 97.0000@8.0333 MS1+
75,123.0,5.8146,0.4263712498598561,0.856683607429166,0.4263712498598561,#76 123.0000@5.8146 MS1+
76,204.0,11.822,4.759294229435053e-28,92.7316418215604,1.3970831447696446e-27,#77 204.0000@11.8220 MS1+
