,Alignment ID,Average Rt(min),Average Mz,Metabolite name,Adduct type,MS/MS assigned,Reference RT,Reference m/z,Annotation tag (VS1.0),RT matched,m/z matched,MS/MS matched,Total score,RT similarity,Dot product,Reverse dot product,Fragment presence %,01_Brain,01_Heart,01_Liver,01_Muscle,01_Plasma01,02_Brain,02_Heart,02_Liver,02_Muscle,02_Plasma01,03_Brain,03_Heart,03_Liver,03_Muscle,03_Plasma01,VIP
4726,2460,0.48,217.15541,Unknown,[M+H]+,True,,,999,False,False,False,,,,,,0,0,0,0,0,0,0,42699,0,0,0,0,0,0,0,2.8606617531066516
18444,26897,7.424,1594.33826,Unknown,[M+H]+,False,,,999,False,False,False,,,,,,36729,0,0,0,0,40564,0,0,0,0,110817,0,0,0,0,2.8606860062820227
1310,18246,4.469,808.51501,PS 38:6,[M+H]+,True,8.0,808.51233,420,True,True,True,90.7,99.9,53.9,76.6,100.0,163391,0,61776,0,12327,191189,0,0,0,0,170261,0,11966,0,14950,2.862201815697672
1298,22079,5.08,928.58984,PI 40:6,[M+NH4]+,True,8.29,928.591,410,True,True,True,100.0,99.9,62.5,70.0,100.0,812131,43091,408801,87069,116886,740259,33568,357876,103313,123021,733844,7792,373521,97189,146022,2.8622706004762293
13324,14573,7.317,685.69727,Unknown,[M+H]+,True,,,999,False,False,False,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.862486674158283
5680,3471,0.437,261.13086,Unknown,[M+Na]+,True,,,999,False,False,False,,,,,,29636,0,38375,84086,902011,34640,26255,106208,79140,946662,33805,27259,109114,99963,816053,2.8634471063230325
23314,4772,2.556,312.36316,w/o MS2:RIKEN P-VS1 ID-1305 from Blank,[M+H]+,True,6.97,312.36292,530,True,True,False,100.0,99.9,,,,40748,38139,154031,160424,47832,197320,30505,147955,173014,45756,45011,36974,150765,179339,51858,2.8636314976993593
23960,25908,5.871,1478.18188,w/o MS2:RIKEN P-VS1 ID-20062 from Mouse_Brain_WT_N_w6rich,[M+H]+,False,9.56,1478.18176,530,True,True,False,100.0,99.9,,,,377161,0,0,0,0,437715,0,0,0,0,403143,0,0,0,0,2.8644325548786562
27113,20277,7.424,868.73462,w/o MS2:TG 8:0_8:0_36:6,[M+H]+,False,13.72,868.73889,530,True,True,False,91.3,99.8,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.866551494529511
22651,19937,4.618,857.51904,w/o MS2:PI 34:2,[M+Na]+,True,8.25,857.51501,530,True,True,False,97.3,99.9,,,,0,84849,356864,0,71914,38039,84836,387458,0,59697,35913,90101,348382,0,63870,2.866563531998896
21287,21351,7.562,902.6701,w/o MS2:HexCer 17:1;3O/30:6;(2OH),[M+H]+,False,10.67,902.67157,530,True,True,False,98.9,100.0,,,,356444,0,0,0,0,367258,0,0,0,0,348229,0,0,0,0,2.867200475107589
24901,12510,6.641,600.57098,w/o MS2:SE 28:1/12:0,[M+H]+,False,14.1,600.57141,530,True,True,False,99.9,99.7,,,,59002,0,65313,0,0,68119,0,67834,0,0,63465,0,68500,0,0,2.867709499508652
1169,16997,5.082,770.57233,PE 38:3|PE 18:0_20:3,[M+H]+,True,10.38,770.5694,410,True,True,True,100.0,99.9,45.0,73.1,100.0,365229,1191632,5319800,811384,731770,242439,688663,5235156,818863,729763,302597,1234798,5438623,756178,761477,2.867944142767187
21887,6116,1.176,361.27759,w/o MS2:NAGly 8:0;O(FA 8:0),[M+H]+,False,4.54,361.26971,530,True,True,False,73.3,99.9,,,,32655,67044,58531,0,4634,33293,58136,60224,12872,0,32762,62134,69940,0,4029,2.870000259203695
24992,12684,5.58,607.50775,w/o MS2:SL 12:0;O/21:0,[M+H]+,False,8.99,607.50781,530,True,True,False,100.0,99.9,,,,105285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8761946256619906
2141,22111,10.674,929.75604,TG 56:6|TG 18:1_18:1_20:4,[M+Na]+,True,14.45,929.7569,410,True,True,True,100.0,99.9,73.9,74.1,100.0,116053,528390,1419993,7077988,2794558,118706,556169,1320072,7626148,2644627,123357,535523,1548199,7745352,2784336,2.8766538779719193
1216,15244,5.196,710.51459,PE P-35:4|PE P-15:0_20:4,[M+H]+,True,9.4,710.5119,410,True,True,True,100.0,99.9,55.9,87.7,100.0,0,0,30407,0,0,0,0,31593,0,0,0,0,31924,0,0,2.880544005917529
110,4114,0.507,288.21774,CAR 8:0,[M+H]+,True,1.37,288.21689,410,True,True,True,100.0,100.0,68.6,86.4,100.0,0,20125,0,515774,399310,0,21441,0,491189,372330,0,20769,0,463803,413325,2.880889295311722
47,15820,9.503,731.6947,1_TG 14:0-13:0-14:0-d5_ISTD_[M+NH4]+,[M+Na]+,True,9.55,731.69183,annotated by user-defined text library,True,True,False,94.8,89.6,,,,3390118,4279550,3714136,3944059,3809369,3699394,4505442,3769408,4216382,3629343,3477600,4382700,3852702,4108078,3395935,2.881887969815566
18772,27312,7.55,1658.36694,Unknown,[M+H]+,False,,,999,False,False,False,,,,,,37804,0,0,0,0,37619,0,0,0,0,33518,0,0,0,0,2.8822510093277245
1500,26238,5.717,1520.16821,RIKEN P-VS1 ID-20361 from Mouse_AdrenalGlands_fads2KO_N_Ctr,[M+H]+,True,9.68,1520.16553,430,True,True,True,85.3,99.9,74.7,74.8,100.0,0,25763,0,0,0,0,23189,0,0,0,0,0,0,0,0,2.8846730648564303
22296,11645,2.854,564.39685,w/o MS2:PC O-21:1,[M+Na]+,False,7.11,564.4024,530,True,True,False,85.7,99.9,,,,36288,37373,90789,41137,21754,49207,42541,112234,37495,23423,34171,35624,118723,35609,21286,2.8864613269097203
1274,19791,4.612,852.56366,PI 34:2,[M+NH4]+,True,8.25,852.55969,410,True,True,True,100.0,99.9,62.2,74.2,100.0,0,45832,231477,0,34910,0,0,243308,0,38388,0,0,247724,9216,37873,2.888561245038094
25890,12071,2.822,581.37616,w/o MS2:SM 24:3;2O,[M+H]+,True,6.01,581.36902,530,True,True,False,82.8,99.9,,,,26503,25877,42649,28588,12599,35344,35042,48846,16768,11759,22658,19900,54768,19617,9853,2.8889808959033547
200,12959,7.95,618.62103,Cer 41:1;2O|Cer 18:1;2O/23:0,[M+H-H2O]+,True,13.16,618.61841,410,True,True,True,100.0,99.9,82.6,95.1,100.0,194876,0,2464244,0,0,184811,0,0,0,0,119906,0,0,0,0,2.890095467682258
