,Alignment ID,Average Rt(min),Average Mz,Metabolite name,Adduct type,MS/MS assigned,Reference RT,Reference m/z,Annotation tag (VS1.0),RT matched,m/z matched,MS/MS matched,Total score,RT similarity,Dot product,Reverse dot product,Fragment presence %,01_Brain,01_Heart,01_Liver,01_Muscle,01_Plasma01,02_Brain,02_Heart,02_Liver,02_Muscle,02_Plasma01,03_Brain,03_Heart,03_Liver,03_Muscle,03_Plasma01,VIP
23344,19733,8.515,850.71539,w/o MS2:RIKEN P-VS1 ID-13407 from Mouse_AdrenalGlands_fads2KO_N_Ctr,[M+Na]+,True,13.01,850.71399,530,True,True,False,99.7,99.9,,,,303219,0,0,0,0,338198,0,0,0,0,359544,0,0,0,0,2.4156288837016886
26071,20724,6.813,881.71539,w/o MS2:SM 46:4;3O,[M+Na]+,False,11.93,881.71057,530,True,True,False,89.0,99.9,,,,162019,0,12028,0,0,151407,0,7520,0,0,161292,7104,0,0,0,2.415636823010326
17985,26211,7.01,1517.23584,Unknown,[M+H]+,True,,,999,False,False,False,,,,,,50742,0,0,0,0,0,0,0,0,0,67891,0,0,0,0,2.415648408993791
18279,26664,4.729,1568.8656,Unknown,[M+H]+,False,,,999,False,False,False,,,,,,167050,0,0,0,0,182801,0,0,0,0,179211,0,0,0,0,2.4156622631402103
23546,21410,8.135,904.7207,w/o MS2:RIKEN P-VS1 ID-15342 from Mouse_Heart_WT_N_F1,[M+Na]+,True,8.72,904.72168,530,True,True,False,99.9,100.0,,,,294321,0,0,0,0,331725,0,0,0,26783,281934,0,0,0,22041,2.415664517144907
19415,12418,7.161,596.59998,w/o MS2:Cer 12:0;2O/26:0,[M+H]+,False,12.41,596.5976,530,True,True,False,97.2,99.9,,,,211553,108936,112589,101529,116100,227220,113602,128754,103611,113612,232269,119366,116344,104575,105783,2.4156721974715984
10943,10195,6.122,508.28192,Unknown,[M+H]+,False,,,999,False,False,False,,,,,,180241,0,0,0,0,191395,0,0,0,0,154980,0,0,0,0,2.415709417682951
581,18268,10.609,808.66565,HexCer 42:2;3O|HexCer 18:1;2O/24:1;O,[M+H-H2O]+,True,11.87,808.66608,410,True,True,True,100.0,100.0,64.9,97.8,100.0,25037,0,0,0,0,0,0,0,0,0,23758,0,0,0,0,2.4157362192283784
985,14380,5.109,678.54266,PC O-29:0,[M+H]+,True,9.14,678.54321,420,True,True,True,98.5,99.9,74.3,81.2,100.0,234696,96808,32576,0,0,321105,66653,34066,0,0,344193,95101,81057,0,0,2.415737931872833
26801,22454,7.748,944.67621,w/o MS2:TG 8:0_22:3_22:5;4O,[M+H]+,False,10.35,944.68213,530,True,True,False,83.9,100.0,,,,317391,1805,0,0,0,317496,0,8039,0,0,302773,0,6646,0,0,2.4157455693063024
22907,19721,5.666,850.55725,w/o MS2:PS 39:3,[M+H]+,True,8.82,850.55688,530,True,True,False,100.0,99.9,,,,70632,0,33506,0,0,68647,936241,488673,0,0,484918,897395,37561,0,0,2.415771203605564
22112,23691,9.597,1032.83496,w/o MS2:PC 16:0_38:5,[M+H]+,False,13.53,1032.83545,530,True,True,False,99.9,99.9,,,,25368,0,0,0,0,31384,0,0,0,0,31419,0,0,0,0,2.4157739795836872
22962,22271,8.331,936.66656,w/o MS2:PS 45:2,[M+H]+,False,12.22,936.66638,530,True,True,False,100.0,99.9,,,,0,0,0,0,0,66895,0,0,0,0,70608,0,0,0,0,2.415774973507193
20964,17063,7.198,772.66937,w/o MS2:HexCer 16:0;2O/23:0,[M+H]+,False,12.37,772.66608,530,True,True,False,94.7,99.9,,,,72267,0,0,0,0,84977,0,0,0,0,78020,0,0,0,0,2.4157851528000838
15609,21136,5.117,896.47272,Unknown,[M+Na]+,False,,,999,False,False,False,,,,,,0,0,0,0,0,12060,0,0,0,0,0,0,0,0,0,2.4157974517375487
18570,27062,7.401,1616.34436,Unknown,[M+H]+,False,,,999,False,False,False,,,,,,35156,0,0,0,0,27295,0,0,0,0,34767,0,0,0,0,2.415819244035823
19902,12802,6.52,612.50507,w/o MS2:Cer 13:1;3O/26:5;(2OH),[M+H]+,False,8.75,612.4986,530,True,True,False,81.1,100.0,,,,0,0,0,0,0,0,0,0,0,0,105950,0,0,0,0,2.4158333854254126
19327,9455,4.334,480.47714,w/o MS2:Cer 12:0;2O/19:0,[M+H]+,False,8.97,480.47751,530,True,True,False,99.9,99.9,,,,24217,0,0,0,0,23842,0,0,0,0,23320,0,0,0,0,2.4158342273645603
540,16552,6.794,756.63806,HexCer 38:1;2O|HexCer 18:1;2O/20:0,[M+H]+,True,11.38,756.63483,410,True,True,True,100.0,99.9,75.5,84.8,100.0,2548936,0,0,0,7688,2635353,0,0,0,5408,2594808,0,0,0,0,2.4158669877084686
