,Alignment ID,Average Rt(min),Average Mz,Metabolite name,Adduct type,MS/MS assigned,Reference RT,Reference m/z,Annotation tag (VS1.0),RT matched,m/z matched,MS/MS matched,Total score,RT similarity,Dot product,Reverse dot product,Fragment presence %,01_Brain,01_Heart,01_Liver,01_Muscle,01_Plasma01,02_Brain,02_Heart,02_Liver,02_Muscle,02_Plasma01,03_Brain,03_Heart,03_Liver,03_Muscle,03_Plasma01,VIP
12758,13283,2.817,633.38782,Unknown,[M+H]+,True,,,999,False,False,False,,,,,,144749,177688,164041,167597,7664,157151,176420,187856,165261,13232,152451,145850,190480,158891,119760,3.1713873233611927
1269,17580,4.487,788.54309,PG 36:4|PG 18:2_18:2,[M+NH4]+,True,8.0,788.54358,410,True,True,True,100.0,99.9,51.5,74.4,100.0,10554753,192176,652199,10276,0,10867962,218321,675068,11815,0,9800327,229109,706060,0,0,3.1787073418802807
25712,21641,7.064,912.71332,w/o MS2:SL 20:2;O/36:6;O,[M+H]+,True,13.42,912.71088,530,True,True,False,100.0,99.8,,,,59552,279733,203822,280965,237581,47372,287273,244843,280124,246722,0,291485,224825,279553,241931,3.178862503067885
26739,23674,10.227,1030.87549,w/o MS2:TG 8:0_18:0_38:9,[M+H]+,False,15.08,1030.87976,530,True,True,False,91.3,99.9,,,,0,0,0,54909,39902,0,0,0,89629,45508,0,0,0,68885,47488,3.1789969792836397
1292,21345,4.631,902.57916,PI 38:5,[M+NH4]+,True,8.24,902.57532,410,True,True,True,100.0,99.9,45.7,75.0,100.0,462930,148236,152609,45216,16659,479829,62374,155770,47103,13109,463342,137502,153491,40971,10167,3.1810760605864763
2312,22382,11.77,940.86646,TG O-58:5|TG O-19:0_17:0_22:5,[M+NH4]+,True,15.65,940.8692,410,True,True,True,100.0,99.9,36.1,78.2,100.0,0,132879,28038,0,0,0,72702,0,0,0,0,133138,23896,0,0,3.182120790504727
350,13310,6.607,634.5426,DG 36:4|DG 16:0_20:4,[M+NH4]+,True,10.68,634.54053,410,True,True,True,100.0,99.9,35.2,80.0,100.0,517477,143346,716373,0,49431,562121,135046,801212,0,93727,540669,116229,852645,0,83872,3.1842386940288927
1195,13633,5.522,648.49762,PE P-30:0|PE P-14:0_16:0,[M+H]+,True,9.11,648.49628,410,True,True,True,100.0,99.9,34.4,91.7,100.0,0,0,280217,0,0,19064,0,325015,0,0,0,83899,325385,0,0,3.185026061753554
4718,2452,0.44,217.10544,Unknown,[M+Na]+,True,,,999,False,False,False,,,,,,52280,78420,75327,248150,1987248,95625,97994,262910,244080,1845628,62822,72764,311382,246501,1779195,3.1951803883770116
1675,15753,5.082,729.59283,SM 36:2;2O|SM 18:2;2O/18:0,[M+H]+,True,9.08,729.59052,410,True,True,True,100.0,99.9,81.5,87.1,100.0,45747740,5854066,0,13309189,21793820,46557704,6089154,0,13326673,22410098,47680588,0,0,13543608,21353732,3.1974216664219317
12534,12831,5.28,613.51868,Unknown,[M+H]+,False,,,999,False,False,False,,,,,,0,0,126759,0,0,0,0,163727,0,0,0,0,0,0,0,3.199511478386375
1052,16656,4.857,760.52795,PC O-36:8,[M+H]+,True,8.48,760.52759,420,True,True,True,100.0,99.9,52.2,85.6,100.0,84676,140759,649589,163108,0,0,149847,712908,147010,0,0,161335,715628,151245,0,3.201779708603301
12679,13119,4.638,625.52155,Unknown,[M+H]+,True,,,999,False,False,False,,,,,,731685,91229,304023,742022,27477,755713,210653,276272,51160,21072,715073,207069,291632,773807,17497,3.2048482387791064
2209,22965,9.94,970.7887,TG 60:11|TG 16:0_22:5_22:6,[M+NH4]+,True,14.0,970.78583,410,True,True,True,100.0,99.9,28.3,76.5,100.0,13104,0,0,132835,88803,10941,0,0,113134,91475,0,0,19586,116393,101134,3.206235763426284
12563,12889,5.137,615.53674,Unknown,[M+NH4]+,True,,,999,False,False,False,,,,,,0,94686,611913,0,0,0,92633,597128,0,0,0,66925,633124,0,0,3.2063969598967748
1740,18813,7.42,823.66962,SM 41:1;2O,[M+Na]+,True,12.72,823.66632,420,True,True,True,100.0,99.9,88.5,94.3,100.0,0,2475607,7242974,87665,447427,0,2433356,7164524,102533,399980,0,2568253,6970954,102996,389704,3.208412635117873
26651,16810,6.176,764.57715,w/o MS2:TG 8:0_15:3_22:6,[M+H]+,True,11.56,764.5824,530,True,True,False,91.6,99.8,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.208910953433044
1093,18186,5.634,806.60852,PC O-39:6,[M+H]+,True,10.02,806.60577,420,True,True,True,100.0,99.9,72.3,82.7,100.0,0,0,2461616,0,0,0,0,0,0,0,0,0,0,0,0,3.213102547817122
1134,19509,6.364,844.62286,PC O-42:8,[M+H]+,True,10.28,844.62152,420,True,True,True,100.0,99.9,15.0,82.8,100.0,0,104685,201860,0,47942,0,31549,202633,11332,47704,0,102333,202429,12703,41649,3.2164600998719455
5164,2916,3.335,236.16765,Unknown,[M+H]+,True,,,999,False,False,False,,,,,,414450,452601,824475,261249,448145,371510,446887,749000,252980,473397,389657,453207,767870,259766,469068,3.222076519380682
683,10271,2.725,510.39328,LPC O-18:0,[M+H]+,True,7.19,510.39182,410,True,True,True,100.0,99.9,86.7,95.5,100.0,29647,124450,94914,12229,138092,26729,116665,96477,14428,148500,27757,124425,95769,15746,133671,3.2235179832864573
1573,12579,6.12,603.5343,RIKEN P-VS1 ID-5863 from Mouse_Adipose_WT_N_F1AA,[M+H]+,True,14.76,603.5343,430,True,True,True,90.6,99.6,83.4,87.5,90.0,1080537,1644517,6860204,0,0,1050445,1564826,6895314,200464,33887,1021708,1519975,7534671,214950,0,3.224232457299033
1463,24520,5.294,1159.33411,RIKEN P-VS1 ID-18599 from Mouse_Plasma_ApoEKO_N_F1DHA,[M+2H]2+,True,9.35,1159.33154,430,True,True,True,90.7,99.9,89.1,83.6,83.3,0,1143414,348091,1811740,1643675,0,1210290,416685,1983812,1779481,0,1203780,567981,1825051,1620231,3.2246539375633656
1300,17581,5.341,788.54584,PS 36:2|PS 18:0_18:2,[M+H]+,True,8.47,788.54358,410,True,True,True,100.0,100.0,68.9,81.9,100.0,0,3068240,12446492,1067860,1026086,0,0,0,0,0,0,9015290,0,0,1061457,3.2250931250690926
18178,26520,5.308,1551.62585,Unknown,[M+H]+,False,,,999,False,False,False,,,,,,0,0,0,142712,0,0,0,0,91731,35998,0,0,0,0,97912,3.226404821042498
8394,6644,2.991,379.28247,Unknown,[M+Na]+,True,,,999,False,False,False,,,,,,30203,247319,162034,0,206410,33190,268752,165185,0,198162,29580,227265,161718,0,207436,3.226551488077288
1873,18471,10.55,813.70026,TG 47:1|TG 13:0_16:0_18:1,[M+Na]+,True,14.2,813.69427,410,True,True,True,100.0,99.9,15.4,73.7,100.0,0,2452331,950739,796456,95216,0,2489536,909478,833098,125121,0,2341883,957780,994750,116641,3.231741488886837
1283,21035,5.103,892.59393,PI 37:3,[M+NH4]+,True,8.56,892.591,410,True,True,True,100.0,99.9,23.7,69.9,100.0,0,41961,347106,0,0,0,34534,302996,0,0,0,0,353975,0,0,3.233912980520018
13512,14984,6.211,701.40808,Unknown,[M+H]+,True,,,999,False,False,False,,,,,,181277,494646,362590,1495988,1229280,155510,548386,351407,1523976,1239921,172805,451333,386318,1648436,1184873,3.242660598595186
318,12134,6.561,584.52435,DG 32:1|DG 14:0_18:1,[M+NH4]+,True,10.52,584.5249,410,True,True,True,100.0,99.9,55.9,86.4,100.0,61866,114902,441810,96390,53854,52404,127098,487526,96444,55257,0,116617,479298,97976,50958,3.2430480322419073
20229,26483,5.938,1547.18225,w/o MS2:CL 27:0_50:3,[M+H]+,True,14.05,1547.1626,530,True,True,False,78.6,99.7,,,,0,132984,459778,93553,160808,0,0,0,0,24410,0,127852,0,73173,38210,3.2430642339161264
