,Alignment ID,Average Rt(min),Average Mz,Metabolite name,Adduct type,MS/MS assigned,Reference RT,Reference m/z,Annotation tag (VS1.0),RT matched,m/z matched,MS/MS matched,Total score,RT similarity,Dot product,Reverse dot product,Fragment presence %,01_Brain,01_Heart,01_Liver,01_Muscle,01_Plasma01,02_Brain,02_Heart,02_Liver,02_Muscle,02_Plasma01,03_Brain,03_Heart,03_Liver,03_Muscle,03_Plasma01,VIP
3699,1421,6.613,188.05403,Unknown,[M+H]+,False,,,999,False,False,False,,,,,,304425,0,327404,0,0,282124,0,318676,0,0,327251,0,333377,0,0,1.5002406091192388
6861,4770,0.809,312.32629,Unknown,[M+H]+,False,,,999,False,False,False,,,,,,90260,58509,134872,174558,121682,110375,63288,138124,161007,132753,99712,62689,130113,185645,128473,1.5004761670357056
388,14701,6.554,689.51276,DG 40:7,[M+Na]+,True,10.63,689.51147,420,True,True,True,100.0,99.9,63.0,75.0,100.0,0,0,0,0,83902,0,0,0,24052,77746,0,0,0,0,73949,1.5006508746143457
5022,2772,3.126,228.19672,Unknown,[M+NH4]+,True,,,999,False,False,False,,,,,,198757,160158,0,147340,472952,184480,122700,121153,159243,459191,213420,158002,0,153957,604168,1.5007269793260416
25254,15163,6.95,707.49933,w/o MS2:SL 12:1;O/28:6;O,[M+H]+,False,8.21,707.50269,530,True,True,False,94.5,100.0,,,,0,16105,55380,0,0,0,0,56299,0,0,0,0,54542,0,0,1.5008225076685573
88,8608,1.406,448.34369,CAR 20:4,[M+H]+,True,5.68,448.3421,410,True,True,True,100.0,99.9,77.4,87.8,100.0,72137,885446,131574,136060,0,70956,895796,133096,137096,0,72496,892362,142467,138227,0,1.5008567483311654
17593,25640,5.954,1422.20349,Unknown,[M+H]+,True,,,999,False,False,False,,,,,,79343,63704,0,80291,56919,68885,55993,0,93399,36443,39786,52234,0,114229,84238,1.5008733242616215
22139,13676,2.117,650.37988,w/o MS2:PC 25:4,[M+NH4]+,False,6.12,650.37921,530,True,True,False,99.8,99.9,,,,12878,0,17866,0,0,15933,16674,19245,0,0,0,0,15597,0,0,1.5009374522190175
11786,11581,2.114,562.39691,Unknown,[M+NH4]+,False,,,999,False,False,False,,,,,,0,0,0,13978,4581,0,0,0,15602,0,0,0,0,17099,0,1.5012780522707931
8556,6849,1.224,386.24509,Unknown,[M+H]+,False,,,999,False,False,False,,,,,,17194,3315,8596,0,0,20303,0,25485,0,0,18387,0,18363,0,0,1.501471702218653
