,Alignment ID,Average Rt(min),Average Mz,Metabolite name,Adduct type,MS/MS assigned,Reference RT,Reference m/z,Annotation tag (VS1.0),RT matched,m/z matched,MS/MS matched,Total score,RT similarity,Dot product,Reverse dot product,Fragment presence %,01_Brain,01_Heart,01_Liver,01_Muscle,01_Plasma01,02_Brain,02_Heart,02_Liver,02_Muscle,02_Plasma01,03_Brain,03_Heart,03_Liver,03_Muscle,03_Plasma01,VIP
12403,12617,2.583,605.3172,Unknown,[M+H]+,False,,,999,False,False,False,,,,,,0,0,0,0,0,3582,0,0,0,0,0,0,0,0,0,1.700059860035332
14709,18238,2.339,808.0354,Unknown,[M+2H]2+,True,,,999,False,False,False,,,,,,0,0,391799,0,0,0,0,430995,0,13327,0,0,362865,0,17043,1.7003204872103246
26958,16083,8.335,740.67493,w/o MS2:TG 8:0_8:0_26:0,[M+H]+,True,13.61,740.67627,530,True,True,False,99.6,99.9,,,,0,0,20824,112068,86549,0,0,29680,89927,0,0,0,0,97212,0,1.7003960099246773
1814,14486,8.279,682.60052,TG 38:1|TG 8:0_14:0_16:1,[M+NH4]+,True,12.86,682.59802,410,True,True,True,100.0,99.9,19.9,74.7,100.0,0,38779,0,16496916,17611,0,41787,0,16183817,14343,0,37292,0,16149674,0,1.70042525303364
211,13273,7.077,632.59741,Cer 41:2;3O|Cer 18:1;2O/23:1;O,[M+H-H2O]+,True,12.32,632.5976,410,True,True,True,100.0,99.9,38.3,91.6,100.0,0,0,68654,0,0,133107,0,73523,0,0,0,0,237032,0,0,1.7004471440134783
7603,5664,0.512,346.18661,Unknown,[M+Na]+,False,,,999,False,False,False,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,14742,0,1.7005389475729205
9123,7569,2.954,413.1972,Unknown,[M+H]+,True,,,999,False,False,False,,,,,,0,0,94288,0,0,0,8007,98080,0,0,0,0,96329,0,0,1.7005933307383012
21386,23936,12.278,1066.9519,w/o MS2:HexCer 21:0;3O/38:0;(2OH),[M+H]+,False,14.47,1066.95837,530,True,True,False,81.1,100.0,,,,0,0,220748,0,0,0,0,189206,0,0,0,0,77630,0,0,1.7006040522840484
7136,5108,1.579,325.32211,Unknown,[M+H]+,True,,,999,False,False,False,,,,,,0,1327,5463,0,0,0,0,5199,0,0,0,0,0,0,0,1.7006420486152813
19229,842,11.79,162.11275,w/o MS2:Carnitine,[M+H]+,False,0.76,162.11247,530,True,True,False,100.0,99.3,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.700661099924081
16869,24525,9.367,1159.90845,Unknown,[M+H]+,False,,,999,False,False,False,,,,,,0,0,0,80957,0,0,0,0,77621,0,0,0,0,70319,0,1.700717738262465
11154,10498,9.849,519.44067,Unknown,[M+H]+,True,,,999,False,False,False,,,,,,0,19391,8626,1099660,0,0,19183,0,1015057,0,0,23099,5981,954787,0,1.7007767607460949
11799,11601,2.974,563.14362,Unknown,[M+Na]+,False,,,999,False,False,False,,,,,,5389,0,27506,0,0,6630,3228,20719,0,0,0,0,19456,0,0,1.700875050438349
23794,23827,4.236,1051.63525,w/o MS2:RIKEN P-VS1 ID-18052 from Mouse_SmallIntestine_WT_N_Ctr,[M+H]+,False,6.15,1051.63025,530,True,True,False,88.2,100.0,,,,0,0,0,21247,0,0,0,0,14181,0,0,0,0,21961,0,1.7008920433452217
1865,17599,8.998,788.67908,TG 46:4|TG 10:0_18:1_18:3,[M+NH4]+,True,13.55,788.67627,410,True,True,True,100.0,99.9,34.1,90.2,100.0,0,0,11080,1122210,15951,0,0,0,1166999,14106,0,0,0,1173166,16460,1.701092378138546
9109,7555,0.43,412.85416,Unknown,[M+H]+,False,,,999,False,False,False,,,,,,0,0,0,0,89194,0,24246,0,0,75747,0,0,0,0,80029,1.7010984937963696
24781,16013,5.569,738.58221,w/o MS2:RIKEN P-VS1 ID-9032 from Mouse_Brain_WT_N_F1AA,[M+H]+,False,9.77,738.58258,530,True,True,False,99.9,99.9,,,,0,0,469668,0,0,0,0,538875,0,0,0,0,0,0,0,1.7012087097004414
12595,12965,1.232,619.15582,Unknown,[M+H]+,False,,,999,False,False,False,,,,,,0,0,56239,0,0,0,0,59563,0,0,0,0,58924,0,0,1.7012187547380913
8276,6496,0.683,373.2749,Unknown,[M+H]+,False,,,999,False,False,False,,,,,,0,0,173131,0,0,0,0,204123,0,0,0,0,148587,0,0,1.701288649194723
9028,7457,8.283,409.33124,Unknown,[M+H]+,True,,,999,False,False,False,,,,,,0,0,0,810118,0,0,0,0,752432,0,0,0,0,788255,0,1.7013254904826491
15299,20095,5.691,862.49847,Unknown,[M+H]+,False,,,999,False,False,False,,,,,,0,0,0,142275,24808,0,30511,0,147176,26520,0,23974,0,144164,0,1.7014374496055773
26826,24805,12.225,1195.12415,w/o MS2:TG 8:0_29:0_38:4,[M+H]+,False,17.35,1195.13013,530,True,True,False,83.6,99.9,,,,0,0,0,128185,0,0,0,3394,126255,0,0,0,0,120836,0,1.70155989817213
12705,13168,7.317,627.93176,Unknown,[M+H]+,False,,,999,False,False,False,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7016815919068042
12684,13125,7.382,625.63184,Unknown,[M+H]+,False,,,999,False,False,False,,,,,,0,40150,30384,27834,22853,24313,28863,23486,41737,20491,0,34773,22466,30445,18215,1.7017198134662952
1363,18048,3.676,803.54352,RIKEN P-VS1 ID-11405 from Cell_C2C12_WT_N_4h10DHA,[M+Na]+,True,7.37,803.5368,430,True,True,True,83.3,99.9,72.9,73.7,100.0,405704,0,0,0,270186,472679,0,405577,410054,0,0,532160,0,0,257645,1.7018182332751242
25597,19920,6.325,856.65472,w/o MS2:SL 16:2;O/36:6;O,[M+H]+,False,12.83,856.64832,530,True,True,False,81.4,99.8,,,,127869,11627,15329,0,0,112053,0,0,0,0,98715,0,0,0,0,1.7019690891027253
23819,24452,5.703,1149.85156,w/o MS2:RIKEN P-VS1 ID-18532 from Mouse_SmallIntestine_WT_N_Ctr,[M+H]+,False,9.14,1149.85364,530,True,True,False,97.9,99.9,,,,0,0,0,69240,0,0,59736,0,0,0,0,0,18665,54087,0,1.702083462053739
22312,14188,4.832,670.48364,w/o MS2:PC O-29:4,[M+H]+,False,7.93,670.48059,530,True,True,False,95.5,99.9,,,,0,0,77322,0,0,0,7573,86564,0,0,0,0,75817,0,0,1.7022203869604255
9189,7675,11.36,416.30246,Unknown,[M+H]+,True,,,999,False,False,False,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7022765473702275
