index_no,Alignment ID,Average Rt(min),Average Mz,Metabolite name,Adduct type,MS/MS assigned,Reference RT,Reference m/z,Annotation tag (VS1.0),RT matched,m/z matched,MS/MS matched,Total score,RT similarity,Dot product,Reverse dot product,Fragment presence %,01_Brain,01_Heart,01_Liver,01_Muscle,01_Plasma01,02_Brain,02_Heart,02_Liver,02_Muscle,02_Plasma01,03_Brain,03_Heart,03_Liver,03_Muscle,03_Plasma01,VIP
26559,22719,10.874,956.86322,w/o MS2:TG 8:0_12:0_38:4,[M+H]+,FALSE,15.24,956.86407,530,TRUE,TRUE,FALSE,99.6,99.9,,,,0,702716,1197477,4053110,294878,0,646801,0,4092543,0,0,605198,183913,4614724,359647,2.142521817344830
12675,13115,6.766,625.51868,Unknown,[M+H]+,FALSE,,,999,FALSE,FALSE,FALSE,,,,,,34702,77137,0,0,0,36836,75360,232600,0,0,0,85089,0,0,0,2.1432024295269700
345,13470,6.779,641.51306,DG 36:3,[M+Na]+,TRUE,11.42,641.51147,420,TRUE,TRUE,TRUE,100.0,99.9,74.5,75.0,100.0,148069,893324,2780402,1005744,1955166,134020,892149,2788838,892883,1925475,135187,888817,2822956,1039218,1794138,2.1440423776965300
239,13585,7.662,646.61298,Cer 42:2;3O|Cer 18:1;2O/24:1;O,[M+H-H2O]+,TRUE,12.73,646.61328,410,TRUE,TRUE,TRUE,100.0,99.9,53.2,89.8,100.0,938000,23166,1261977,178480,48980,928029,70032,1199548,176137,52617,952374,23947,1264795,202438,49937,2.144320875926360
3645,1367,6.235,186.05806,Unknown,[M+H]+,TRUE,,,999,FALSE,FALSE,FALSE,,,,,,6696144,5469960,5295236,0,5692559,6206580,5339398,5218219,6144266,5838590,7044470,5605846,5150074,5504592,5908750,2.1446714559050700
33,18065,5.773,803.63489,1_PC 17:0-20:3-d5_ISTD_[M+H]+,[M+Na]+,TRUE,5.81,803.62726,annotated by user-defined text library,TRUE,TRUE,FALSE,92.6,95.8,,,,35722880,41777192,40056320,40938856,30355426,36924340,44863364,42152932,36655724,30751916,36586192,41189952,41700800,36335408,29505774,2.145627852079250
2195,23101,12.073,978.94177,TG 59:0|TG 16:0_18:0_25:0,[M+NH4]+,TRUE,17.1,978.94232,410,TRUE,TRUE,TRUE,100.0,99.9,42.9,81.1,100.0,62809,0,0,0,22642,69177,2407201,0,0,17672,68489,1884242,0,0,16286,2.14668836791295
1016,16205,6.093,744.59161,PC O-34:2,[M+H]+,TRUE,9.97,744.59021,420,TRUE,TRUE,TRUE,100.0,99.9,50.3,85.5,100.0,21447854,105433640,17481492,10643331,1001090,20599078,104671552,18052180,10712589,1002756,21547680,101184320,17664052,10315689,974894,2.148323376637530
7470,5509,3.829,341.15814,Unknown,[M+Na]+,TRUE,,,999,FALSE,FALSE,FALSE,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14841185533114
13013,13817,5.632,655.5683,Unknown,[M+H]+,TRUE,,,999,FALSE,FALSE,FALSE,,,,,,0,0,0,0,0,0,0,0,0,0,389786,0,0,0,0,2.1491002053915900
26677,23525,11.601,1014.94055,w/o MS2:TG 8:0_16:0_38:3,[M+H]+,TRUE,16.54,1014.94232,530,TRUE,TRUE,FALSE,99.6,99.9,,,,0,76435,88004,736635,47341,14677,0,85259,570615,0,15838,0,105442,765844,46734,2.149906944601320
2545,229,6.196,130.15955,Unknown,[M+H]+,TRUE,,,999,FALSE,FALSE,FALSE,,,,,,0,0,5094645,0,0,5308255,0,5049524,0,0,4836526,0,4958714,0,5449642,2.15072579205111
26990,17313,9.175,780.70728,w/o MS2:TG 8:0_8:0_29:1,[M+NH4]+,FALSE,13.82,780.70758,530,TRUE,TRUE,FALSE,100.0,99.9,,,,0,60060,0,665379,0,0,269719,0,599933,0,0,277606,0,730555,0,2.1521310835169300
1447,23265,1.565,991.67596,RIKEN P-VS1 ID-17431 from Mouse_Plasma_ApoEKO_N_F1DHA,[M+H]+,TRUE,6.26,991.66022,430,TRUE,TRUE,TRUE,88.2,99.9,90.8,88.4,100.0,0,0,0,0,1441982,0,0,16358,0,1369736,0,0,0,0,1215428,2.1523869551788800
1448,23513,1.564,1013.65601,RIKEN P-VS1 ID-17726 from Mouse_Muscle_WT_CTX1_Ctr,[M+Na]+,TRUE,6.22,1013.65289,430,TRUE,TRUE,TRUE,90.2,99.9,84.0,87.2,88.9,0,0,109388,0,4378105,0,0,124606,0,4345146,0,0,69111,0,3879138,2.152393112580280
12329,12477,4.279,599.50562,Unknown,[M+H]+,TRUE,,,999,FALSE,FALSE,FALSE,,,,,,0,0,0,80429,0,0,0,0,62155,0,0,0,0,0,0,2.152446573965230
1485,25616,4.977,1406.14624,RIKEN P-VS1 ID-19793 from Mouse_AdrenalGlands_fads2KO_N_Ctr,[M+Na]+,TRUE,8.84,1406.14734,430,TRUE,TRUE,TRUE,79.5,99.9,79.5,63.9,50.0,0,0,127746,0,59403,0,0,121080,0,40855,0,0,108671,0,46874,2.152467408228880
898,18336,5.681,810.604,PC 38:4|PC 18:0_20:4,[M+H]+,TRUE,9.69,810.60071,410,TRUE,TRUE,TRUE,100.0,99.9,87.6,75.2,100.0,23481900,6922358,162752464,2610732,2497959,22562732,1161935,176268752,2726008,2551065,24055032,6754406,171427952,2727655,2574766,2.1582472305538400
4522,2254,0.511,209.20201,Unknown,[M+NH4]+,TRUE,,,999,FALSE,FALSE,FALSE,,,,,,0,0,0,166859,94717,0,0,0,143889,101555,0,0,0,146664,93948,2.1585975677400100
