index_no,Alignment ID,Average Rt(min),Average Mz,Metabolite name,Adduct type,MS/MS assigned,Reference RT,Reference m/z,Annotation tag (VS1.0),RT matched,m/z matched,MS/MS matched,Total score,RT similarity,Dot product,Reverse dot product,Fragment presence %,01_Brain,01_Heart,01_Liver,01_Muscle,01_Plasma01,02_Brain,02_Heart,02_Liver,02_Muscle,02_Plasma01,03_Brain,03_Heart,03_Liver,03_Muscle,03_Plasma01,VIP
20142,22183,12.144,932.93756,w/o MS2:Cer 23:0;3O/38:0;(2OH),[M+H]+,FALSE,15.29,932.93683,530,TRUE,TRUE,FALSE,99.7,100.0,,,,0,0,27798,0,0,0,0,26486,0,0,0,0,21669,0,0,1.807614825066660
12177,12236,2.22,589.32538,Unknown,[M+H]+,TRUE,,,999,FALSE,FALSE,FALSE,,,,,,181169,190690,169831,130847,102773,186473,215124,159597,120396,94380,169162,200081,165763,123686,94775,1.8076408348679400
20003,17977,10.072,800.74615,w/o MS2:Cer 14:1;3O/38:2;(2OH),[M+H]+,FALSE,13.54,800.74902,530,TRUE,TRUE,FALSE,96.0,99.9,,,,0,0,55129,0,0,0,0,0,0,0,0,0,0,0,0,1.8076491896399100
54,20254,11.0,867.82086,1_TG 16:0-19:2-16:0-d5_ISTD_[M+NH4]+,[M+H]+,TRUE,11.02,867.81683,annotated by user-defined text library,TRUE,TRUE,FALSE,97.2,94.3,,,,0,0,0,0,57773,0,0,536587,0,0,0,0,0,0,0,1.8076553272058800
19826,11416,7.159,554.49927,w/o MS2:Cer 13:0;2O/24:5,[M+H]+,FALSE,9.51,554.49323,530,TRUE,TRUE,FALSE,83.3,100.0,,,,45287,133867,0,0,0,55981,146269,0,0,0,38946,137243,0,0,0,1.8076630738582500
20705,17060,3.853,772.62274,w/o MS2:DG O-20:5_28:7,[M+H]+,FALSE,12.8,772.62378,530,TRUE,TRUE,FALSE,99.5,99.8,,,,0,0,0,0,0,0,0,0,0,15156,0,0,0,0,0,1.8076675335934700
26873,11271,3.653,549.41766,w/o MS2:TG 8:0_8:0_12:0,[M+2H]2+,TRUE,8.76,549.4126,530,TRUE,TRUE,FALSE,92.9,99.9,,,,0,0,0,0,101998,7233,0,0,0,110121,0,0,0,0,88671,1.8076808622273000
17406,25360,8.03,1299.26697,Unknown,[M+H]+,TRUE,,,999,FALSE,FALSE,FALSE,,,,,,0,0,0,0,0,0,0,7800,0,0,0,0,0,0,0,1.8076847778538000
7910,6025,3.671,358.31516,Unknown,[M+H]+,TRUE,,,999,FALSE,FALSE,FALSE,,,,,,0,0,0,0,0,0,0,107812,0,0,6292,0,0,0,0,1.8077340606414400
25187,13807,9.36,655.47015,w/o MS2:SL 12:1;O/24:4;O,[M+H]+,FALSE,7.9,655.47137,530,TRUE,TRUE,FALSE,99.3,100.0,,,,0,10775,35150,0,0,0,16104,34689,0,0,0,12002,37128,0,0,1.8077388268789500
6626,4522,0.506,303.1217,Unknown,[M+H]+,TRUE,,,999,FALSE,FALSE,FALSE,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8077431073493300
260,13934,9.1,660.66522,Cer 44:1;2O|Cer 20:1;2O/24:0,[M+H-H2O]+,TRUE,13.5,660.66528,410,TRUE,TRUE,TRUE,100.0,99.9,88.4,94.5,100.0,153731,0,832439,0,8121,150198,0,897124,0,7837,138555,0,844430,0,7665,1.8077668857789
8580,6883,5.882,387.28891,Unknown,[M+H]+,FALSE,,,999,FALSE,FALSE,FALSE,,,,,,35026,8225,202107,29842,0,41724,0,208883,0,0,51648,0,182960,0,0,1.8077675054288500
24027,26251,5.362,1522.08972,w/o MS2:RIKEN P-VS1 ID-20373 from Mouse_AdrenalGlands_fads2KO_N_Ctr,[M+H]+,FALSE,9.14,1522.08545,530,TRUE,TRUE,FALSE,91.3,99.9,,,,0,0,0,0,0,0,0,0,17012,0,0,0,0,0,0,1.8077698034928400
21646,4763,2.376,312.29083,w/o MS2:NAE 17:1,[M+H]+,FALSE,7.05,312.2897,530,TRUE,TRUE,FALSE,99.4,99.9,,,,12172,0,10404,22236,14596,11939,0,64106,19804,0,12583,0,10699,25499,0,1.8077729177909800
25254,15163,6.95,707.49933,w/o MS2:SL 12:1;O/28:6;O,[M+H]+,FALSE,8.21,707.50269,530,TRUE,TRUE,FALSE,94.5,100.0,,,,0,16105,55380,0,0,0,0,56299,0,0,0,0,54542,0,0,1.8077922336925700
386,14757,6.904,691.53033,DG 40:6,[M+Na]+,TRUE,11.67,691.52722,420,TRUE,TRUE,TRUE,100.0,99.9,66.7,75.0,100.0,83858,0,345231,0,25361,74580,0,344714,0,25444,74629,0,361075,0,25242,1.8078117433761600
18111,26428,9.474,1541.94458,Unknown,[M+H]+,FALSE,,,999,FALSE,FALSE,FALSE,,,,,,0,15133,46545,0,0,0,12048,45653,0,0,0,0,47858,0,0,1.807824223626060
