index_no,Alignment ID,Average Rt(min),Average Mz,Metabolite name,Adduct type,MS/MS assigned,Reference RT,Reference m/z,Annotation tag (VS1.0),RT matched,m/z matched,MS/MS matched,Total score,RT similarity,Dot product,Reverse dot product,Fragment presence %,01_Brain,01_Heart,01_Liver,01_Muscle,01_Plasma01,02_Brain,02_Heart,02_Liver,02_Muscle,02_Plasma01,03_Brain,03_Heart,03_Liver,03_Muscle,03_Plasma01,VIP
22666,19906,6.642,856.50092,w/o MS2:PI 35:7,[M+H]+,FALSE,7.53,856.49707,530,TRUE,TRUE,FALSE,92.9,100.0,,,,0,76791,0,8441,0,0,60465,0,0,0,0,0,0,0,0,1.7279444244373400
13824,15793,4.94,731.04346,Unknown,[M+H]+,FALSE,,,999,FALSE,FALSE,FALSE,,,,,,0,0,0,0,0,0,7183,0,0,0,0,10222,0,0,0,1.7281178899135800
13811,15757,8.989,729.67932,Unknown,[M+H]+,TRUE,,,999,FALSE,FALSE,FALSE,,,,,,24087,26257,26525,27795,25058,24994,30891,22188,26563,27476,24223,18798,25145,26049,27387,1.7282038024295400
26768,23707,9.39,1034.81689,w/o MS2:TG 8:0_19:4_38:10,[M+H]+,FALSE,14.16,1034.81714,530,TRUE,TRUE,FALSE,100.0,99.9,,,,0,82110,0,0,0,0,95731,0,0,0,0,96531,0,0,0,1.7287253352389200
26543,22441,10.155,943.77106,w/o MS2:TG 8:0_11:0_38:6,[M+H]+,FALSE,14.53,943.77252,530,TRUE,TRUE,FALSE,98.9,99.9,,,,0,50485,0,0,0,0,52023,0,0,0,0,50904,0,0,0,1.7289141440029000
13615,15232,8.019,709.72034,Unknown,[M+NH4]+,TRUE,,,999,FALSE,FALSE,FALSE,,,,,,121763,19656,610237,12076,22562,124285,25484,605336,0,16122,122392,24347,609127,0,21348,1.7290134057557800
1067,17044,7.35,772.52637,PC O-37:9,[M+H]+,TRUE,8.47,772.52759,420,TRUE,TRUE,TRUE,89.1,100.0,31.1,58.5,100.0,19234,53123,46288,189748,60922,29817,33581,50370,53386,61577,19172,54668,35912,64508,61195,1.7291971328866200
6876,4787,1.847,313.16345,Unknown,[M+H]+,FALSE,,,999,FALSE,FALSE,FALSE,,,,,,0,0,0,24748,0,0,0,0,19957,0,0,0,0,24087,0,1.729212550757390
1001,15399,5.049,716.56104,PC O-32:2,[M+H]+,TRUE,9.28,716.5589,420,TRUE,TRUE,TRUE,100.0,99.9,75.4,86.9,100.0,317603,3052463,0,0,150801,109900,2856033,0,0,160458,311486,3189818,642950,0,136862,1.7293549174361400
356,13635,6.904,648.5589,DG 37:4|DG 17:0_20:4,[M+NH4]+,TRUE,11.25,648.55621,410,TRUE,TRUE,TRUE,98.0,99.9,36.9,53.2,100.0,32000,0,62370,0,0,26812,0,67196,0,0,47889,5973,61228,0,0,1.7294517662965000
995,14830,2.936,694.46521,PC O-31:6,[M+H]+,TRUE,7.7,694.48059,420,TRUE,TRUE,TRUE,86.7,99.9,80.6,84.2,100.0,0,9228,143996,14117,0,0,7835,161179,12411,0,0,5807,156205,8307,0,1.729680709357070
23396,20244,9.491,867.70465,w/o MS2:RIKEN P-VS1 ID-14022 from Mouse_Heart_WT_N_F1,[M+H]+,FALSE,14.63,867.70758,530,TRUE,TRUE,FALSE,95.8,99.8,,,,0,69173,0,0,0,0,132052,0,228631,0,0,66412,0,468858,0,1.7298453988919000
1984,21051,9.838,892.80042,TG 52:2;1O|TG 16:0_18:1_18:1;1O,[M+NH4]+,TRUE,13.86,892.79639,410,TRUE,TRUE,TRUE,100.0,99.9,45.1,69.8,100.0,0,0,0,480473,0,0,0,48648,180194,0,0,0,0,0,0,1.7299073045284800
6665,4569,1.888,304.30103,Unknown,[M+H]+,TRUE,,,999,FALSE,FALSE,FALSE,,,,,,0,0,0,8783153,73277,4842,5962,0,8528028,63836,0,0,0,8610579,69578,1.73014378452326
