,Alignment ID,Average Rt(min),Average Mz,Metabolite name,Adduct type,MS/MS assigned,Reference RT,Reference m/z,Annotation tag (VS1.0),RT matched,m/z matched,MS/MS matched,Total score,RT similarity,Dot product,Reverse dot product,Fragment presence %,01_Brain,01_Heart,01_Liver,01_Muscle,01_Plasma01,02_Brain,02_Heart,02_Liver,02_Muscle,02_Plasma01,03_Brain,03_Heart,03_Liver,03_Muscle,03_Plasma01,VIP
7499,5538,0.853,342.05978,Unknown,[M+H]+,False,,,999,False,False,False,,,,,,5151,0,0,4940,10765,5849,0,0,9112,11908,5597,0,0,7588,10627,2.1650542460226574
20874,23795,4.829,1046.66272,w/o MS2:Hex3Cer 16:1;2O/20:3,[M+Na]+,False,8.38,1046.66223,530,True,True,False,99.9,99.9,,,,0,0,0,30195,22449,0,0,0,28087,28097,0,0,0,28916,17561,2.1656524205932457
17140,24962,10.322,1215.97534,Unknown,[M+H]+,False,,,999,False,False,False,,,,,,0,117444,116170,0,17242,0,115225,101923,17040,18654,0,122303,91347,0,20251,2.1656564623658703
16287,23393,5.871,1002.5116,Unknown,[M+H]+,False,,,999,False,False,False,,,,,,0,0,0,41706,56417,0,0,0,40768,60240,0,0,0,40908,55502,2.1656953473309297
5245,3001,0.839,240.08434,Unknown,[M+H]+,False,,,999,False,False,False,,,,,,5327,0,0,8406,14026,7234,0,0,6632,13044,6431,0,0,12277,13788,2.167518352353151
23660,22338,7.127,939.57996,w/o MS2:RIKEN P-VS1 ID-16339 from Mouse_Heart_WT_N_F1,[M+NH4]+,False,9.98,939.57538,530,True,True,False,90.1,99.9,,,,0,13871,22009,0,0,0,17162,22109,0,3205,0,22026,19456,0,0,2.1681943788602682
25177,13944,7.908,661.51642,w/o MS2:SL 12:1;O/24:1;O,[M+H]+,True,8.61,661.51837,530,True,True,False,98.9,100.0,,,,256929,285760,449029,0,53251,281595,293645,425117,0,46896,263777,296381,454280,0,42447,2.1690382249185403
5171,2923,6.533,236.16786,Unknown,[M+H]+,False,,,999,False,False,False,,,,,,493440,417075,444696,0,0,480877,402708,411479,0,0,496839,442634,406986,0,0,2.1693807079622465
803,16259,4.836,746.5575,PC 33:1|PC 16:0_17:1,[M+H]+,True,9.46,746.5694,410,True,True,True,100.0,99.9,86.1,74.0,100.0,776980,1015659,923334,782903,763263,861888,1017690,1050120,702295,761025,811193,1041972,1092082,769826,717904,2.170848970067387
21826,8551,5.562,445.36865,w/o MS2:NAGly 8:0;O(FA 14:0),[M+H]+,False,6.78,445.36359,530,True,True,False,88.0,100.0,,,,0,21313,0,141075,120278,0,0,0,170840,122925,0,0,0,151408,124057,2.1728783420368796
2463,147,0.458,126.09139,Unknown,[M+H]+,False,,,999,False,False,False,,,,,,0,0,0,103422,89185,0,0,0,99844,91059,0,0,0,117842,70436,2.1764733975633614
8039,6181,1.132,363.31085,Unknown,[M+H]+,False,,,999,False,False,False,,,,,,8160,0,0,9981,7432,7855,0,0,8649,8414,6252,0,0,6657,5936,2.1765968037205874
12091,12100,5.947,582.59302,Unknown,[M+H]+,False,,,999,False,False,False,,,,,,257655,282329,0,757373,920367,243290,255505,0,782997,970702,278417,227951,0,818878,849295,2.1768349132345883
16307,23432,6.129,1005.57294,Unknown,[M+H]+,False,,,999,False,False,False,,,,,,0,0,0,64536,82887,0,0,0,54901,83076,0,0,0,74626,84229,2.1768534474756915
875,17966,6.114,800.60638,PC 37:2,[M+H]+,True,10.37,800.61639,420,True,True,True,87.2,99.9,62.7,74.9,90.0,0,0,0,212543,166436,0,0,0,225733,176265,0,0,0,233766,158738,2.177447225672246
2209,22965,9.94,970.7887,TG 60:11|TG 16:0_22:5_22:6,[M+NH4]+,True,14.0,970.78583,410,True,True,True,100.0,99.9,28.3,76.5,100.0,13104,0,0,132835,88803,10941,0,0,113134,91475,0,0,19586,116393,101134,2.17812432717852
26144,23716,7.853,1035.82434,w/o MS2:SM 57:7;2O,[M+H]+,False,13.52,1035.82275,530,True,True,False,98.7,99.8,,,,58761,54705,70677,0,0,63738,51833,64249,0,5580,52218,50407,73654,0,0,2.178625097531593
5788,3584,1.126,267.17181,Unknown,[M+H]+,True,,,999,False,False,False,,,,,,49184,31186,22882,56182,82338,49804,30563,25137,69874,83973,43378,33509,22834,66820,73471,2.1794647136678544
