,Alignment ID,Average Rt(min),Average Mz,Metabolite name,Adduct type,MS/MS assigned,Reference RT,Reference m/z,Annotation tag (VS1.0),RT matched,m/z matched,MS/MS matched,Total score,RT similarity,Dot product,Reverse dot product,Fragment presence %,01_Brain,01_Heart,01_Liver,01_Muscle,01_Plasma01,02_Brain,02_Heart,02_Liver,02_Muscle,02_Plasma01,03_Brain,03_Heart,03_Liver,03_Muscle,03_Plasma01,VIP
11798,11600,2.867,563.12885,Unknown,[M+Na]+,False,,,999,False,False,False,,,,,,17723,10082,19088,0,0,18028,12100,16546,0,0,16445,6847,21304,0,0,1.988502188794484
2166,22460,9.785,944.77502,TG 58:10|TG 16:0_20:4_22:6,[M+NH4]+,True,13.9,944.7702,410,True,True,True,100.0,99.9,37.2,93.2,100.0,0,0,74978,276484,166849,0,0,74790,272105,159674,21616,0,73263,248418,163256,1.9895657877643982
5078,2828,9.713,231.10156,Unknown,[M+H]+,False,,,999,False,False,False,,,,,,0,42233,30774,10268,0,0,48256,19443,0,0,0,60784,27203,0,0,1.9898838814304542
25160,13247,6.695,631.4696,w/o MS2:SL 12:1;O/22:2;O,[M+H]+,True,7.89,631.47137,530,True,True,False,99.0,100.0,,,,0,649351,1140872,159419,273468,0,717616,1134111,136554,231487,0,615702,1117821,180716,242239,1.989940730404041
25596,19919,6.035,856.65363,w/o MS2:SL 16:2;O/36:6;O,[M+Na]+,False,12.83,856.64832,530,True,True,False,86.9,99.8,,,,0,0,0,74518,88370,0,62676,0,61778,85257,0,0,0,83884,85437,1.9904905150163663
20312,6881,9.728,387.25565,w/o MS2:CoQ3,[M+H]+,False,4.37,387.25299,530,True,True,False,96.5,99.9,,,,0,46877,18585,7296,0,0,51955,19513,0,0,0,40117,29908,0,0,1.9905999611438128
23361,4843,0.719,315.17911,w/o MS2:RIKEN P-VS1 ID-1354 from Mouse_Macrophage_WT_N_F1AA,[M+H]+,False,5.63,315.17639,530,True,True,False,96.4,99.9,,,,12627,18485,19357,9329,0,9894,22812,16359,7062,0,9548,20546,20534,14466,0,1.9915285461653083
32,17270,6.11,779.63507,1_PC 17:0-18:1-d5_ISTD_[M+H]+,[M+H]+,True,6.16,779.62726,annotated by user-defined text library,True,True,False,91.8,93.8,,,,81703488,75253008,58736668,43694488,34665480,78421344,70650024,60321172,44366780,34350076,76259768,69166824,65030428,45669744,32726206,1.9917758236794154
5678,3469,0.6,261.1095,Unknown,[M+Na]+,True,,,999,False,False,False,,,,,,61164,76166,101921,164017,216109,83446,74063,110300,157497,228616,77040,67943,108574,160441,216295,1.992844263796248
17652,25722,9.061,1447.9635,Unknown,[M+H]+,False,,,999,False,False,False,,,,,,0,19115,12481,0,0,0,21324,5478,0,0,0,19643,9904,0,0,1.992932472011645
21151,20689,9.721,880.7215,w/o MS2:HexCer 16:1;3O/30:1;(2OH),[M+2H]2+,True,13.03,880.72357,530,True,True,False,99.3,99.9,,,,1273685,14439629,8474251,4143120,318475,1325270,13673484,7688735,4012646,301736,1298457,13980067,8347700,3923901,280450,1.9944583327814684
16362,23569,3.467,1020.77631,Unknown,[M+H]+,False,,,999,False,False,False,,,,,,0,0,6266,60694,37610,0,0,0,14269,39990,0,0,0,40779,34223,1.9944741506869144
25055,10173,9.725,507.34641,w/o MS2:SL 12:1;O/13:1;O,[M+H]+,False,6.05,507.34619,530,True,True,False,100.0,99.9,,,,0,39117,21391,8570,0,0,33512,22088,0,0,0,42804,14677,0,0,1.9952553575351462
3514,1226,9.739,181.08638,Unknown,[M+H]+,False,,,999,False,False,False,,,,,,0,38730,19060,0,0,0,40631,20202,16204,0,0,37868,27147,0,0,1.995806731445498
11012,10295,0.937,511.28085,Unknown,[M+Na]+,True,,,999,False,False,False,,,,,,254008,279168,255590,189946,91780,277447,282647,260450,186948,100820,262648,293844,252011,185771,98085,1.995880724366114
13246,14372,1.162,678.29584,Unknown,[M+H]+,False,,,999,False,False,False,,,,,,0,29170,51480,0,10987,0,31405,49463,0,12735,0,31029,51590,0,15041,1.995897223114296
25070,10911,9.728,535.38,w/o MS2:SL 12:1;O/15:1;O,[M+H]+,True,6.61,535.3775,530,True,True,False,97.3,100.0,,,,13000,184151,88376,40017,0,13636,129403,90488,39890,0,14677,131588,96116,39295,0,1.9960782222231612
24511,12203,6.834,587.55341,w/o MS2:RIKEN P-VS1 ID-5566 from Mouse_Macrophage_WT_N_F1AA,[M+Na]+,True,10.92,587.54388,530,True,True,False,74.7,99.9,,,,0,187016,192506,380047,451586,99362,176958,176639,366963,456083,0,192079,192333,390012,454501,1.9961157457577996
1049,16801,5.032,764.56122,PC O-36:6,[M+H]+,True,9.26,764.5589,420,True,True,True,100.0,99.9,71.8,87.4,100.0,0,6237464,7224304,4195022,631947,0,5973420,7370090,3940758,584014,0,6435082,7263644,162264,650991,1.996660706072508
