,Alignment ID,Average Rt(min),Average Mz,Metabolite name,Adduct type,MS/MS assigned,Reference RT,Reference m/z,Annotation tag (VS1.0),RT matched,m/z matched,MS/MS matched,Total score,RT similarity,Dot product,Reverse dot product,Fragment presence %,01_Brain,01_Heart,01_Liver,01_Muscle,01_Plasma01,02_Brain,02_Heart,02_Liver,02_Muscle,02_Plasma01,03_Brain,03_Heart,03_Liver,03_Muscle,03_Plasma01,VIP
19496,8208,1.712,432.36914,w/o MS2:Cer 12:0;3O/12:0;(2OH),[M+H]+,False,6.57,432.36841,530,True,True,False,99.7,99.9,,,,0,0,0,27555,3257,0,0,0,29072,0,0,0,0,27563,0,1.8305805399472517
11205,10585,4.342,522.4657,Unknown,[M+H]+,True,,,999,False,False,False,,,,,,0,0,0,101268,0,0,0,0,92019,0,0,0,0,98958,0,1.830541000836516
17322,25232,4.986,1267.28833,Unknown,[M+H]+,False,,,999,False,False,False,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8305119980897546
17338,25255,4.309,1271.83459,Unknown,[M+H]+,False,,,999,False,False,False,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,7341,0,1.8305068702533651
5435,3213,0.431,251.13675,Unknown,[M+Na]+,False,,,999,False,False,False,,,,,,0,0,0,287596,72271,0,0,0,285059,81597,0,0,0,349355,69477,1.8305060596934837
21299,22851,6.264,964.78363,w/o MS2:HexCer 17:1;3O/34:3;(2OH),[M+NH4]+,False,12.99,964.78113,530,True,True,False,96.9,99.8,,,,0,0,0,376916,0,0,0,0,343258,0,0,0,0,363020,0,1.8304869278189624
25930,15046,2.902,703.47607,w/o MS2:SM 33:5;2O,[M+Na]+,False,7.92,703.47852,530,True,True,False,97.1,99.9,,,,0,0,0,0,0,0,0,0,24926,0,0,0,0,23852,0,1.8304308874699968
1842,16679,8.408,760.64783,TG 44:4|TG 8:0_18:1_18:3,[M+NH4]+,True,13.21,760.64502,410,True,True,True,100.0,99.9,25.2,92.2,100.0,0,0,0,227988,0,0,0,0,213921,0,0,0,0,201670,0,1.8304188146922156
26944,14881,7.412,696.61652,w/o MS2:TG 8:0_8:0_23:1,[M+H]+,False,13.14,696.61371,530,True,True,False,96.1,99.9,,,,0,0,0,59309,0,0,0,0,60072,0,0,0,0,48196,0,1.830407081015011
21620,5546,0.455,342.26367,w/o MS2:MG 16:3,[M+H]+,False,5.36,342.26389,530,True,True,False,100.0,99.9,,,,0,0,0,448743,0,0,0,0,476226,0,0,0,0,519238,0,1.8303851804551885
10933,10184,4.894,507.49039,Unknown,[M+H]+,True,,,999,False,False,False,,,,,,0,0,0,261732,0,0,0,0,263342,0,0,0,0,257603,0,1.8303731273514123
9028,7457,8.283,409.33124,Unknown,[M+H]+,True,,,999,False,False,False,,,,,,0,0,0,810118,0,0,0,0,752432,0,0,0,0,788255,0,1.8303636280706959
