Name,SpectrumId,ClusterId,SubmissionId
Unknown,378895,1273881,153
"Bis(tert-butyldimethylsilyl) carbonate",369374,1264433,139
Unknown,377147,1272133,149
Unknown,377076,1272062,149
Unknown,378049,1273035,151
"Bis(tert-butyldimethylsilyl) carbonate",369352,1264433,139
Unknown,378015,1273001,151
Unknown,378026,1273012,151
Unknown,377074,1272060,149
Unknown,377078,1272064,149
Unknown,377520,1272506,150
Unknown,377570,1272556,150
Unknown,378959,1273945,153
Unknown,378428,1273414,152
Unknown,369301,1264382,138
Unknown,369276,1264357,138
Unknown,376738,1271724,148
Unknown,377991,1272977,151
Unknown,377511,1272497,150
Unknown,378464,1273450,152
"2-(4-Benzylphenoxy)-N,N-diethylethanamine",369375,1264455,139
Unknown,378450,1273436,152
Unknown,377040,1272026,149
Unknown,378868,1273854,153
"1,1-Dichloro-4-phenyl-1-butene",369381,1264461,139
Unknown,378104,1273090,151
Unknown,378470,1273456,152
Unknown,369398,1264478,139
"7-Exo-ethyl-5-methyl-6,8-dioxabicyclo[3.2.1]oct-3-ene",369047,1264128,138
"Tetrasiloxane, decamethyl-",377866,1272852,151
"Tetrasiloxane, decamethyl-",378270,1273256,152
"Tetrasiloxane, decamethyl-",378641,1273627,153
"2'-Hydroxy-5'-methylacetophenone, TMS derivative",377367,1272353,150
"Tetrasiloxane, decamethyl-",376926,1271912,149
Unknown,378878,1273864,153
Unknown,378913,1273899,153
Unknown,378266,1273252,152
Unknown,369464,1264544,139
Unknown,369513,1264593,139
"3,5-Dimethoxyamphetamine",377292,1272278,150
"l-Proline, n-propargyloxycarbonyl-, propargyl ester",377763,1272749,151
"N,N,N',N'-Tetraethyl-1,2-di-furan-2-yl-ethane-1,2-diamine",378612,1273598,153
"3,5-Dimethoxyamphetamine",376825,1271811,149
"Hexanoic acid, 2-ethyl-, anhydride",369045,1264126,138
Unknown,377551,1272537,150
"Ethanediamide, N(1)-(1,3-benzodioxol-5-yl)-N(2)-[(1,5-dimethyl-1H-pyrrol-2-yl)methyl]-",376486,1271472,148
"Ethanediamide, N(1)-(1,3-benzodioxol-5-yl)-N(2)-[(1,5-dimethyl-1H-pyrrol-2-yl)methyl]-",376480,1271466,148
Unknown,378515,1273501,152
Unknown,369528,1264608,139
Unknown,377099,1272085,149
Unknown,377633,1272619,150
Unknown,369049,1264130,138
Unknown,377435,1272421,150
Unknown,378358,1273344,152
Unknown,376987,1271973,149
Unknown,378771,1273757,153
Unknown,377929,1272915,151
Unknown,369670,1264750,139
Unknown,376543,1271529,148
Unknown,369051,1264132,138
Unknown,376652,1271638,148
Unknown,369701,1264781,139
Pentacosane,369581,1264661,139
Unknown,378917,1273903,153
Unknown,378146,1273132,151
"Tetrasiloxane, decamethyl-",377872,1272858,151
Unknown,378689,1273675,153
Unknown,378116,1273102,151
Unknown,369226,1264307,138
Unknown,369923,1265003,139
Unknown,378607,1273593,153
"1,3-Propanediol, 2TMS derivative",377288,1272274,150
Unknown,378231,1273217,152
"1,3-Propanediol, 2TMS derivative",377714,1272700,151
Unknown,376797,1271783,149
Unknown,369048,1264129,138
"Lactic Acid, 2TMS derivative",377225,1272211,150
Unknown,369548,1264628,139
"Lactic Acid, 2TMS derivative",377667,1272653,151
"Lactic Acid, 2TMS derivative",376774,1271760,149
"Lactic Acid, 2TMS derivative",378544,1273530,153
"Lactic Acid, 2TMS derivative",378175,1273161,152
"3,9-Diazabicyclo[4.2.1]nonan-4-one, 9-methyl-",369481,1264561,139
"Disiloxane, 1,3-bis(1,1-dimethylethyl)-1,1,3,3-tetramethyl-",369042,1264123,138
Unknown,378803,1273789,153
Unknown,377479,1272465,150
Unknown,377979,1272965,151
Unknown,378400,1273386,152
Unknown,377026,1272012,149
Unknown,369634,1264714,139
Unknown,369647,1264727,139
"Ethanone,1-(2,3,4,4a,5,9b-hexahydro-2,8-dimethyl-1H-pyrido[4,3-b]indol-5-yl)-2-(4-morpholyl)-",376518,1271504,148
Unknown,378876,1273862,153
"2,9-Decanedione",369068,1264149,138
Unknown,369737,1264817,139
Unknown,377566,1272552,150
Unknown,369029,1264110,138
Unknown,377105,1272091,149
Unknown,378948,1273934,153
Unknown,378061,1273047,151
Unknown,369656,1264736,139
Unknown,377605,1272591,150
Unknown,378461,1273447,152
"Pregnan-20-one, 3-(acetyloxy)-5,6-epoxy-6-methyl-, cyclic 20-(1,2-ethanediyl acetal), (3.beta.,5.beta.,6.beta.)-",376472,1271458,148
Unknown,378887,1273873,153
Heptadecane,369646,1264726,139
Unknown,377617,1272603,150
Unknown,378157,1273143,151
Unknown,378057,1273043,151
Unknown,378084,1273070,151
Unknown,378880,1273866,153
Unknown,378811,1273797,153
Unknown,378418,1273404,152
Unknown,377195,1272181,149
Unknown,377282,1272268,150
Unknown,377090,1272076,149
Unknown,378750,1273736,153
Unknown,378035,1273021,151
Unknown,378074,1273060,151
Unknown,369125,1264206,138
Unknown,378929,1273915,153
Unknown,378054,1273040,151
Unknown,377558,1272544,150
Unknown,377096,1272082,149
"3-Pyridinol, TBDMS derivative",369639,1264719,139
Unknown,377175,1272161,149
Unknown,378514,1273500,152
Unknown,378509,1273495,152
Unknown,369088,1264169,138
Unknown,377579,1272565,150
Unknown,369686,1264766,139
Unknown,369990,1265070,139
Unknown,377102,1272088,149
Unknown,377600,1272586,150
Unknown,377124,1272110,149
Unknown,378936,1273922,153
Unknown,369431,1264511,139
Unknown,369559,1264639,139
Unknown,378460,1273446,152
Unknown,378103,1273089,151
Unknown,377555,1272541,150
Unknown,378937,1273923,153
"Ethanone, 1-(2,3,4,4a,5,9b-hexahydro-2,8-dimethyl-1H-pyrido[4,3-b]indol-5-yl)-2-(1-pyrrolidyl)-",376650,1271636,148
Unknown,378126,1273112,151
Unknown,377100,1272086,149
Unknown,378476,1273462,152
Unknown,369250,1264331,138
Unknown,369139,1264220,138
Unknown,377119,1272105,149
Unknown,369970,1265050,139
Unknown,378076,1273062,151
Unknown,378440,1273426,152
Unknown,377079,1272065,149
Unknown,377564,1272550,150
Unknown,378060,1273046,151
Unknown,369984,1265064,139
Unknown,369171,1264252,138
Unknown,369997,1265077,139
"L-Alanine, 2TMS derivative",377673,1272659,151
"L-Alanine, 2TMS derivative",376786,1271772,149
"L-Alanine, 2TMS derivative",378548,1273534,153
"L-Alanine, 2TMS derivative",378176,1273162,152
"L-Alanine, 2TMS derivative",377236,1272222,150
Unknown,376727,1271713,148
Unknown,377569,1272555,150
Unknown,378940,1273926,153
Unknown,376544,1271530,148
Unknown,377112,1272098,149
Unknown,378075,1273061,151
Unknown,378462,1273448,152
Unknown,369515,1264595,139
"7-Chloro-3-[3,4-dichlorophenyl]-1-[[1-ethyl-3-piperidinyl]imino]-10-hydroxy-1,3,4,10-tetrahydro-9(2H)-acridinone",369517,1264597,139
Unknown,369505,1264585,139
"1H-Pyrrole-2-acetic acid, 1-methyl-, methyl ester",369054,1264135,138
Unknown,369726,1264806,139
Unknown,378915,1273901,153
Unknown,378924,1273910,153
"2-Toluic hydrazide",369052,1264133,138
Unknown,378090,1273076,151
"Cyclooctasiloxane, hexadecamethyl-",369495,1264575,139
"Succinic acid, di(2-phenylphenyl) ester",376534,1271520,148
Unknown,369488,1264568,139
Unknown,378142,1273128,151
Unknown,378078,1273064,151
Unknown,369510,1264590,139
Unknown,376677,1271663,148
Unknown,369424,1264504,139
Unknown,378474,1273460,152
Unknown,369459,1264539,139
Unknown,377576,1272562,150
Unknown,378923,1273909,153
Unknown,378967,1273953,153
Unknown,377184,1272170,149
"Glycine, di-TMS",377250,1272236,150
"Glycine, di-TMS",377668,1272654,151
Unknown,378850,1273836,153
"Glycine, di-TMS",376796,1271782,149
Unknown,378507,1273493,152
"2-Ketoisocaproic acid, TMS derivative",369353,1264434,139
Unknown,378409,1273395,152
Unknown,377003,1271989,149
Unknown,377843,1272829,151
Unknown,377536,1272522,150
Unknown,378906,1273892,153
Unknown,376765,1271751,148
Unknown,369377,1264457,139
Unknown,378505,1273491,152
Unknown,377621,1272607,150
Unknown,369525,1264605,139
Unknown,377120,1272106,149
"Disiloxane, 1,3-bis(1,1-dimethylethyl)-1,1,3,3-tetramethyl-",377253,1272239,150
"Disiloxane, 1,3-bis(1,1-dimethylethyl)-1,1,3,3-tetramethyl-",377705,1272691,151
"Disiloxane, 1,3-bis(1,1-dimethylethyl)-1,1,3,3-tetramethyl-",378206,1273192,152
tert-Butylpentamethyldisiloxane,378569,1273555,153
"Disiloxane, 1,3-bis(1,1-dimethylethyl)-1,1,3,3-tetramethyl-",376808,1271794,149
Unknown,377713,1272699,151
"Hydrazinecarbothioamide, 2-pentylidene-",369514,1264594,139
Unknown,369509,1264589,139
Unknown,369000,1264083,138
Unknown,369396,1264476,139
Unknown,377247,1272233,150
Unknown,378565,1273551,153
Unknown,376793,1271779,149
Unknown,378188,1273174,152
Unknown,377697,1272683,151
Unknown,376697,1271683,148
Unknown,378494,1273480,152
Unknown,369502,1264582,139
Unknown,369034,1264115,138
1-Pentamethyldisilyloxyhexadecane,377045,1272031,149
Unknown,370004,1265084,140
