,accession,name,chemical_formula,average_molecular_weight,monisotopic_molecular_weight,iupac_name,traditional_iupac,cas_registry_number,smiles,inchi,inchikey
0,HMDB0000114,Glycerylphosphorylethanolamine,C5H14NO6P,215.1415,215.055873697,"(2-aminoethoxy)(2,3-dihydroxypropoxy)phosphinic acid",glycerophosphorylethanolamine,1190-00-7,NCCOP(O)(=O)OCC(O)CO,"InChI=1S/C5H14NO6P/c6-1-2-11-13(9,10)12-4-5(8)3-7/h5,7-8H,1-4,6H2,(H,9,10)",JZNWSCPGTDBMEW-UHFFFAOYSA-N
1,HMDB0000391,7-Ketodeoxycholic acid,C24H38O5,406.5555,406.271924326,"(4R)-4-[(1S,2S,5R,7S,10R,11S,14R,15R,16S)-5,16-dihydroxy-2,15-dimethyl-9-oxotetracyclo[8.7.0.0²,⁷.0¹¹,¹⁵]heptadecan-14-yl]pentanoic acid",7-ketodeoxycholic acid,911-40-0,[H][C@@]12CC[C@H]([C@H](C)CCC(O)=O)[C@@]1(C)[C@@H](O)C[C@@]1([H])[C@@]2([H])C(=O)C[C@]2([H])C[C@H](O)CC[C@]12C,"InChI=1S/C24H38O5/c1-13(4-7-21(28)29)16-5-6-17-22-18(12-20(27)24(16,17)3)23(2)9-8-15(25)10-14(23)11-19(22)26/h13-18,20,22,25,27H,4-12H2,1-3H3,(H,28,29)/t13-,14+,15-,16-,17+,18+,20+,22+,23+,24-/m1/s1",RHCPKKNRWFXMAT-RRWYKFPJSA-N
2,HMDB0000400,"3,7-Dihydroxy-12-oxocholanoic acid",C24H38O5,406.5555,406.271924326,"(4R)-4-[(1S,2S,5R,7S,9R,10R,11S,14R,15R)-5,9-dihydroxy-2,15-dimethyl-16-oxotetracyclo[8.7.0.0²,⁷.0¹¹,¹⁵]heptadecan-14-yl]pentanoic acid",12-ketochenodeoxycholic acid,2458-08-4,[H][C@@]12CC[C@H]([C@H](C)CCC(O)=O)[C@@]1(C)C(=O)C[C@@]1([H])[C@@]2([H])[C@H](O)C[C@]2([H])C[C@H](O)CC[C@]12C,"InChI=1S/C24H38O5/c1-13(4-7-21(28)29)16-5-6-17-22-18(12-20(27)24(16,17)3)23(2)9-8-15(25)10-14(23)11-19(22)26/h13-19,22,25-26H,4-12H2,1-3H3,(H,28,29)/t13-,14+,15-,16-,17+,18+,19-,22+,23+,24-/m1/s1",MIHNUBCEFJLAGN-DMMBONCOSA-N
3,HMDB0000415,"3a,6b,7b-Trihydroxy-5b-cholanoic acid",C24H40O5,408.5714,408.28757439,"(4R)-4-[(1S,2R,5R,7R,8S,9R,10S,11S,14R,15R)-5,8,9-trihydroxy-2,15-dimethyltetracyclo[8.7.0.0^{2,7}.0^{11,15}]heptadecan-14-yl]pentanoic acid","(4R)-4-[(1S,2R,5R,7R,8S,9R,10S,11S,14R,15R)-5,8,9-trihydroxy-2,15-dimethyltetracyclo[8.7.0.0^{2,7}.0^{11,15}]heptadecan-14-yl]pentanoic acid",2393-59-1,[H][C@@]12CC[C@H]([C@H](C)CCC(O)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])[C@@H](O)[C@@H](O)[C@]2([H])C[C@H](O)CC[C@]12C,"InChI=1S/C24H40O5/c1-13(4-7-19(26)27)15-5-6-16-20-17(9-11-23(15,16)2)24(3)10-8-14(25)12-18(24)21(28)22(20)29/h13-18,20-22,25,28-29H,4-12H2,1-3H3,(H,26,27)/t13-,14-,15-,16+,17+,18+,20+,21+,22-,23-,24-/m1/s1",DKPMWHFRUGMUKF-CRKPLTDNSA-N
4,HMDB0000417,"3D,7D,11D-Phytanic acid",C20H40O2,312.5304,312.302830524,"(3R,7R,11R)-3,7,11,15-tetramethylhexadecanoic acid",phytanoic acid,18654-64-3,CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@@H](C)CC(O)=O,"InChI=1S/C20H40O2/c1-16(2)9-6-10-17(3)11-7-12-18(4)13-8-14-19(5)15-20(21)22/h16-19H,6-15H2,1-5H3,(H,21,22)/t17-,18-,19-/m1/s1",RLCKHJSFHOZMDR-GUDVDZBRSA-N
5,HMDB0000446,N-alpha-Acetyl-L-lysine,C8H16N2O3,188.227,188.116092383,(2S)-6-amino-2-acetamidohexanoic acid,nα-acetyllysine,1946-82-3,CC(=O)N[C@@H](CCCCN)C(O)=O,"InChI=1S/C8H16N2O3/c1-6(11)10-7(8(12)13)4-2-3-5-9/h7H,2-5,9H2,1H3,(H,10,11)(H,12,13)/t7-/m0/s1",VEYYWZRYIYDQJM-ZETCQYMHSA-N
6,HMDB0000453,delta-Hexanolactone,C6H10O2,114.1424,114.068079564,6-methyloxan-2-one,hexanolactone,823-22-3,CC1CCCC(=O)O1,"InChI=1S/C6H10O2/c1-5-3-2-4-6(7)8-5/h5H,2-4H2,1H3",RZTOWFMDBDPERY-UHFFFAOYSA-N
7,HMDB0000467,Nutriacholic acid,C24H38O4,390.5561,390.277009704,"(4S)-4-[(1S,2S,5R,7S,10R,11S,15R)-5-hydroxy-2,15-dimethyl-9-oxotetracyclo[8.7.0.0^{2,7}.0^{11,15}]heptadecan-14-yl]pentanoic acid","(4S)-4-[(1S,2S,5R,7S,10R,11S,15R)-5-hydroxy-2,15-dimethyl-9-oxotetracyclo[8.7.0.0^{2,7}.0^{11,15}]heptadecan-14-yl]pentanoic acid",4651-67-6,[H][C@@]12CCC([C@@H](C)CCC(O)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])C(=O)C[C@]2([H])C[C@H](O)CC[C@]12C,"InChI=1S/C24H38O4/c1-14(4-7-21(27)28)17-5-6-18-22-19(9-11-24(17,18)3)23(2)10-8-16(25)12-15(23)13-20(22)26/h14-19,22,25H,4-13H2,1-3H3,(H,27,28)/t14-,15-,16+,17?,18-,19-,22-,23-,24+/m0/s1",DXOCDBGWDZAYRQ-QPVZPPSOSA-N
8,HMDB0000477,"7Z,10Z-Hexadecadienoic acid",C16H28O2,252.3923,252.20893014,"(7Z,10Z)-hexadeca-7,10-dienoic acid","7Z,10Z-hexadecadienoic acid",28290-73-5,CCCCC\C=C/C\C=C/CCCCCC(O)=O,"InChI=1S/C16H28O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16(17)18/h6-7,9-10H,2-5,8,11-15H2,1H3,(H,17,18)/b7-6-,10-9-",WPJGPAAPSBVXNU-HZJYTTRNSA-N
9,HMDB0000483,"5b-Cholestane-3a,7a,12a,23S,25-pentol",C27H48O5,452.667,452.350174646,"(1S,2S,5R,7S,9R,10R,15R,16S)-14-[(2S,4S)-4,6-dihydroxy-6-methylheptan-2-yl]-2,15-dimethyltetracyclo[8.7.0.0²,⁷.0¹¹,¹⁵]heptadecane-5,9,16-triol","(1S,2S,5R,7S,9R,10R,15R,16S)-14-[(2S,4S)-4,6-dihydroxy-6-methylheptan-2-yl]-2,15-dimethyltetracyclo[8.7.0.0²,⁷.0¹¹,¹⁵]heptadecane-5,9,16-triol",59906-15-9,[H]C1CC([C@@H](C)C[C@H](O)CC(C)(C)O)[C@]2(C)C1[C@]1([H])[C@H](O)C[C@]3([H])C[C@H](O)CC[C@]3(C)[C@@]1([H])C[C@@H]2O,"InChI=1S/C27H48O5/c1-15(10-18(29)14-25(2,3)32)19-6-7-20-24-21(13-23(31)27(19,20)5)26(4)9-8-17(28)11-16(26)12-22(24)30/h15-24,28-32H,6-14H2,1-5H3/t15-,16-,17+,18-,19?,20?,21-,22+,23-,24-,26-,27+/m0/s1",OXSBBBPDYVCAKC-CTSLUMRNSA-N
10,HMDB0000502,3-Oxocholic acid,C24H38O5,406.563,406.271924324,"(4R)-4-[(1S,2S,7R,9R,10R,11S,14R,15R,16S)-9,16-dihydroxy-2,15-dimethyl-5-oxotetracyclo[8.7.0.0^{2,7}.0^{11,15}]heptadecan-14-yl]pentanoic acid","(4R)-4-[(1S,2S,7R,9R,10R,11S,14R,15R,16S)-9,16-dihydroxy-2,15-dimethyl-5-oxotetracyclo[8.7.0.0^{2,7}.0^{11,15}]heptadecan-14-yl]pentanoic acid",2304-89-4,[H][C@@]1(CC[C@@]2([H])[C@]3([H])[C@H](O)C[C@]4([H])CC(=O)CC[C@]4(C)[C@@]3([H])C[C@H](O)[C@]12C)[C@H](C)CCC(O)=O,"InChI=1S/C24H38O5/c1-13(4-7-21(28)29)16-5-6-17-22-18(12-20(27)24(16,17)3)23(2)9-8-15(25)10-14(23)11-19(22)26/h13-14,16-20,22,26-27H,4-12H2,1-3H3,(H,28,29)/t13-,14+,16-,17+,18+,19-,20+,22+,23+,24-/m1/s1",OEKUSRBIIZNLHZ-DJDNIQJZSA-N
11,HMDB0000520,"5a-Cholestane-3a,7a,12a,25-tetrol",C27H48O4,436.6676,436.355260024,"(1S,2S,5R,7R,9R,10R,11S,15R,16S)-14-[(2R)-6-hydroxy-6-methylheptan-2-yl]-2,15-dimethyltetracyclo[8.7.0.0²,⁷.0¹¹,¹⁵]heptadecane-5,9,16-triol","(1S,2S,5R,7R,9R,10R,11S,15R,16S)-14-[(2R)-6-hydroxy-6-methylheptan-2-yl]-2,15-dimethyltetracyclo[8.7.0.0²,⁷.0¹¹,¹⁵]heptadecane-5,9,16-triol",60257-29-6,[H][C@@]12CCC([C@H](C)CCCC(C)(C)O)[C@@]1(C)[C@@H](O)C[C@@]1([H])[C@@]2([H])[C@H](O)C[C@@]2([H])C[C@H](O)CC[C@]12C,"InChI=1S/C27H48O4/c1-16(7-6-11-25(2,3)31)19-8-9-20-24-21(15-23(30)27(19,20)5)26(4)12-10-18(28)13-17(26)14-22(24)29/h16-24,28-31H,6-15H2,1-5H3/t16-,17-,18-,19?,20+,21+,22-,23+,24+,26+,27-/m1/s1",NTIXPPFPXLYJCT-SUGKMTRFSA-N
12,HMDB0000528,"4,5-Dihydroorotic acid",C5H6N2O4,158.1121,158.03275669,"2,6-dioxo-1,3-diazinane-4-carboxylic acid",dihydroorotic acid,155-54-4,OC(=O)C1CC(=O)NC(=O)N1,"InChI=1S/C5H6N2O4/c8-3-1-2(4(9)10)6-5(11)7-3/h2H,1H2,(H,9,10)(H2,6,7,8,11)",UFIVEPVSAGBUSI-UHFFFAOYSA-N
13,HMDB0000529,5Z-Dodecenoic acid,C12H22O2,198.3019,198.161979948,(5Z)-dodec-5-enoic acid,cis-5-dodecenoic acid,2430-94-6,CCCCCC\C=C/CCCC(O)=O,"InChI=1S/C12H22O2/c1-2-3-4-5-6-7-8-9-10-11-12(13)14/h7-8H,2-6,9-11H2,1H3,(H,13,14)/b8-7-",IJBFSOLHRKELLR-FPLPWBNLSA-N
14,HMDB0000553,"3L,7D,11D-Phytanic acid",C20H40O2,312.5304,312.302830524,"(3S,7R,11R)-3,7,11,15-tetramethylhexadecanoic acid","3L,7D,11D-phytanate",31653-05-1,CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@H](C)CC(O)=O,"InChI=1S/C20H40O2/c1-16(2)9-6-10-17(3)11-7-12-18(4)13-8-14-19(5)15-20(21)22/h16-19H,6-15H2,1-5H3,(H,21,22)/t17-,18-,19+/m1/s1",RLCKHJSFHOZMDR-QRVBRYPASA-N
15,HMDB0000563,D-Phenyllactic acid,C9H10O3,166.1739,166.062994186,(2S)-2-hydroxy-3-phenylpropanoic acid,L-3-phenyllactic acid,7326-19-4,[H][C@](O)(CC1=CC=CC=C1)C(O)=O,"InChI=1S/C9H10O3/c10-8(9(11)12)6-7-4-2-1-3-5-7/h1-5,8,10H,6H2,(H,11,12)/t8-/m0/s1",VOXXWSYKYCBWHO-QMMMGPOBSA-N
16,HMDB0000577,5beta-Coprostanol,C27H48O,388.6694,388.370516158,"(1S,2S,5S,7R,10R,11S,14R,15R)-2,15-dimethyl-14-[(2R)-6-methylheptan-2-yl]tetracyclo[8.7.0.0^{2,7}.0^{11,15}]heptadecan-5-ol","(1S,2S,5S,7R,10R,11S,14R,15R)-2,15-dimethyl-14-[(2R)-6-methylheptan-2-yl]tetracyclo[8.7.0.0^{2,7}.0^{11,15}]heptadecan-5-ol",360-68-9,[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC[C@]4([H])C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCCC(C)C,"InChI=1S/C27H48O/c1-18(2)7-6-8-19(3)23-11-12-24-22-10-9-20-17-21(28)13-15-26(20,4)25(22)14-16-27(23,24)5/h18-25,28H,6-17H2,1-5H3/t19-,20-,21+,22+,23-,24+,25+,26+,27-/m1/s1",QYIXCDOBOSTCEI-NWKZBHTNSA-N
17,HMDB0000621,D-Ribulose,C5H10O5,150.13,150.052823422,"(2R,3R,4R)-2-(hydroxymethyl)oxolane-2,3,4-triol","(2R,3R,4R)-2-(hydroxymethyl)oxolane-2,3,4-triol",131064-70-5,OC[C@@]1(O)OC[C@@H](O)[C@H]1O,"InChI=1S/C5H10O5/c6-2-5(9)4(8)3(7)1-10-5/h3-4,6-9H,1-2H2/t3-,4-,5-/m1/s1",LQXVFWRQNMEDEE-UOWFLXDJSA-N
18,HMDB0000672,Hexadecanedioic acid,C16H30O4,286.407,286.214409448,hexadecanedioic acid,hexadecanedioic acid,505-54-4,OC(=O)CCCCCCCCCCCCCCC(O)=O,"InChI=1S/C16H30O4/c17-15(18)13-11-9-7-5-3-1-2-4-6-8-10-12-14-16(19)20/h1-14H2,(H,17,18)(H,19,20)",QQHJDPROMQRDLA-UHFFFAOYSA-N
19,HMDB0000712,Hexadecanedioic acid mono-L-carnitine ester,C23H43NO6,429.5906,429.309038113,3-[(15-carboxypentadecanoyl)oxy]-4-(trimethylazaniumyl)butanoate,3-[(15-carboxypentadecanoyl)oxy]-4-(trimethylammonio)butanoate,42150-38-9,C[N+](C)(C)CC(CC([O-])=O)OC(=O)CCCCCCCCCCCCCCC(O)=O,"InChI=1S/C23H43NO6/c1-24(2,3)19-20(18-22(27)28)30-23(29)17-15-13-11-9-7-5-4-6-8-10-12-14-16-21(25)26/h20H,4-19H2,1-3H3,(H-,25,26,27,28)",UNHCPLSWMNPZTD-UHFFFAOYSA-N
20,HMDB0000717,Isolithocholic acid,C24H40O3,376.5726,376.297745146,"(4R)-4-[(1S,2S,5S,7R,10R,11S,14R,15R)-5-hydroxy-2,15-dimethyltetracyclo[8.7.0.0^{2,7}.0^{11,15}]heptadecan-14-yl]pentanoic acid","(4R)-4-[(1S,2S,5S,7R,10R,11S,14R,15R)-5-hydroxy-2,15-dimethyltetracyclo[8.7.0.0^{2,7}.0^{11,15}]heptadecan-14-yl]pentanoic acid",1534-35-6,[H][C@@]12CC[C@H]([C@H](C)CCC(O)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@]2([H])C[C@@H](O)CC[C@]12C,"InChI=1S/C24H40O3/c1-15(4-9-22(26)27)19-7-8-20-18-6-5-16-14-17(25)10-12-23(16,2)21(18)11-13-24(19,20)3/h15-21,25H,4-14H2,1-3H3,(H,26,27)/t15-,16-,17+,18+,19-,20+,21+,23+,24-/m1/s1",SMEROWZSTRWXGI-WFVDQZAMSA-N
21,HMDB0000734,Indoleacrylic acid,C11H9NO2,187.198,187.063328534,(2E)-3-(1H-indol-3-yl)prop-2-enoic acid,(2E)-3-(1H-indol-3-yl)prop-2-enoic acid,29953-71-7,OC(=O)\C=C\C1=CNC2=C1C=CC=C2,"InChI=1S/C11H9NO2/c13-11(14)6-5-8-7-12-10-4-2-1-3-9(8)10/h1-7,12H,(H,13,14)/b6-5+",PLVPPLCLBIEYEA-AATRIKPKSA-N
22,HMDB0000772,Nonadecanoic acid,C19H38O2,298.5038,298.28718046,nonadecanoic acid,nonadecanoic acid,646-30-0,CCCCCCCCCCCCCCCCCCC(O)=O,"InChI=1S/C19H38O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19(20)21/h2-18H2,1H3,(H,20,21)",ISYWECDDZWTKFF-UHFFFAOYSA-N
23,HMDB0000782,Octadecanedioic acid,C18H34O4,314.4602,314.245709576,octadecanedioic acid,octadecanedioic acid,871-70-5,OC(=O)CCCCCCCCCCCCCCCCC(O)=O,"InChI=1S/C18H34O4/c19-17(20)15-13-11-9-7-5-3-1-2-4-6-8-10-12-14-16-18(21)22/h1-16H2,(H,19,20)(H,21,22)",BNJOQKFENDDGSC-UHFFFAOYSA-N
24,HMDB0000798,Oenanthic ether,C9H18O2,158.238,158.13067982,ethyl heptanoate,wine oil,106-30-9,CCCCCCC(=O)OCC,"InChI=1S/C9H18O2/c1-3-5-6-7-8-9(10)11-4-2/h3-8H2,1-2H3",TVQGDYNRXLTQAP-UHFFFAOYSA-N
25,HMDB0000802,Pterin,C6H5N5O,163.1368,163.049409807,"2-amino-3,4-dihydropteridin-4-one",2-amino-4-oxopteridine,2236-60-4,NC1=NC2=NC=CN=C2C(=O)N1,"InChI=1S/C6H5N5O/c7-6-10-4-3(5(12)11-6)8-1-2-9-4/h1-2H,(H3,7,9,10,11,12)",HNXQXTQTPAJEJL-UHFFFAOYSA-N
26,HMDB0000849,Rhamnose,C6H12O5,164.1565,164.068473494,"(3R,4R,5R,6S)-6-methyloxane-2,3,4,5-tetrol",L-(+)-rhamnose,3615-41-6,C[C@@H]1OC(O)[C@H](O)[C@H](O)[C@H]1O,"InChI=1S/C6H12O5/c1-2-3(7)4(8)5(9)6(10)11-2/h2-10H,1H3/t2-,3-,4+,5+,6?/m0/s1",SHZGCJCMOBCMKK-JFNONXLTSA-N
27,HMDB0000853,N-Acetyl-b-D-galactosamine,C8H15NO6,221.2078,221.089937217,"N-[(2R,3R,4R,5R,6R)-2,4,5-trihydroxy-6-(hydroxymethyl)oxan-3-yl]acetamide",N-acetyl-β-D-galactosamine,14131-60-3,CC(=O)N[C@H]1[C@H](O)O[C@H](CO)[C@H](O)[C@@H]1O,"InChI=1S/C8H15NO6/c1-3(11)9-5-7(13)6(12)4(2-10)15-8(5)14/h4-8,10,12-14H,2H2,1H3,(H,9,11)/t4-,5-,6+,7-,8-/m1/s1",OVRNDRQMDRJTHS-JAJWTYFOSA-N
28,HMDB0000856,N-alpha-Acetyl-L-citrulline,C8H15N3O4,217.2224,217.106255983,(2S)-5-(carbamoylamino)-2-acetamidopentanoic acid,N-acetyl-L-citrulline,33965-42-3,CC(=O)N[C@@H](CCCNC(N)=O)C(O)=O,"InChI=1S/C8H15N3O4/c1-5(12)11-6(7(13)14)3-2-4-10-8(9)15/h6H,2-4H2,1H3,(H,11,12)(H,13,14)(H3,9,10,15)/t6-/m0/s1",WMQMIOYQXNRROC-LURJTMIESA-N
29,HMDB0000905,Deoxyadenosine monophosphate,C10H14N5O6P,331.2218,331.068169717,"{[(2R,3S,5R)-5-(6-amino-9H-purin-9-yl)-3-hydroxyoxolan-2-yl]methoxy}phosphonic acid",DAMP,653-63-4,NC1=NC=NC2=C1N=CN2[C@H]1C[C@H](O)[C@@H](COP(O)(O)=O)O1,"InChI=1S/C10H14N5O6P/c11-9-8-10(13-3-12-9)15(4-14-8)7-1-5(16)6(21-7)2-20-22(17,18)19/h3-7,16H,1-2H2,(H2,11,12,13)(H2,17,18,19)/t5-,6+,7+/m0/s1",KHWCHTKSEGGWEX-RRKCRQDMSA-N
30,HMDB0000926,Pyridine,C5H5N,79.0999,79.042199165,pyridine,pyridine,110-86-1,C1=CC=NC=C1,InChI=1S/C5H5N/c1-2-4-6-5-3-1/h1-5H,JUJWROOIHBZHMG-UHFFFAOYSA-N
31,HMDB0000947,Undecanoic acid,C11H22O2,186.2912,186.161979948,undecanoic acid,undecanoic acid,112-37-8,CCCCCCCCCCC(O)=O,"InChI=1S/C11H22O2/c1-2-3-4-5-6-7-8-9-10-11(12)13/h2-10H2,1H3,(H,12,13)",ZDPHROOEEOARMN-UHFFFAOYSA-N
32,HMDB0000978,"4-(2-Aminophenyl)-2,4-dioxobutanoic acid",C10H9NO4,207.1828,207.053157781,"4-(2-aminophenyl)-2,4-dioxobutanoic acid","4-(2-aminophenyl)-2,4-dioxobutanoic acid",90924-76-8,NC1=C(C=CC=C1)C(=O)CC(=O)C(O)=O,"InChI=1S/C10H9NO4/c11-7-4-2-1-3-6(7)8(12)5-9(13)10(14)15/h1-4H,5,11H2,(H,14,15)",CAOVWYZQMPNAFJ-UHFFFAOYSA-N
33,HMDB0001008,Biliverdin,C33H34N4O6,582.657,582.247834831,"3-(2-{[(2Z)-3-(2-carboxyethyl)-5-{[(2Z)-4-ethenyl-3-methyl-5-oxo-2,5-dihydro-1H-pyrrol-2-ylidene]methyl}-4-methyl-2H-pyrrol-2-ylidene]methyl}-5-{[(2Z)-3-ethenyl-4-methyl-5-oxo-2,5-dihydro-1H-pyrrol-2-ylidene]methyl}-4-methyl-1H-pyrrol-3-yl)propanoic acid",biliverdine,114-25-0,CC1=C(C=C)\C(NC1=O)=C\C1=C(C)C(CCC(O)=O)=C(N1)\C=C1/N=C(/C=C2\NC(=O)C(C=C)=C2C)C(C)=C1CCC(O)=O,"InChI=1S/C33H34N4O6/c1-7-20-19(6)32(42)37-27(20)14-25-18(5)23(10-12-31(40)41)29(35-25)15-28-22(9-11-30(38)39)17(4)24(34-28)13-26-16(3)21(8-2)33(43)36-26/h7-8,13-15,35H,1-2,9-12H2,3-6H3,(H,36,43)(H,37,42)(H,38,39)(H,40,41)/b26-13-,27-14-,28-15-",QBUVFDKTZJNUPP-BBROENKCSA-N
34,HMDB0001078,Mannose 6-phosphate,C6H13O9P,260.1358,260.029718526,"{[(2R,3S,4S,5S,6R)-3,4,5,6-tetrahydroxyoxan-2-yl]methoxy}phosphonic acid",mannose 6 phosphate,3672-15-9,O[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H](O)[C@@H]1O,"InChI=1S/C6H13O9P/c7-3-2(1-14-16(11,12)13)15-6(10)5(9)4(3)8/h2-10H,1H2,(H2,11,12,13)/t2-,3-,4+,5+,6-/m1/s1",NBSCHQHZLSJFNQ-RWOPYEJCSA-N
35,HMDB0001101,p-Anisic acid,C8H8O3,152.1473,152.047344122,4-methoxybenzoic acid,P-anisic acid,100-09-4,COC1=CC=C(C=C1)C(O)=O,"InChI=1S/C8H8O3/c1-11-7-4-2-6(3-5-7)8(9)10/h2-5H,1H3,(H,9,10)",ZEYHEAKUIGZSGI-UHFFFAOYSA-N
36,HMDB0001104,N-Acetyl-b-glucosaminylamine,C8H16N2O5,220.223,220.105921632,"N-[(2R,3R,4R,5S,6R)-2-amino-4,5-dihydroxy-6-(hydroxymethyl)oxan-3-yl]acetamide",N-acetyl-β-D-glucosaminylamine,Nah,CC(=O)N[C@H]1[C@H](N)O[C@H](CO)[C@@H](O)[C@@H]1O,"InChI=1S/C8H16N2O5/c1-3(12)10-5-7(14)6(13)4(2-11)15-8(5)9/h4-8,11,13-14H,2,9H2,1H3,(H,10,12)/t4-,5-,6-,7-,8-/m1/s1",MCGXOCXFFNKASF-FMDGEEDCSA-N
37,HMDB0001212,Hydantoin-5-propionic acid,C6H8N2O4,172.1387,172.048406754,"3-(2,5-dioxoimidazolidin-4-yl)propanoic acid",hydantoin-5-propionic acid,5624-26-0,OC(=O)CCC1NC(=O)NC1=O,"InChI=1S/C6H8N2O4/c9-4(10)2-1-3-5(11)8-6(12)7-3/h3H,1-2H2,(H,9,10)(H2,7,8,11,12)",VWFWNXQAMGDPGG-UHFFFAOYSA-N
38,HMDB0001227,5-Thymidylic acid,C10H15N2O8P,322.2085,322.056601978,"{[(2R,3S,5R)-3-hydroxy-5-(5-methyl-2,4-dioxo-1,2,3,4-tetrahydropyrimidin-1-yl)oxolan-2-yl]methoxy}phosphonic acid",thymidylate,365-07-1,CC1=CN([C@H]2C[C@H](O)[C@@H](COP(O)(O)=O)O2)C(=O)NC1=O,"InChI=1S/C10H15N2O8P/c1-5-3-12(10(15)11-9(5)14)8-2-6(13)7(20-8)4-19-21(16,17)18/h3,6-8,13H,2,4H2,1H3,(H,11,14,15)(H2,16,17,18)/t6-,7+,8+/m0/s1",GYOZYWVXFNDGLU-XLPZGREQSA-N
39,HMDB0001229,Dopaquinone,C9H9NO4,195.1721,195.053157781,"(2S)-2-amino-3-(3,4-dioxocyclohexa-1,5-dien-1-yl)propanoic acid",dopaquinone,4430-97-1,N[C@@H](CC1=CC(=O)C(=O)C=C1)C(O)=O,"InChI=1S/C9H9NO4/c10-6(9(13)14)3-5-1-2-7(11)8(12)4-5/h1-2,4,6H,3,10H2,(H,13,14)/t6-/m0/s1",AHMIDUVKSGCHAU-LURJTMIESA-N
40,HMDB0001301,1-Pyrroline-5-carboxylic acid,C5H7NO2,113.1146,113.047678473,"3,4-dihydro-2H-pyrrole-2-carboxylic acid",1-pyrroline-5-carboxylic acid,2906-39-0,OC(=O)C1CCC=N1,"InChI=1S/C5H7NO2/c7-5(8)4-2-1-3-6-4/h3-4H,1-2H2,(H,7,8)",DWAKNKKXGALPNW-UHFFFAOYSA-N
41,HMDB0001339,Glutaryl-CoA,C26H42N7O19P3S,881.633,881.146902423,"5-{[2-(3-{3-[({[({[(2R,3S,4R,5R)-5-(6-amino-9H-purin-9-yl)-4-hydroxy-3-(phosphonooxy)oxolan-2-yl]methoxy}(hydroxy)phosphoryl)oxy](hydroxy)phosphoryl}oxy)methyl]-2-hydroxy-3-methylbutanamido}propanamido)ethyl]sulfanyl}-5-oxopentanoic acid","5-({2-[3-(3-{[({[(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-4-hydroxy-3-(phosphonooxy)oxolan-2-yl]methoxy(hydroxy)phosphoryl}oxy(hydroxy)phosphoryl)oxy]methyl}-2-hydroxy-3-methylbutanamido)propanamido]ethyl}sulfanyl)-5-oxopentanoic acid",103192-48-9,CC(C)(COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N)C(O)C(=O)NCCC(=O)NCCSC(=O)CCCC(O)=O,"InChI=1S/C26H42N7O19P3S/c1-26(2,21(39)24(40)29-7-6-15(34)28-8-9-56-17(37)5-3-4-16(35)36)11-49-55(46,47)52-54(44,45)48-10-14-20(51-53(41,42)43)19(38)25(50-14)33-13-32-18-22(27)30-12-31-23(18)33/h12-14,19-21,25,38-39H,3-11H2,1-2H3,(H,28,34)(H,29,40)(H,35,36)(H,44,45)(H,46,47)(H2,27,30,31)(H2,41,42,43)/t14-,19-,20-,21?,25-/m1/s1",SYKWLIJQEHRDNH-KRPIADGTSA-N
42,HMDB0001353,2-Keto-3-deoxy-D-gluconic acid,C6H10O6,178.14,178.047738052,"(4R,5R)-4,5,6-trihydroxy-2-oxohexanoic acid","(4R,5R)-4,5,6-trihydroxy-2-oxohexanoic acid",17510-99-5,OC[C@@H](O)[C@H](O)CC(=O)C(O)=O,"InChI=1S/C6H10O6/c7-2-5(10)3(8)1-4(9)6(11)12/h3,5,7-8,10H,1-2H2,(H,11,12)/t3-,5-/m1/s1",WPAMZTWLKIDIOP-NQXXGFSBSA-N
43,HMDB0001480,3-Dehydrosphinganine,C18H37NO2,299.4919,299.282429433,(2S)-2-amino-1-hydroxyoctadecan-3-one,3-ketosphinganine,16105-69-4,CCCCCCCCCCCCCCCC(=O)[C@@H](N)CO,"InChI=1S/C18H37NO2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-18(21)17(19)16-20/h17,20H,2-16,19H2,1H3/t17-/m0/s1",KBUNOSOGGAARKZ-KRWDZBQOSA-N
44,HMDB0001536,Formamide,CH3NO,45.0406,45.021463723,formamide,formamide,75-12-7,NC=O,"InChI=1S/CH3NO/c2-1-3/h1H,(H2,2,3)",ZHNUHDYFZUAESO-UHFFFAOYSA-N
