	m/z	retention_time	p-value	t-stat
0	263.103	3.399	0.37198754543036117	0.8967056203386204
1	212.0022	0.431	0.9309306838751914	-0.08688824902820627
2	269.1499	3.066	0.00011705394212465606	4.00707908268928
3	321.0571	2.694	0.0016482693136931979	3.2334394170227463
4	222.9914	0.739	0.021571200508349292	-2.3337314562336946
5	187.0072	0.396	0.9987153673379681	-0.0016139999575668518
6	178.0513	3.071	0.8934440718476042	-0.134282151192433
7	343.084	1.516	0.41522232164292594	0.8180733251205452
8	187.0097	0.381	0.01789387950889215	-2.4067467131760414
9	321.057	2.342	0.0015796218279167983	3.2468320711569976
10	172.9918	0.399	0.8719143220095364	-0.16163335709663712
11	282.0466	3.015	0.0775339429640785	1.7831649224742385
12	527.2114	3.398	0.79577851032123	-0.25949221034938086
13	387.0241	5.67	0.4330152336993066	0.7871569296263619
14	469.0262	5.671	0.8274746231679512	-0.21850194643789692
15	551.0285	5.671	0.7625953006265642	0.3028837501089823
16	273.0065	3.228	0.06854490399153736	1.8408864009602464
17	281.0536	2.633	0.8888654378703249	0.14008962538994896
18	633.0319	5.671	0.18158547425311	-1.3450705045177647
19	227.9968	0.539	0.11834377442862425	-1.5750405516002335
20	191.0204	7.228	0.1851420772364664	1.3341000333037347
21	275.0221	3.337	0.11174042854178277	1.6042977951066384
22	219.0	0.356	0.7847325936407629	0.2738775227489417
23	264.1061	3.399	0.4058851343379555	0.8346148094583449
24	243.0617	3.779	0.014291820377219575	-2.4925791111065436
25	305.0219	5.671	0.4903493041345963	0.6922563430612002
26	715.035	5.669	0.36067365803446916	-0.918212754327484
27	241.1188	3.32	0.8825522632626754	0.14810503855898283
28	305.0325	3.62	0.0007723030441504181	3.4667896582339406
29	528.2146	3.399	0.9803416954418733	-0.024701027681930745
30	218.049	3.87	0.0001884331415476618	3.8753905821378383
31	112.0531	2.608	0.03346072790739325	-2.155674150136806
32	112.9871	0.494	0.11835023003356714	-1.5750125932125016
33	300.0384	3.352	0.6491560622107893	-0.45628368784906337
34	270.1529	3.067	0.0005225812470317682	3.5829829614975064
35	305.0534	2.919	0.36489635442208446	-0.910136311421641
36	213.0048	0.431	0.8037883810612022	0.2490947623600769
37	329.0685	1.54	0.9695546125235712	-0.03826069559616255
38	260.0227	4.543	0.3965782363924536	-0.8513337712071353
39	473.143	3.066	0.8511926245898763	0.18807358238099714
40	331.1746	3.041	0.597355957661553	-0.5298665563203755
41	275.0221	3.476	0.0025011545947082577	3.100081477704898
42	389.0968	3.362	0.048224249685944416	1.999403937479137
43	246.9912	3.561	0.0005959497997467443	3.544184727775969
44	194.046	3.364	0.006923698729861852	2.756437811164329
45	261.0066	3.127	0.04331388704827239	2.046154970599541
46	261.0067	3.914	0.03478156120790939	2.1394902235748123
47	208.0614	3.039	0.18161644506956298	1.3449742791839907
48	263.0223	0.68	0.0005180050189811261	-3.585570530886864
49	141.0181	5.662	0.5185306305678072	-0.647860799090466
50	258.9909	3.112	0.3197955313090128	0.9997537875917039
51	345.1535	2.746	0.039829940233779115	2.0821645762115257
52	357.0994	1.493	0.13379747735703637	1.5113257191511578
53	322.06	2.697	0.0021878309190363947	3.1433023846692367
54	343.138	2.831	0.31342005952038143	1.0130779513016281
55	317.1229	3.032	0.724782935016054	0.35304543892432527
56	321.057	2.595	0.12062163290179403	1.5652498775015689
57	201.1132	3.251	0.17752235947409303	1.3578031796666525
58	194.046	3.633	0.05705493994929622	1.9246847898011694
59	330.0273	3.76	0.02288037270090789	2.310385217732877
60	230.9964	3.781	0.026583300759313498	2.250201390645539
61	297.1806	2.803	0.0015072193266307485	3.261559822442855
62	245.0118	3.149	0.573301090133469	0.5650195481112223
63	301.0012	2.024	0.025502791909865347	2.26695968169584
64	279.0977	3.14	0.31671226103892847	1.0061752436589504
