H1.CDF height,H2.CDF height,H21.CDF height,H22.CDF height,H23.CDF height,H24.CDF height,H25.CDF height,H3.CDF height,H31.CDF height,H32.CDF height,H33.CDF height,H34.CDF height,H35.CDF height,H4.CDF height,H41.CDF height,H42.CDF height,H43.CDF height,H44.CDF height,H45.CDF height,H5.CDF height,L1.CDF height,L2.CDF height,L21.CDF height,L22.CDF height,L23.CDF height,L24.CDF height,L25.CDF height,L3.CDF height,L31.CDF height,L32.CDF height,L33.CDF height,L34.CDF height,L35.CDF height,L4.CDF height,L41.CDF height,L42.CDF height,L43.CDF height,L44.CDF height,L45.CDF height,L5.CDF height,M1.CDF height,M2.CDF height,M21.CDF height,M22.CDF height,M23.CDF height,M24.CDF height,M25.CDF height,M3.CDF height,M31.CDF height,M32.CDF height,M33.CDF height,M34.CDF height,M35.CDF height,M4.CDF height,M41.CDF height,M42.CDF height,M43.CDF height,M44.CDF height,M45.CDF height,M5.CDF height,S1.CDF height,S2.CDF height,S21.CDF height,S22.CDF height,S23.CDF height,S24.CDF height,S25.CDF height,S3.CDF height,S31.CDF height,S32.CDF height,S33.CDF height,S34.CDF height,S35.CDF height,S4.CDF height,S41.CDF height,S42.CDF height,S43.CDF height,S44.CDF height,S45.CDF height,S5.CDF height
23895.73831,23388.88261,,53944,,13868,,35794.36128,40852.92633,18241.83657,29551.11376,32872,30968,34116.25488,,27932.23255,29805.51367,47680.10064,,15152.58605,97071.12192,209805.9273,191317.4875,184576,242506.083,273883.3874,174946.2962,294209.9077,226523.0839,105069.4696,131153.1441,79897.56757,87846.76254,154354.2784,164570.167,53613.22278,184460.8019,144714.0805,167232,146432,39461.42785,35992,64504.28097,51739.03493,68512.60272,,73050.41887,51756.21727,135139.3134,93276.36471,57048,80591.96847,99970.73797,71349.67392,,,29860.01704,87566.96689,,84793.18176,99036.12612,1118787.654,366941.4281,382504.5933,1468416,1462715.047,235239.786,1317962.492,1943651.25,1386393.358,520319.0152,676859.4929,1022298.857,1445059.963,304690.811,737728.2634,132676.0345,14473.53327,,1183744
61829.53022,41653.41226,,67811.91498,13873.12605,40520.81381,37609.33074,105569.2998,78547.15299,61983.82873,31171.90347,54541.00659,40870.47511,80107.6768,23331.31905,41928.91149,74674.30305,61500.305,53968.20346,,20640.10833,,62782.79363,,,,,,,,,,,,,27198.6876,,,,,26938.46536,,32877.41399,29589.61821,91524.95204,13766.69674,45366.56409,18383.28689,27571.59031,,31901.46973,24257.35684,,,39067.35444,22885.30832,12193.4849,36718.25039,34308.50129,42663.21721,1343818.852,1220011.324,339177.8273,913899.0948,1316821.505,932694.3809,907854.7943,1400167.824,1911296,1850890.231,1651868.401,1771227.979,1053102.774,1431095.92,1588369.586,952836.1237,1036811.864,1133622.703,,1288459.068
,,,,,,,,,,,,,,,,,,,,,,,,,,40880.32715,,,,,,,,,,,,,53858.78244,,,,,,,,,,,,,,,,,,,,,1074688,1339568.368,1004723.278,1159475.686,1234809.441,1162599.163,1439585.079,1523499.303,1454286.07,1228084.311,1252491.178,1120970.996,1553537.621,1869144.297,1171177.797,1240730.343,796078.5228,687344.3039,,
38577.96749,68437.24199,49050.52327,389150.5228,154066.5104,82102.2226,103690.8305,,220831.9991,131382.7041,206233.9026,157108.4212,158237.9487,,31391.40227,218624.8487,,82331.81125,80473.47512,30470.39673,151630.1608,237500.3485,227840.3469,230265.6735,231169.3126,191319.1578,276248.3424,375689.1078,261650.5059,87718.08066,186977.2522,62577.75226,179195.5132,212269.7263,73672.59948,35048.81479,97613.09314,108380.5407,185192.5458,238199.777,248544.5626,44046.93012,32604.17856,165707.1013,86826.86169,38262.33224,69419.80119,32407.06733,191824.8295,132056.0594,70936.1929,103635.3344,137058.1823,47825.0112,45478.91803,40161.45808,33079.75198,87860.86192,51039.37262,81493.90934,937127.4866,784698.6715,,176136.6063,1143881.598,366106.0493,,1159775.704,,1857013.603,,,,1070223.596,,,,,,1099653.69
528064,369888.8913,274094.7684,502720,297299.3464,312976.6905,423091.8396,427008,666816,530807.1382,524100.4738,599424,620638.0527,500296.1828,,724288,810786.1078,895994.6505,577243.2303,436437.1428,969914.2118,614582.4682,828357.4039,1078871.676,977703.9242,994897.1239,946932.5305,1696400.391,930586.3896,1058304,1337812.658,1097874.974,1304064,1739776,1099233.408,982016,1288704,1195725.174,1123328,1503840.649,1045285.549,918236.9168,820119.0228,935839.4212,835928.7001,918049.8696,954687.0313,1284608,1286884.815,1035988.589,1214464,1286489.654,1777372.951,960183.9191,1176321.802,1490059.557,793766.2066,962642.1142,733884.3263,1035225.61,,,,,,,,,,,,,,,,,,,,
461795.2231,217280,413991.574,567677.185,319632.964,313844.246,442148.619,665232.88,533478.8061,268047.2334,438744.0227,456652.0792,485506.8195,416704,104306.0514,400543.8725,545899.579,538089.3887,474688,496518.3565,952275.5899,1183951.802,801664,789696,696294.3405,718261.4392,1134648.663,1768667.06,1212488.393,1065850.649,1147392,1493005.384,1085737.813,1032550.806,1239856.43,956480,1153419.178,1148265.583,1243982.28,1624576,345164.9388,317452.7502,206146.139,174172.6261,201088,215243.5713,383114.8241,414377.9837,488422.805,296968.054,175861.3421,248395.4878,334200.3378,267930.1464,357902.5035,217499.785,142772.5598,306556.5481,222959.5457,302738.0247,405014.2152,466515.7639,415607.5586,505821.4344,357142.0614,244447.1464,396251.397,388279.3277,,280350.1162,,,,635062.2193,369813.0646,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2340877.388,733297.8848,87066.45558,833067.4568,513007.1451,574616.2034,248929.5859,643783.6612,3514880,1705483.404,1030173.276,,1674864.384,1294338.306,1379036.152,,,,,376523.7401
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,429856.7005,1132244.982,1206756.185,1223917.367,1309266.883,1090010.816,1692672,1013432.154,1067915.56,840112.1036,1099776,662099.7875,1377292.413,868650.8768,1154560,1013859.086,742033.7967,789318.0629,,1032879.718
876443.81,905350.0285,697311.9089,920101.5498,692992,664107.3091,943452.7414,948430.2053,1158758.42,844175.6406,954671.6022,902484.7928,1082563.01,981820.3484,321158.0875,1068122.954,1239400.969,936836.5533,789440.7436,1086448.686,578357.1967,645056,996555.3226,934912,727469.6712,739106.1485,787596.596,985746.5436,593575.8039,601189.8769,817648.897,799523.0135,929600,804793.2072,688638.3231,711872,538101.4425,601675.8961,717587.2,1305427.929,728327.2489,923592.4193,804168.6057,957696,755752.7587,938404.6655,1084639.297,1083392,1170052.041,695563.6849,1075755.714,1055232,1081605.425,950701.6922,1094689.6,941370.4416,738254.5803,783085.3851,459877.2823,964350.3293,1226182.223,1244247.116,961067.8916,1066339.359,1222257.47,1240273.28,1676399.102,1344607.708,1260839.22,1342746.682,1506185.98,1070183.353,1436909.718,1399986.718,1516554.978,1391331.814,928740.1286,1034490.481,,1552810.63
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,335037.8356,886144.4905,34380.552,46024.1537,1181530.513,365703.8873,212677.2648,1095168,1529649.667,1472973.156,1305578.467,1550191.71,1410358.174,924814.5805,1675143.043,90006.9082,77316.59929,44000.81975,,1117402.953
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,555733.8517,740992,,93746.27385,934912,388070.2218,258021.0498,1290067.239,1604894.909,1573338.425,960686.2748,1286765.479,1480192,1198080,923635.708,86555.94454,533913.1917,447695.4135,,948360.8139
62165.90508,60737.01331,29753.85358,206589.9456,110514.8048,48575.93044,45804.75109,73676.04664,111513.7916,113804.3268,57048.60051,77366.08474,89177.97877,87620.0961,13106.38731,53349.24922,106728.3362,110115.3472,137750.5717,40934.47123,425502.6747,635660.6022,746606.952,513610.782,788077.776,990533.0192,892547.9763,677675.655,371296.6335,297271.3499,609652.3347,509840.7875,441371.7803,412631.1987,108864.5505,217375.0418,809174.4965,674813.0316,736456.5118,547756.6539,482155.1383,230259.4828,178343.46,631872,778592.1319,515969.0985,569132.2116,405021.5349,964780.9813,890074.5926,440474.6389,875328,1063204.402,443712,759071.5706,680327.5829,345460.3941,841825.5917,930176,654272,459499.2323,1041280,745395.3529,948886.6409,1320251.504,1154048,,1152699.649,,1183724.22,,,,1361035.427,,,,,,1562376.136
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,935537.1017,514664.1258,1311057.572,1291776,893800.2199,605575.1319,929834.771,280232.8716,628088.4608,613996.1067,534669.2178,499875.6398,582528.9858,500491.4774,867659.9486,1135922.055,1463312.018,1316864,,491546.2148
19081.102,,17387.82988,,13997.05369,26853.0601,55440.57422,43805.72836,25044.49627,15532.66268,,15430.12462,,34245.61521,,31454.73668,42420.14997,16842.97168,42881.38591,54329.83443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102799.0829,,63261.46106,21812.40313,855902.8385,1252592.098,804071.518,127356.2269,921434.3861,830705.0516,,1424480.548,1054712.849,768071.2782,621418.0955,825321.7366,782786.7884,,626707.7407
,,392878.2116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48543.40666,,,,,,,,452297.3728,,395969.7531,,,,480908.4376,,598976,454144.3262,432692.9885,472240.1184,,160608.4163,,,296079.829,,,382270.9196,1234432,1233549.511,949504,1236992,970908.1135,1048120.594,802370.8142,277500.0225,932314.4949,1291842.976,1312736.907,1286144,279218.8356,1289581.259,216270.8341,1333304.187,1180159.611,1290240,,1317376
18235.82302,16341.33822,6912.9944,22380.57701,14775.7058,12547.75434,10314.79395,17680.14602,24894.0611,22257.22199,15223.91708,23882.36368,25346.48591,22327.96061,,15479.40115,20764.51858,24816.43359,16227.71556,23431.72405,92498.97941,175404.0353,78302.09572,68563.18358,125424.0809,101155.4487,210222.485,225752.1178,88580.46084,57464.03239,106529.8085,105476.359,,190639.4496,37343.1925,54560.40663,91247.65419,,97111.31073,208960,12330.48371,18234.35783,10144.99984,11105.86479,45946.41765,21037.64411,24512.07272,25267.99463,16559.81814,14762.32142,12287.82743,15965.30032,21050.055,19350.60695,15203.11252,14440.12671,5713.396578,15744.19688,15262.36482,20956.07689,,607620.2235,,,521011.5891,654771.2101,306846.8492,568436.4133,473137.6078,65628.02062,625192.6328,583504.158,926824.7611,851895.183,214328.5297,848191.2933,,,,1251443.379
8394.669271,,,,,,,,,,,,,8861.825454,,,,,,,1280512,26574.0013,45515.99408,,642953.3234,117240.4155,36912,24831.60452,20565.78783,,,,14601.46391,34195.62488,64269.33511,28881.6796,83436.31317,26254.30018,78233.72978,19930.67275,6512.548496,,,,,8583.120724,6054.015314,,,,8694.407106,,6683.66076,,,,,,9845.140565,7539.385615,,,,,,,,,,,,,,,,,,,,
597441.6928,764531.1967,746647.0373,737466.821,871587.323,575930.0184,794754.4143,902285.4322,1170517.89,565266.7104,878030.3919,663630.2751,857744.5122,930452.2486,158813.7079,954547.2891,1119706.161,648602.7961,415840.6058,1209481.488,571434.8794,291262.6542,1112504.173,733432.8698,573004.2739,687570.2834,730629.8408,462929.4685,437471.1606,486053.8352,638474.3203,557115.737,548184.6545,695701.5629,700658.1679,379719.8382,503992.2058,557501.0452,659584.1516,1280000,703669.6793,688755.81,724698.8812,690974.4894,927878.1111,778985.4646,789613.0205,871202.9398,893260.4231,789420.9385,807218.1253,822473.9524,831107.6662,475834.8078,816576.1016,618445.4981,666777.0818,603737.4798,499324.0432,882654.869,516133.377,796255.1409,483278.401,434644.2095,690880.2471,623429.4066,1014470.785,449891.5574,470311.3449,711424,767705.23,462911.5847,782393.3395,857485.2558,589194.0196,904125.9717,407623.9508,459947.8475,,1072730.135
29632.22913,25202.97132,15544.32486,31236.7641,,19016.67603,22684.29271,46465.77482,21548.23448,30646.827,34709.41828,19155.19909,16401.49987,31719.62342,18185.29027,20952.48458,28939.41479,25981.38008,38491.28531,34888.72786,,,,25624.8115,,28083.88211,71409.18492,,,15157.04623,21418.20037,,46373.97222,21172.86506,19938.09911,26925.33267,30152.7704,,,63631.13779,22281.30753,,24996.25477,9682.54288,65900.69232,20209.23483,16282.78522,15379.6099,,11487.61897,20925.21377,9225.586711,12271.86706,10277.35814,30820.17529,13950.18374,12038.90132,8990.270826,29577.03968,15188.1943,990063.3253,990340.2041,542808.241,788652.239,779488.2741,686805.0288,931927.7326,803160.557,529694.3254,703885.0708,134586.2215,370868.4921,688259.8957,721390.0548,1257730.546,856474.0001,545616.4463,611437.6487,,744554.6684
624787.5561,479567.538,,596510.4862,232596.7864,418895.8128,449312.6134,514771.7891,744803.5011,685694.3874,610631.2275,748480,733802.6219,620018.5517,216347.9401,673425.9,821886.8304,694485.3919,481345.1613,587545.2752,798699.096,825647.6463,936000,1196032,1154376.589,914827.0002,1183506.81,622331.8524,930230.4764,1088028.353,770316.9723,1179418.98,1175999.245,825218.8349,1135104,644398.4603,1221984.178,841755.1636,1091584,885883.1459,,450369.9915,,431163.8072,811410.0661,603030.1678,,455278.5785,,,61457.67047,,673924.3257,239135.9303,535282.0412,476456.1208,,516121.0804,365735.1566,,37850.10667,,,,310674.618,278551.5113,713862.1186,,,,,,,,,,,,,
417453.9883,287285.0304,166336,324205.5355,232582.1767,148401.3392,197565.5305,326756.4411,287549.1704,241160.9701,319686.9819,418828.5712,402536.1848,256975.584,,247462.2674,399244.9332,246316.3122,30350.09956,221450.2449,758260.3337,783703.4716,303092.536,426687.5786,523136,433115.7168,391606.2057,890880,838563.6169,591772.2476,621632,312313.3848,452992,435520,673529.0739,399680,336898.499,382010.5841,564134.9395,537551.1444,190769.6149,107901.8191,225088,141184,197422.7222,,241280,,543280.398,379919.6955,173619.9271,353280,,219027.4045,,,110801.9828,259291.3343,78407.28081,219335.7421,273244.3164,1056048.382,,,775288.0469,72954.66362,158400,583552,1126816.934,1052993.145,398464,597522.101,511428.1309,314606.1088,266829.2626,,,,,735672.1542
356238.7949,309522.3397,237881.4955,407454.3092,186532.373,313574.1707,246663.3643,303887.1628,539096.7569,510922.7587,407365.0012,503006.8832,493292.4185,355601.9297,88092.4511,538294.2543,629462.1674,539040.5014,170185.5468,435595.7788,328458.829,262981.9182,1083927.866,849867.0038,592978.5972,711813.7507,466611.1323,838152.1106,558538.908,486835.5215,837932.2986,652140.4444,761337.1944,386053.19,507583.9946,702762.8914,747628.4026,604974.4766,583385.1991,923749.4538,229081.8838,129747.2265,116659.7822,182582.3625,187427.3982,59177.43781,214388.075,134978.913,295720.1386,29193.17986,273985.2032,329893.6079,445522.1467,229891.412,133182.8973,142031.6544,147392.4486,281226.5303,100994.0362,221046.0693,235896.7677,823668.3148,233010.3205,449386.4255,1004386.058,644796.3486,1024602.257,376934.6109,787252.1297,852676.3203,338810.4435,695115.2794,1213475.844,947769.9103,1083772.002,813411.2585,440760.6505,212214.6464,,301508.7488
240721.0239,233024,231327.3212,232676.6231,309888,154280.6394,149682.8464,159827.4829,241327.9244,251795.0703,235289.6348,315374.0196,209280.9562,181415.3205,28221.98125,250240,243025.0985,216162.6374,161728,174847.2258,641296.7245,,211160.9932,82566.92514,148692.0175,,,,,,,,,,,,,,,,269027.5592,351258.4783,52463.05782,315017.7263,358673.4272,196217.0619,741184,547078.1739,834109.6955,696768,905024,968841.5868,1212928,725522.4438,368878.2944,475532.4156,844480,787257.9869,320104.1771,776768,375897.7603,662271.0734,395712,,464243.4649,480454.6369,,713601.9206,,668118.7776,,,,830013.3935,,,,,,535360
1180904.259,807657.2871,730634.9707,1122796.49,289438.5767,448173.6288,595590.4034,743851.3627,1102802.911,625123.1094,602062.1942,544275.9297,606707.7101,944910.9002,179772.7961,597360.3597,564808.0734,620401.2893,352721.5172,675409.7823,429772.7195,276015.6192,304483.3963,412791.5525,186734.058,134859.8008,276129.1748,393372.0362,317982.5635,773897.4398,774716.3622,670818.1047,701457.9207,500802.1144,391119.321,379568.2542,289753.4614,308480,491456,479295.1313,253314.6914,310643.1132,358095.9379,345680.9779,205504,234664.2743,281092.8249,255778.0148,355030.9919,310305.3108,223614.0731,285357.4545,448938.2145,285302.7366,275454.9812,320352.4512,155383.0841,272313.4721,172056.5611,331117.1955,333312,605351.3599,288375.6238,367586.794,318493.654,299129.5222,417359.8677,644337.735,578975.3081,355881.9734,325219.4226,255745.4275,467759.4267,687025.0869,360646.0358,301022.0238,262490.6473,215449.8646,,577861.7971
,,,,,,16824.86528,,,,,10458.12519,11180.93509,,,,,10184.48339,,,12157.98788,,,,,,19357.20433,17067.42779,19670.66879,13865.20066,26631.69659,,,,,,16474.50867,15870.22101,,,,,,,,,,,,,,,,,,,,,,,437180.99,129579.6491,1123957.563,976512.46,141296.623,1102834.069,931690.4096,692844.261,,555235.5425,,,,101654.5888,981055.6295,,,,,
,,,,,,,,,,,,,,190720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,538944,528704,761161.1488,702551.3672,820672,674212.0153,875584,559920.3354,743222.3481,602464.1209,629696,440896,494464,568987.2247,648407.8101,1113088,755840,770202.2495,,535814.5548
112840.0896,87636.04499,44126.00778,240576,110369.2281,26246.92718,35518.05265,158671.1154,230347.0056,130539.7562,109840.0402,110937.6825,116015.9345,128224.2498,14263.8824,61760.3231,136051.5667,164829.3752,29257.79133,56039.65647,42799.65936,61258.46477,68964.70262,27520.56832,70275.19012,62574.02631,57677.76155,80689.43376,95645.92522,45483.66579,82073.69728,60200.77204,44705.89821,68920.59106,130611.4606,26326.91102,70096.85387,50884.07408,73297.74395,62238.4217,117950.8319,74134.46536,81896.44305,99103.51449,89461.87573,64363.02472,99795.25459,124769.4141,203969.9879,205023.1523,117407.0794,154932.9839,198279.0095,126085.8627,135720.7069,123057.3778,70522.05344,130626.1922,90685.61957,129769.6615,225124.7968,44878.93351,334362.1465,603043.5002,650240,404071.4948,227038.6712,708480,1103649.78,642634.1418,348794.1403,305792,450365.0692,810776.8419,469760.0089,603286.3543,196650.7451,191167.7725,,94108.5334
249947.5314,355556.7157,135366.6813,296381.6528,82446.83235,324962.4245,244636.185,163646.3108,266303.9093,348291.4596,292728.74,42202.08018,292179.634,53385.01181,78476.04036,473049.9127,366583.0029,402568.1514,105227.5395,267025.3092,,,,,,,,,,,216792.0994,,156095.3608,,,43706.3259,,,,,31898.25895,30945.14429,32397.80753,31125.05593,45649.26011,15985.53675,45290.31825,38704.88106,,39780.70493,56619.45743,48037.39087,64417.53602,45542.8412,30691.92984,27662.29963,25655.86642,36209.40482,10780.47087,60274.44435,88542.18786,979016.4426,290043,429873.5055,632325.3379,452206.3721,382453.6037,1034980.381,990355.7586,913375.5078,926261.1773,628589.356,1077269.489,1076571.795,563489.098,284928.7526,473353.9184,305782.9645,,950559.9502
8620.900438,10670.83251,,16664,,13159.77574,9771.477411,,11864.85394,27108.32515,10889.0222,10871.53206,26632.21541,9954.879083,,16929.54952,14353.22523,20042.39889,18716.68279,11191,,63674.77338,,76276.30694,52549.41721,56038.93239,71095.96258,81433.80101,,34453.00211,76441.75889,60371.9251,50854.08447,75285.02031,38707.51282,45702.40676,40613.06727,31046.39896,29841.81825,98598.69132,67145.81334,190986.4097,210401.8107,470208,98787.12395,,134881.2219,318175.6315,282906.3925,495639.8633,788443.8065,582410.2603,1062152.194,212557.2967,,760106.5315,208162.9587,566040.1236,423680,526814.7977,,,,,,16543.2849,,15776.65109,15183.21479,17941.24144,,22132.94394,,,,,,,,18117.51533
,21170.85506,20030.04321,22882.71553,21120.25159,62865.97839,43142.38711,22548.03602,16729.45639,61886.67498,33413.60425,34306.16635,44380.70948,22307.03383,,32603.30645,41646.06238,,43448.24212,46837.49343,,,,101217.3929,,,,,,76022.39729,,,,,,104021.7026,,,54236.03075,,39697.56189,,,16435.20934,,10950.38789,,,24179.18539,24887.35493,,,,,,,,,,19888.84305,389719.0538,286174.3513,801048.7948,1049251.487,467755.9901,410176,,231709.1576,,,,,,259514.4598,,,,,,239087.6402
379700.6942,378261.3763,400175.0449,820216.74,487001.982,558118.548,408142.9345,512120.7122,582329.9205,588096,162844.901,578795.0502,544842.591,422280.9418,139064.6211,599585.2777,509828.9756,554072.0226,319908.8102,476929.9415,99442.14378,236712.3719,282983.5724,417292.7633,418046.2291,431889.3798,301878.1516,357321.0134,397240.6252,333812.8667,331608.0829,428827.53,398846.2832,258475.7434,273343.6066,328818.092,416942.6034,391141.5223,384639.6433,357814.0228,250374.2838,197604.8414,261486.1313,197393.3036,958292.1514,291891.5313,278119.9161,206114.0794,356683.8358,277158.5762,133737.824,275114.7891,353392.8857,170686.1863,273992.8265,253427.1006,75496.28601,220121.4613,192853.9293,255186.9184,,,,,,,,,,,,,,,,,,,,
465526.2845,386960.3401,290909.0118,647536.9379,487724.3266,345005.9277,389593.3708,476881.1906,480546.5123,387072,372140.7715,452911.8396,401014.7817,560640,72185.94633,391750.4432,413358.5434,462881.432,220318.0976,453782.1337,635853.5366,599104,609497.6001,382949.3846,526871.2448,454086.0997,695654.2745,705483.9716,520759.9637,359133.826,712895.5372,591343.1649,436837.421,578369.6685,416245.3036,399224.5235,240276.9686,248028.3517,304866.3752,739328,437317.0485,419209.3679,488863.4798,453348.2381,585902.7121,,621188.26,491797.7975,698062.1795,570443.0516,603012.8026,631782.3682,901478.8003,621748.8724,462454.9695,297666.5839,585150.2537,561419.2141,446913.5631,715254.4946,283776.4278,192684.703,93601.33211,165333.1627,118645.2895,147708.888,95395.35034,193088.4699,141314.8758,225436.204,201843.1167,205675.2138,232442.0486,291003.007,122774.3608,147142.2274,217387.3315,212420.4337,,200337.73
865467.7874,769021.5103,24708.53008,542330.7568,462385.4888,21307.09617,48890.53369,247903.2096,327641.9478,27918.52564,94524.69687,85021.29815,65344.03711,648266.2435,281609.1106,76926.69974,135551.0272,465327.8348,12508.85476,26726.9596,138905.6877,492119.4742,473515.8112,202496,119605.2894,129950.7749,402606.0768,251829.5987,247867.4068,122546.6698,714022.0455,43819.86841,286139.4103,246909.4687,392496.5287,28599.62573,419822.3525,406758.2387,292987.0116,684269.2755,132303.4407,56461.47774,190025.633,148273.247,121602.9891,43357.43991,182502.1327,60393.35887,256242.855,148896.5465,103102.7933,164133.9878,133166.3964,84822.40114,106661.5926,84866.82021,85366.61069,159546.1761,,120264.8302,,,,,,,,,,,,,,,,,,,,
125988.285,134218.9246,275462.1904,221312,134940.346,428487.8579,718931.6685,371060.2716,671538.6491,477757.3847,394044.9968,729320.4248,462598.4247,166429.6131,68715.36715,659301.7011,824329.327,512646.0194,268999.0439,766430.7552,,,125318.1405,38432.96638,,,,,,,,9787.442363,,,,35205.50592,,,,,22499.14747,7658.06304,,,17604.07079,,13224.59044,10963.26434,12860.78471,19142.1535,24066.72796,30591.78904,38085.63813,17942.2202,,18529.4254,,65700.32292,6096.582485,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,353960.4927,409661.7366,,,362948.056,253616.8295,618111.3734,504320,509040.7479,263402.3573,267827.1155,270122.8391,268032,385196.5946,821939.6372,,,,,316739.0012
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,504310.533,241051.7351,631290.7549,557614.5696,531073.1649,510376.9766,582216.3338,391270.2536,303538.2357,304915.9059,371756.5978,290202.862,316462.0036,423067.5451,436563.3572,802110.7305,566656.6525,523965.81,420730.0479,494336.6894
45069.50227,22612.1398,38330.46397,9862.978219,14082.21917,31081.97251,12317.52009,,44986.44158,105245.6878,30549.07265,47766.18759,66666.52294,22920.42605,,30737.1372,71533.39351,25977.9102,47983.44819,23872.39873,,8238.798306,19271.80355,18501.41708,,26921.13894,6687.527907,,24990.94881,14732.93645,13542.36045,32450.47138,47986.01171,,14451.05238,97326.8267,27514.80623,,39159.86818,29497.07323,552958.1324,556571.8165,328629.8101,542340.9802,272722.7967,391232,559365.4847,675894.784,614922.262,577010.0569,800672.9035,561768.666,682473.4594,626155.4099,497277.4937,609061.7645,114720.313,769024,434734.8661,309941.4586,,,,,,,,,,,,,,,,,,,,
91835.57597,47208.98783,19954.0274,86616.37666,33770.48464,25447.30869,23816.3787,70991.3698,107204.5457,23613.67875,44437.66957,81693.00677,55248.22619,75129.18681,6653.81514,64286.92359,58968.28985,98506.49886,52492.99107,33930.76585,35812.59538,38361.66515,34355.00996,60157.47513,76042.61005,49222.95976,24445.01545,51920.47208,65210.00204,55226.9806,75550.73731,54250.77701,33810.89959,31430.07402,49932.87827,39871.60972,112479.7838,88420.57741,94188.26755,23053.49793,29142.19472,,32325.84602,23990.65809,24229.69991,,32232.96313,37921.40711,97517.9661,35248,43141.3109,75132.42538,38679.06508,44165.70011,25203.17951,31306.23122,15008.21462,52730.65623,23035.28753,34470.85023,81550.22264,435156.3765,,335781.8632,595401.3773,491236.9674,159342.4337,619158.6346,756043.4997,446652.9422,193984.4557,242989.012,309021.2611,670025.3039,265504.8247,302434.3827,,74255.97914,,434382.8711
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,335114.7783,186757.7302,509763.6644,487132.9755,383292.5708,468321.3324,520457.6605,269505.1054,216896,214198.4916,268807.083,211974.4867,199215.1206,296523.2225,166624.7477,744330.2795,545727.5709,508098.9688,509345.5396,311645.9244
321391.0763,327517.6663,446834.0916,638118.1378,145839.143,141055.1385,198000.0891,310591.6503,726903.6848,341538.1716,382668.2756,483841.9224,391448.0855,104128.6613,254022.7188,454769.9285,420593.3425,393844.361,401880.4897,162085.3608,92172.5428,142618.272,97220.88253,169585.4344,88263.818,94404.90825,118495.844,155711.4042,155545.3192,167781.1328,323584,162279.7847,191186.1944,131196.4744,129553.1084,46815.41448,95628.09515,100019.5417,107843.3486,173423.7409,23318.81858,12349.44739,71053.96791,47413.79146,106738.3341,81529.45133,78177.86595,26393.38153,86395.56845,67190.62232,38617.42115,79353.60609,101236.2282,55970.78165,59377.61295,110410.4233,36193.41235,38593.45575,156100.79,101587.5021,,,,,,,,,,,,,,,,,,,,
232044.8758,76718.69431,65048.95248,209099.5626,137857.7072,27169.29134,52301.85835,190876.4857,263638.3851,143660.3508,117164.0338,144441.3393,127612.1728,152711.7789,16967.43857,81411.5838,192759.323,267803.0801,17972.16747,42525.82172,44247.18811,63232.30019,49463.00045,102312.0579,83688.77655,111035.2096,59986.31321,85360,95709.16217,90839.92142,92093.4675,82238.21138,,78363.2963,82812.64464,48440.17114,93230.06807,,107043.389,76466.55874,122835.6961,53474.28553,86853.02018,97153.87255,101908.9903,72764.65551,98919.09197,90503.26526,153584.159,182426.7413,100176.7769,153883.7183,167568.9484,104088.588,135455.8395,134562.8061,70401.79072,134786.549,79757.23391,135560.3945,,389145.6826,,,575900.0267,317231.3492,176631.8663,453491.58,725792.9012,518440.0781,179319.1485,329192.0048,174781.7931,544557.0435,379706.6177,466137.7633,,,,432537.2743
192878.5248,149398.0332,177410.2669,172439.021,190160.5161,187058.2806,250556.0953,303330.0186,285311.3601,213599.2522,139358.3901,167564.1187,214457.7186,337678.5573,,205020.5066,297728.8221,189928.7283,204964.9096,309123.4502,,269538.5518,476716.6868,349747.4632,70456.82718,124424.537,199701.0506,226855.2931,121241.7297,285711.8413,280452.0373,221257.6551,294602.5045,44947.31561,195541.1164,724159.0278,290573.1177,200319.5282,314821.2022,672429.3902,235480.1368,322500.5984,77948.91396,193096.5913,196233.6,151509.4554,164785.5061,302811.9054,292308.2603,239822.0915,183380.8212,178933.098,310916.4129,205586.8261,239072.3592,262624.4164,47511.71207,242624.8508,170488.2827,190562.5123,,,,,,,,,,,,,,,,,,,,
