Brain1,Brain2,Brain3,Heart1,Heart2,Heart3,Liver1,Liver2,Liver3,Muscle1,Muscle2,Muscle3,Plasma11,Plasma12,Plasma13
1318599,1214409,1648790,1321853,1314312,1181438,1152707,1447607,1491000,903733,1013681,1087676,1285772,266954,1302846
1495220,1448462,1635628,1694770,1649997,1605845,1380226,1541323,1547731,1279626,1460993,1485344,1553186,306100,1546359
2583266,2849389,2848789,2909954,2975501,2668488,2249544,2673562,2930825,2474524,2623416,2551250,2826846,586283,2653009
3910105,3785332,4325405,4603342,4800680,4373823,1725330,2319485,2435122,3445323,4118554,4140756,3536124,709185,3719433
4372838,4306632,5054372,852360,737536,498821,644324,588587,735290,678554,627789,609605,996561,89367,825914
593620,594475,838582,1147654,1230827,1133740,375741,463656,370891,883255,1013333,1089487,733607,48432,881550
36224821,34078802,40698107,31002782,34144714,29489937,28514615,35932222,33517650,23734710,27543331,27045347,38784906,6626745,36770402
96447841,91015049,100233319,62702101,59579156,51646584,69194623,77307526,78887298,49897797,54945011,56634340,59205706,9694613,57363229
15847585,14984596,16188610,13580258,11999402,11253014,14871938,17031312,16720118,10558922,11613728,11344582,10813618,1664995,10866178
33032728,34488896,39564854,23982376,25850137,20979125,21744266,23933991,22890597,14307631,15766696,14591135,16551116,2583782,13926523
23598301,24830150,26719520,20085945,21439572,17950853,17359484,20071686,21293436,12991786,14568512,15253726,22354289,3419982,23566025
13104741,13401133,17788984,6139730,6881488,9538780,11625920,11121122,12037434,6981242,9055759,10057326,18393925,5132740,17094211
170998,178697,194048,100012,125524,176500,143810,152893,143840,61294,82563,65617,163315,17691,170882
21880454,23514002,32170942,5344112,6760604,10455476,14999457,15235155,17113029,7210020,8245611,11235118,38576996,10952174,37598144
36901996,36324352,45384113,20576620,25129503,30895552,23830237,29006887,31010281,11057850,13000308,16849633,41388295,10745009,37593888
23977601,25506969,27986478,10968914,14247641,18419423,15225432,16654296,18151113,6858524,7877801,10196566,24885593,6592651,25461190
97384,60758,45301,189839,122000,66447,207108,177275,203438,61577,42535,32923,2823896,101995,694166
126790,90567,137455,13986,16311,11872,46144,33233,15500,14783,25753,11568,0,0,0
0,0,0,22234,25522,28670,553396,502074,532987,0,0,0,8465,0,6651
0,0,0,42096,57459,45372,566224,502573,590050,13393,16871,26152,99821,23369,95648
172370,200101,192767,166896,196846,172855,260216,303945,287140,45261,56943,47003,125262,0,108209
