Brain1,Brain2,Brain3,Heart1,Heart2,Heart3,Liver1,Liver2,Liver3,Muscle1,Muscle2,Muscle3,Plasma11,Plasma12,Plasma13
128725,142191,141619,117697,121773,112242,195181,204109,193068,80965,69391,82979,92833,53912,89993
9752,15217,21194,12788,14855,6543,51248,60046,60626,2911,13893,7495,12846,6548,7888
153390,148801,162386,145091,125845,125250,254579,280110,268250,89997,97252,98719,90944,85869,92923
152629,156392,172372,157060,156892,144893,277150,328026,289347,97493,92013,78607,106645,69539,98920
113519,104018,114986,103787,95281,90594,176421,212397,196190,54317,66444,63275,50350,46381,62917
63514,51822,57362,42231,47492,33457,106432,130363,118938,22828,19511,18388,18975,18769,23439
193237,158739,149377,86950,66360,70456,628728,849213,677145,0,3100,0,0,0,0
44781,36761,33856,4066,8726,4391,111536,114866,100301,0,0,0,0,0,0
66054,44404,60022,53363,67349,60356,89327,118674,99930,22833,20603,30913,45746,12016,45403
263756,257252,248773,159477,148685,152803,482042,533300,487819,0,2388,0,19200,5891,10419
3540,2889,9263,3722,1218,4434,41608,53132,32250,0,0,0,0,2725,5651
58358,41321,59831,48413,56461,33227,137660,141447,140036,9279,13707,9418,28618,2259,31099
153617,152722,171859,140128,168905,148857,252737,272648,272231,95027,96821,85505,97632,57898,105660
152211,141681,134041,83325,101821,93206,154719,153337,145561,0,0,0,3718,0,7645
49600,45683,60362,36144,29665,37291,146992,171389,159430,8217,4862,15585,14879,1871,22353
25526,13894,18008,10970,16661,8479,35520,69963,50859,2972,3403,0,2228,0,6743
6452,7641,3838,4089,7548,5380,71166,81566,69886,5295,5305,3159,235,3047,6028
11861,14741,16975,12067,13790,12066,12150,11770,21879,15428,18313,18065,111862,17491,123093
80829,75371,62469,46620,46515,62216,52731,50170,65416,0,0,0,2275,0,3401
9538,9208,3320,7907,5553,13548,36122,64102,44721,0,3396,0,3259,0,1693
0,0,0,0,0,0,0,0,0,161480,165836,174101,0,0,0
70022,52927,73334,203848,236241,238408,40154,58743,57181,2233,5782,7298,12205,7650,18335
34285,27930,46571,21536,34803,21187,97698,144128,106823,10970,18760,7283,21811,5964,8974
0,0,0,0,0,0,0,0,0,0,0,0,0,0,53618
0,0,2137,11184,12693,15632,226786,272095,234051,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,12948,60313,11280
5997,2872,1603,12019,1258,120433,1281,40657,11830,9837,9442,1251,15633,14842,9618
0,0,0,293,0,0,594,0,0,0,0,0,0,0,0
0,0,2278,0,0,0,128713,169920,175903,0,0,0,0,0,0
0,0,0,24793,22638,25106,234019,295060,291318,0,0,0,0,0,0
0,0,0,3479,0,2851,0,2802,3994,0,0,0,11045,2372,5154
0,0,0,0,0,2653,122939,153084,140493,0,2263,0,3478,0,0
33997,25109,25872,37423,49780,47437,88212,84193,79324,26842,27080,22192,29555,18133,33593
18681,24618,26385,71683,71178,60730,89206,86064,97433,11601,16293,24476,45386,19303,38602
8254,9672,12128,40751,47648,38977,115039,105270,130554,10294,6501,7990,27929,12544,24953
32280,28201,32843,70673,68176,71469,94561,82227,90852,22139,26052,21605,42311,24417,50095
4485,0,2136,29604,48312,39682,90799,95292,106310,7667,0,6473,17042,0,24153
643,3685,5540,12899,14311,9856,36407,52937,53098,4892,4112,6530,1829,2607,3939
18751,18533,13751,44619,58831,49055,78890,91323,81781,23674,15763,22150,28671,9811,52207
26090,23159,26196,55504,54297,54888,121487,108905,109387,19397,22463,25092,43759,17529,37176
25981,24351,20169,45739,48867,44328,94367,89656,104709,22724,13231,13586,25586,12668,31009
0,0,0,50643,53832,47900,140854,145177,157428,0,0,0,10060,0,7155
9972,15117,13496,39054,45752,44347,76496,67099,78370,5801,4602,12005,43006,5092,38510
1815,6781,6942,43039,24200,38344,61835,49786,66369,3351,3725,5097,17359,6029,20053
903,4210,1906,13136,19869,14006,161004,176036,187217,0,307,0,5983,0,6054
53544,44770,43355,85797,99134,101503,132962,134286,128895,32878,47477,46855,66888,51823,71562
3325,6382,0,63654,74263,57421,68542,69151,74210,0,0,0,50046,8091,50542
68630,72338,70616,144819,148917,133311,242002,216937,232759,65790,54114,51725,115767,68871,118690
11395,18124,12328,38408,32781,43079,60809,69235,70089,11351,10070,8563,22499,12702,29726
2509,5495,2964,105559,94040,103564,86721,85391,100127,0,0,0,57570,23576,68999
8179,7228,10560,219246,211745,194375,413334,478293,525660,0,0,1825,119098,40066,105071
14053,18625,21372,36866,40392,43755,81584,68108,81858,16776,14016,11512,32423,17158,30101
0,4199,0,21846,22556,15931,59261,69619,65798,425,2136,320,6562,4055,5915
24194,11628,21165,165252,158818,160061,219663,215384,243806,3715,0,2755,106210,46036,112626
139243,131588,136471,228803,243024,248838,413024,397372,408493,131905,127406,132766,182994,134946,187684
301,0,0,12190,12818,13326,64045,77330,75756,0,0,0,8582,0,8014
43426,47134,49905,117394,130838,133072,199749,189700,204623,45227,48796,34926,95799,44981,95051
6586,6381,7956,27701,33644,18369,25100,35515,34514,2147,0,1015,19194,5260,30826
12530,9649,7102,31782,31226,18955,120184,128293,133600,5545,4224,12347,20721,2811,19063
105233,101190,106413,218317,213464,209282,336539,314712,311384,92835,80164,92553,164348,104935,173532
7790,8715,8043,42159,54505,35764,129348,129558,120200,9634,8714,5759,28137,11359,28885
23192,36717,31290,51098,72343,67881,98853,81295,92329,26073,36980,30137,58927,18090,46664
75906,67531,62625,192282,227391,191807,348889,355057,387232,64723,64894,59446,137178,66662,123882
0,0,1239,16664,23508,19799,53697,51397,70457,0,0,0,6667,0,9050
16183,18910,13382,40260,42846,27853,78105,78087,80286,15545,10894,18080,30056,18341,27420
5088,9894,9047,64138,76527,63178,172729,169084,185593,12027,397,11561,25617,9846,36810
0,0,0,22997,15849,9195,68810,75043,84789,0,0,0,4549,0,0
4044,0,8554,36566,50094,33348,99039,88115,84752,0,2865,0,8893,0,20140
0,0,2064,4194,10347,3544,83861,88045,92020,0,0,0,0,0,0
30913,27395,36544,49977,53561,54639,98782,103204,106302,20540,20801,18348,45587,24446,51981
12457,13051,12375,47358,56955,66339,126108,120160,143253,11435,9200,20701,32746,13106,28994
13906,19277,13212,53643,45209,63878,95360,90467,87153,21456,9636,11288,36589,14969,41590
7641,6301,5782,28528,17549,33292,61391,54609,64232,281,2776,0,7398,7099,10765
13999,10143,10555,13036,16020,32967,55886,55539,64862,3237,3752,0,12962,9309,14907
3153,0,2629,14922,18024,19241,30711,25405,29487,4984,0,0,14763,5902,15598
13401,12676,13741,37806,44916,38272,54566,58390,64654,8660,15258,14504,31112,15850,28909
0,0,0,2471,0,0,98601,123567,123770,0,0,0,3023,0,2351
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,9250,0,0,3273,0,292138,276365,290459,0,0,2316,8773,0,3023
0,0,0,0,2437,215415,0,0,280,0,0,0,2286,0,0
98327,88067,103219,96043,105593,121177,294245,321316,321107,107095,94225,86492,99660,91547,89325
0,0,0,0,0,0,0,0,0,0,0,0,0,0,4133
0,0,0,0,4927,7024,84502,96999,90322,0,0,0,0,0,0
0,2094,4329,971,0,2173,0,2768,5295,0,0,0,2471,0,3194
0,0,2769,0,0,0,2752,20232,4417,0,0,0,2063,0,10048
0,0,0,0,0,0,0,0,0,322967,341393,374045,0,0,0
0,0,0,0,0,0,3007,0,0,0,0,0,0,2907,0
0,0,0,0,0,0,3299,0,0,0,0,0,0,3133,0
0,0,0,0,0,0,4451,0,0,0,3081,0,0,5059,0
0,0,0,0,0,0,0,0,0,0,0,0,0,9523,0
0,0,0,0,0,0,0,0,0,115012,136500,135194,0,0,0
0,0,0,0,0,0,0,0,0,63086,51801,46406,0,0,0
13783,16385,25911,198067,214849,205948,120828,167578,142818,16563,13696,3951,46859,18899,37544
13952,0,26710,0,388,0,0,0,0,0,0,0,9582,0,0
0,0,0,0,0,0,0,0,0,0,0,0,40439,3038,54789
139959,142012,177934,18680,16885,6650,0,2925,0,0,0,0,0,0,0
0,0,0,0,3919,0,88313,108562,109847,0,4162,0,10940,2502,14257
0,0,0,0,0,0,0,0,0,68820,89898,69033,0,0,0
0,0,2741,0,0,0,44901,54139,56992,0,0,0,0,0,0
15149,11138,9276,8873,0,7373,15115,11474,10111,53897,52270,43801,4911,4537,6601
0,0,0,25483,24310,22986,587636,698784,714323,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,3131,0
0,0,0,0,0,0,0,0,0,0,0,0,14810,0,11935
62231,66027,81628,0,0,0,127518,192069,165863,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,2822,0,0,0,0
22073,26810,26034,30263,27729,23416,104756,128175,108204,18969,17934,20159,13362,12473,15982
0,366,0,3034,5193,3499,105304,108451,119099,2268,3717,0,351,364,0
1230,360,7138,4876,7549,9849,104719,138115,113509,9098,0,3506,977,3292,4486
0,0,0,0,0,0,112302,202952,125782,0,0,0,0,0,0
0,0,0,0,0,0,55595,69828,73461,0,0,0,0,0,0
12062,6457,14139,13203,14667,10728,65945,94148,95582,21456,7174,6208,13541,4901,9404
73984,76052,67063,83883,78146,69865,212936,277346,249604,59086,58973,56240,47399,56451,35710
0,0,430,3272,2567,5000,157930,218033,205077,0,0,0,0,0,0
0,0,0,11295,13273,13175,115928,132668,132293,0,0,0,0,0,0
2370,0,2089,19590,17863,20127,240897,313084,235666,2430,0,0,0,0,0
0,0,0,5661,4727,3414,50023,45034,43309,0,0,0,0,0,0
0,3059,0,13267,3510,11073,80755,88031,66597,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,3105,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,20907,2599,3705
0,540,0,36752,14734,40546,710543,970115,961517,0,0,0,0,0,0
154982,143030,169008,142750,179065,163615,373776,475712,471021,0,2451,0,0,0,0
0,0,0,0,0,0,0,0,0,33064,45610,57845,0,0,0
0,0,0,0,0,0,0,0,0,106806,93187,114664,0,0,0
0,1669,1994,3964,0,2264,0,0,0,0,3053,0,2533,0,0
0,0,7451,616,630,0,3167,1240,522,647,0,0,12008,0,8982
2611,0,0,10551,0,3069,3029,24300,0,23765,0,2640,13588,26501110,363912
9112,2474,9384,9828,12091,2502,6440,7088,6209,445,0,0,7137,0,15300
2423,0,2802,4054,5467,49536,0,38053,0,141857,2955,0,311,430,4945
0,0,0,32930,46823,65279,0,0,0,0,0,0,0,0,0
0,0,0,84152,48320,62834,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,2896,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,4309,0,0,0,2981,0,0,0,0
0,0,0,0,0,0,54025,74899,80007,0,0,0,6164,0,0
75752,70597,89169,123927,116559,86225,76574,96227,94734,104993,92208,85148,24942,8079,16401
8375,3341,10007,147852,146472,135994,275508,351074,356954,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2918,3534,3955,1918,0,10100,12508,4748,0,3559,4124,10752,0,6802
25782,23505,24719,33761,25773,28528,42113,52352,48489,22067,15348,20900,33206,21254,30530
0,0,0,0,0,0,0,0,4679,0,0,0,0,0,0
10583,11560,6548,21102,19950,21836,52256,38140,46658,8236,4810,3027,25137,0,26071
23635,23321,36886,52654,49191,31076,112214,115269,113610,4305,7485,15049,74077,7955,62444
53721,49567,53511,47384,59963,66615,110614,124109,123930,19791,31010,23992,88171,24825,80778
9063,10110,11392,37472,31524,28435,146751,165330,183029,477,4769,7235,81263,2957,71309
10476,8058,25489,10866,23215,25259,32369,35807,36695,19119,16372,17503,46622,16707,26544
52314,51627,77229,70047,78086,79857,139442,129718,125389,42638,25930,43516,91892,37200,87069
7093,6803,2913,36552,33870,30731,52370,36526,55254,2700,3438,0,50838,376,52545
10136,9203,8638,11080,19165,17097,45338,37483,37731,8482,3886,0,27349,7389,18514
40869,40204,33999,65317,47547,50362,96842,93204,100937,18377,24191,16674,72299,30944,63368
38448,47365,39236,44217,32006,35135,79966,89495,75666,31691,28882,22551,64690,28385,46183
34590,43419,46422,51213,63397,61632,76394,102710,98133,38958,11813,18800,73424,16462,79806
3459,11651,5571,5528,5682,9226,13593,16227,19768,0,0,0,6974,3120,8962
9985,11427,18803,19632,32218,15634,55357,57239,51812,9932,7666,14475,32468,10650,34665
31815,35588,54863,67140,51943,61443,112184,132670,120705,29097,31884,27673,81754,33719,86136
5883,8933,4207,8495,6739,3719,16459,18270,71861,43178,0,7053,21701,10033,16024
365155,358566,416171,46978,41362,40172,26848,29751,29114,6834,16820,5069,32606,12122,17624
47358,41987,57574,14759,11851,12571,156518,209713,194151,0,0,0,0,0,0
2680,8545,3892,13287,7779,6442,27633,39814,55047,4570,3634,0,19378,5650,35371
0,0,0,0,0,0,3930,0,0,3946,0,0,14091,0,17609
9696,9142,17870,17712,5303,18025,31335,22442,17194,8850,8475,7557,12756,6988,20227
4687,3627,22052,17573,11534,7775,18651,14667,40036,6968,0,10006,23645,4980,7916
6112,2970,4553,0,8706,7413,7834,14023,22481,717,5092,6839,32132,5728,19896
0,3199,0,0,0,0,0,5562,0,0,0,0,71412,0,52526
2827,2580,3642,15686,10134,3391,35626,37772,55840,0,2902,2857,15570,0,15481
0,0,0,0,0,0,0,0,0,0,0,0,19215,16379,38194
0,0,0,0,0,0,0,0,0,53659,40560,35625,0,0,0
3374,7658,10191,17694,13219,8620,19679,34971,56142,1533,0,377,11547,0,13455
195649,220350,238097,52086,77094,67739,131773,167888,163136,2908,7379,2055,7088,3235,10104
10259,23998,31908,0,0,8535,37559,65395,55385,0,0,0,0,0,0
18256,14065,14547,3528,0,3918,45341,71710,63031,0,0,0,0,0,0
17433,20357,22282,0,0,0,71445,87329,87654,0,0,0,0,0,0
0,12261,5524,0,0,0,40196,54237,60186,0,0,0,0,0,0
32551,25062,33157,4274,13006,3599,141397,166831,174160,0,0,0,0,0,0
9224,9345,9301,3080,4354,8284,54156,78546,60533,0,0,0,0,3279,0
8307,22243,23045,566,9574,5541,330476,478744,480890,1447,3551,3029,6247,10467,5289
21548,20192,21999,25441,28586,28279,42372,43576,47863,1567,0,5953,11757,10203,39363
25721,34284,30216,35067,32436,47770,49966,56049,38357,12501,11406,17879,33969,14537,44703
6122,0,7524,19879,15685,29666,41546,67947,64019,0,0,0,6870,0,19808
0,0,4182,0,0,0,0,15210,5152,0,0,0,14072,0,8899
17321,10151,5429,10909,19196,0,12669,43407,27183,4269,6345,9473,18066,0,37654
10622,9906,14238,35632,15022,12276,35518,43014,43096,0,0,0,11465,0,11586
92555,83084,85226,108410,120706,119602,149041,161110,179886,33900,52828,36989,88978,43946,93436
16606,18896,15251,24489,38962,33740,57095,78676,41762,12290,832,3976,16084,25530,17386
67699,344980,35449,39455,329719,47713,865403,500417,414019,64108,55496,110859,400096,89612,341662
0,0,4500,0,0,0,6798,525,0,213643,256993,270676,0,0,0
0,0,0,0,0,0,50344,88437,76986,0,0,0,8715,0,0
0,0,0,0,0,0,23615,23120,12115,0,0,0,4255,0,0
43046,41868,38399,57671,46374,46170,76550,107385,62189,20794,19915,24548,40436,27744,55322
0,0,0,0,0,0,0,0,0,27819,28039,58528,0,0,0
7644,6359,14525,26923,20503,21675,18123,24982,11338,7901,6528,14502,50889,12562,54387
0,0,0,0,0,0,51932,87874,93784,0,0,0,0,0,0
3533,0,0,0,0,0,0,2814,0,2786319,3022630,3169478,0,0,0
0,4578,0,0,4161,0,8903,3416,0,1027728,1106983,1210668,7368,0,0
4406,15863,14289,24160,27761,32883,66467,71347,69820,0,0,0,21958,0,0
0,0,517,497,0,0,9229,5405,0,1328836,1417914,1544397,5548,4875,1970
21977,9212,13188,29081,46276,32956,52984,55726,54921,6421,3301,8181,22271,17138,18671
33474,27229,39115,38098,40307,48132,74575,80979,70130,30658,23519,27490,48788,29457,28812
21786,19473,14426,27492,36886,23464,32941,41968,24948,6262,14051,1597,32065,5965,37298
120877,130428,122541,147166,142047,140754,178434,230150,195289,47286,80125,63811,125941,74826,139238
0,0,0,0,0,0,0,0,0,72606,83279,98286,0,0,0
49647,42603,50331,59926,78114,71776,108994,126449,114879,16012,8547,14799,48742,18282,57829
9216,6340,14103,35670,37722,19542,73271,58755,62983,0,0,0,8519,6264,13012
71600,62630,79370,114698,121625,110371,184784,195120,210057,7979,7013,18542,91552,22011,96220
73679,88214,79201,109847,130146,108896,171683,207340,187873,22976,25308,36216,103481,35943,97187
8962,12879,12549,44613,52401,50569,183693,231339,197652,0,2652,0,26342,0,34580
54242,86536,50208,84213,83865,67914,117609,113056,120226,15942,19499,16469,54763,21484,71423
32468,31782,41569,33625,63268,62746,120930,133834,123695,24308,9796,9409,41226,7788,56989
59272,70862,64026,65921,93657,76484,130007,124889,115958,33585,34459,35264,78133,33493,92742
46214,41030,37306,60175,55666,59842,85839,97401,94981,9765,16365,13759,49777,5525,45495
31560,38416,25026,66001,63381,62005,96790,127716,109410,13083,12628,7211,47221,15916,45876
23091,23048,20560,48388,52753,41806,129245,128833,140253,8389,4837,5341,25173,3280,28344
45716,80647,66164,72923,72917,72772,69444,105698,73310,11318,36904,12170,73527,36968,34749
201204,193933,206230,248651,232339,221242,309737,348067,329549,143953,107190,115539,218774,130908,225742
148019,150226,172545,202340,200627,208799,293410,329312,310110,72231,80838,69432,190267,79341,170563
181294,167610,190641,227208,250061,236134,354528,373332,355228,72044,87349,82302,223683,112563,205826
4652,15845,5638,23472,16801,18945,31856,28984,39504,13516,6275,4682,22515,11860,18321
25573,20273,32558,30715,54865,34250,79363,70532,47630,4093,3924,3934,26153,1441,29698
30174,30308,43658,74755,69586,67746,129174,148753,152052,12250,19729,10046,40291,13242,48812
52768,49503,53872,76810,99945,82695,147338,163877,181186,8697,4152,7339,73946,15950,68294
33598,25155,26521,48293,39575,31246,58006,68199,90861,4881,12512,8596,38102,4332,35617
129616,132358,143920,160115,153934,162936,245921,214158,221379,60234,74709,82713,135943,91239,142028
10349,3539,0,23999,14598,21569,73085,49244,73435,5345,0,4634,10432,3774,10803
38121,37119,30207,62044,79903,66507,122275,104186,135089,10027,11683,12984,66687,22471,39873
52145,59287,58688,84404,52097,71079,89117,109503,99654,25921,21007,26345,53754,23160,54490
82953,92065,89048,112019,137431,109810,163117,163996,185279,31655,45431,58546,77102,32240,104891
33237,32335,32145,64946,67276,70827,151819,185412,160028,0,0,0,52630,10017,46007
26930,16893,24083,37249,52147,28414,74848,73343,66605,9168,28538,11862,34999,9487,27110
31421,54662,34618,45025,70316,39347,81552,75867,71253,14741,19792,22067,35116,28312,36459
54420,64746,47230,78387,63032,81969,121868,157174,140642,29545,24599,24387,53191,24827,65895
76948,62936,67274,125371,121208,113780,183939,187960,183574,0,0,1054,93507,35870,109509
32346,32828,38718,43034,57513,61323,83841,86554,87226,7806,21168,16965,35458,17072,38843
46823,42785,26970,39229,62506,57388,66554,85409,79509,12004,21341,19771,29868,33191,47000
74040,77192,85985,99444,101629,98438,136031,127884,134311,36873,25330,32634,90937,42045,82580
77165,56965,57691,66568,90278,84451,123237,123411,136921,18930,17680,23661,70079,28257,64396
16195,23423,24365,35126,28909,33796,54136,74765,69031,7534,15069,14404,35767,13455,24329
18178,8218,11589,3715,4038,8768,38066,64420,60549,0,0,0,0,0,0
11587,14606,5416,201402,3971,31436,2650,4377,0,20040,3929,1316,11706,602,12827
0,0,0,0,0,0,0,0,0,0,0,0,0,0,3884
3022,4518,0,7269,6478,9932,16540,11400,5559,6922,0,8142,28923,0,41648
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,6082,60183,4515
13789,21923,12328,34192,37349,36175,74808,52850,72347,24323,12963,15116,38486,20521,34815
28674,39766,6989,38632,29304,28905,84638,80792,77026,17619,12445,3605,36272,10994,41740
170100,162176,191326,36217,77905,72049,161790,170648,191080,118706,135357,120528,217103,45395,230174
0,529,568,12904,19753,11415,27341,1955,13708,0,0,0,12614,745,15729
68587,79460,54489,148516,168321,131303,354528,279756,279774,38489,55432,54710,92766,45505,101452
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,6027,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,3820,77233,9039,73356
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,5124,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,5419,0,4695
0,0,0,0,0,0,3364,0,0,0,0,479,0,0,0
0,0,0,0,0,0,11253,0,0,0,5913,15734,88105,8847,110334
0,0,0,0,0,0,4733,0,0,0,0,0,0,3107,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,3137
0,0,0,0,0,0,0,0,0,0,0,0,8469,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,9197,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,7211,0,5123
0,0,0,0,0,0,0,0,0,0,0,0,0,0,3965
0,0,0,0,0,0,0,0,0,0,0,0,0,0,3965
0,0,0,0,0,0,0,0,0,0,0,0,8901,0,4089
0,0,0,0,4682,0,0,0,0,0,0,0,14652,0,0
0,0,0,0,0,0,0,0,0,0,0,0,6578,7677,18031
0,0,0,0,0,0,0,0,0,0,0,0,8586,0,6772
0,0,0,0,0,0,449,4053,4896,0,4092,0,27013,0,24726
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,3909,0,0,0,0,0,0,5679,8970,14937
0,0,0,0,0,0,0,0,0,0,0,0,17109,0,0
50157,82303,63613,56257,69683,53590,150554,170153,143162,10947,4806,9720,6001,0,3561
0,0,0,0,0,0,0,0,0,0,0,0,12216,0,4053
0,0,0,0,5308,7866,39405,0,0,7290,11949,15246,74888,3454,181434
0,0,0,0,0,0,0,0,0,3688,3772,0,47800,5279,37118
0,0,0,0,0,0,0,0,0,0,0,0,9216,0,5578
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,14234,0,6818
0,0,0,0,0,0,0,0,0,0,0,0,2777,0,3137
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,8466,3663,10453
0,0,0,0,3281,0,0,0,0,177709,168920,128014,474,0,784
288145,302320,349564,1397080,1455898,1348171,960231,1080232,1110435,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,43906,75264,67463,0,0,0
5392,0,0,0,0,2819,3342,0,0,0,0,0,0,0,0
14820,23451,15684,16162,30181,20579,22339,10583,15558,8389,24305,28041,19109,10689,16024
0,571,0,2488,3877,3808,3921,0,3710,8740,0,0,0,0,7624
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44463,37883,15362,26609,32740,40821,20711,40286,27965,28861,21641,55716,50148,32842,31331
0,0,0,0,0,0,0,0,4188,0,0,0,8543,5473,0
0,400,0,0,0,488,0,0,0,0,0,0,4386,4145,7406
6280,0,0,511,0,4332,6582,5336,0,4713,5504,0,0,3017,0
39894,30955,44919,22319,33774,44555,23325,33894,29969,36174,47998,36943,38776,38519,41886
0,0,434,6007,4202,4213,4703,0,0,456,3904,4647,0,0,0
112338,127142,97667,104444,114421,115922,119024,125466,128262,111977,124872,93983,108457,108128,107106
15376676,16035888,14951278,15754489,15476061,15264157,15721436,16108740,14769771,15232224,14471860,15464603,15819259,15467275,16257141
125636,150042,128201,130695,139416,125606,141009,130744,113592,140176,137293,128162,136394,128717,161926
43354,52933,44645,40094,48116,29157,47892,42934,39497,45382,47047,36508,70096,48851,65823
234598,265896,240075,231906,231161,260030,289804,249400,244552,248730,220949,231180,245858,239752,263483
273946,282010,268237,229874,266207,308676,279462,312875,248208,242564,276672,238826,268169,261477,298961
244911,266116,244680,202378,221857,257017,257366,260637,244265,188068,242153,201517,249470,234847,254497
72289,68988,45198,58485,69710,68725,61904,67531,58744,63653,43546,66693,107792,58425,78882
86618,87263,81153,76869,79753,69487,101830,72855,81933,63252,86528,61666,84549,75032,70232
0,0,0,0,0,0,0,0,0,40703,60491,65874,0,0,0
0,0,0,0,0,0,0,0,4281,0,0,0,64408,0,131924
89714,70615,77331,76842,78341,73756,93680,94618,75026,93179,96334,68977,93951,88590,115676
0,0,0,0,0,0,0,0,0,116966,95015,147147,0,0,0
19600,17240,31193,24203,13028,6231,11351,30377,19635,30668,19403,20842,29921,34899,35589
0,7032,0,153016,0,0,0,0,0,0,10371,0,7112,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2530,0,6294,6154,0,0,6804,6180,4610,15047,17342,0,0,4775
18350,0,0,0,0,0,0,0,0,0,0,0,0,19532,0
0,3222,4006,0,4674,0,0,0,485,46798,69315,67552,6585,0,5968
18781,26097,8306,14451,27772,42612,17822,28056,23138,259195,229745,258454,60075,32843,68167
0,0,0,0,0,0,42949,0,0,0,6536,0,0,12765,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,5487,0,0,0,9486,0,27639,29855,0,0,0,0,0
1853917,1997711,1957334,1940863,1904283,1945528,2073704,2018462,1958393,1815876,1703586,1886884,1785285,2044987,2263673
0,0,0,0,0,0,0,0,0,0,0,0,10515,0,39237
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,102174,88713,90375,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
592043,613636,692312,299060,321008,300233,265375,321586,318660,0,0,0,0,0,0
23082,28679,28971,27122,26475,25598,24943,36297,33488,30507,19374,30443,27326,21494,31909
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,455,0,0,0,0,0,0,0,0,0,0,0,0
0,3540,13149,5633,12475,4920,195056,232015,226095,0,0,0,0,0,0
3241,0,0,0,3268,0,0,0,0,0,0,3229,0,0,0
6502,417,4166,15562,14691,25614,132094,7000,11158,15753,30280,6012,0,68757,3357
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94778,92008,107518,0,0,0,0,0,0,451,0,3918,0,0,0
0,0,0,0,0,0,0,0,0,63798,65943,73305,0,0,0
0,0,0,0,0,0,0,0,0,61312,77301,64135,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,5222,0
0,0,0,0,0,0,0,0,0,134725,138351,164599,0,0,0
14012,5672,9025,7618,21196,3763,10284,5933,0,9059,0,0,67927,3498,5513
0,4576,4419,0,0,0,9501,6576,3913,161479,173620,163552,529,0,0
77835,47430,40071,49136,44749,56328,59698,54549,49669,2356102,2473623,2443549,79586,47633,59056
0,0,7187,0,9183,26137,29323,0,15653,18713,0,0,0,0,0
15724,13380,16742,448857,456923,487339,82135,110375,133730,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,46670,69444,51021,0,0,0
0,0,0,0,0,0,0,0,0,414510,465409,437705,0,0,0
0,0,0,0,0,0,0,0,0,59821,49442,76146,0,0,0
28387,20265,15152,50771,38937,45820,53271,62240,70424,429,0,0,0,3498,0
0,0,0,96998,86713,82972,119395,163878,153367,0,0,0,0,0,0
0,0,0,0,0,0,0,632,4103,0,0,0,0,0,0
77835,46387,41652,72377,61768,69381,122226,97957,100881,1668302,1484759,1710700,116449,57057,75677
37500,94179,41891,56879,62602,44874,292030,309800,277474,144084,118193,123955,170645,44272,119271
6704,418,4325,5167,16613,17016,103407,132626,133283,6303,0,4098,14852,5459,29614
12324,11918,12742,18979,18581,10469,29540,32847,36058,7152,10613,0,24005,13802,19358
