Index,Vip,Metabolite name,Average Mz,average RT,Brain1,Brain2,Brain3,Heart1,Heart2,Heart3,Liver1,Liver2,Liver3,Muscle1,Muscle2,Muscle3,Plasma11,Plasma12,Plasma13
33,,1_LPS 19:0-d5,567.3447_545.363,1.9935,572751,608728,789404,1260181,1277605,1139551,897877,934815,987218,1005207,1067946,1176773,593862,107731,586562
34,,1_PC 17:0-14:1-d5,745.5541_761.5295_723.5722,4.628666667,33699962,37338692,34671589,42150106,44934918,39690726,43659780,52969315,56529613,31471109,33578859,32370965,43794637,8444528,44784188
35,,1_PC 17:0-16:1-d5,773.5909_789.5617_751.6036,5.189333333,113074700,106124704,113351655,121798425,122399874,108782777,113314280,110962835,113962121,78334037,93605337,96605585,86259057,17844031,93122759
36,,1_PC 17:0-18:1-d5,801.6169_817.59_779.6352,5.809333333,154889157,168165515,180418112,139936380,152758477,134662438,107545869,110519190,119152880,97399197,109221054,106575641,118266661,21148975,122976457
37,,1_PC 17:0-20:3-d5,825.6179_841.586_803.635,5.477333333,73054701,69390567,72283555,92633510,92076061,79831028,71573314,82449931,77564112,63311159,71784040,67067673,78785791,18046548,90262837
38,,1_PC 17:0-22:4-d5,851.6339_867.6041_829.6511,5.675333333,56059865,58066036,64985079,56205608,62947513,57018559,33237166,36980794,35425169,32986959,37087042,38531581,39746624,6855472,38622401
39,,1_PC 19:0 Lyso-d5,565.402_581.3762_543.4204,2.614666667,13891006,13523652,17647173,22387424,22022472,19674404,26004721,31536130,28994301,15959441,18279053,17594783,17874868,4365883,17716552
40,,1_PE 17:0-14:1-d5,703.5074_681.5243,4.755,12598273,12978557,12669688,6202880,6901726,5695367,4953342,5514927,6551360,5594508,5712843,6209331,6225273,1439224,6832884
41,,1_PE 17:0-16:1-d5,731.5386_747.5152_709.5565,5.334,8508628,7676696,9283808,10204591,10610099,9450710,8725257,10748643,11029864,8725696,9128084,9103566,8989774,2174978,9321250
42,,1_PE 17:0-18:1-d5,759.571_737.5878,5.9605,12655287,12429864,14887055,12737902,12629365,12513800,14034236,16789001,15822388,9402678,11014760,11023340,11951486,3140777,11845770
43,,1_PE 17:0-20:3-d5,783.5734_761.5877,5.6325,119490090,126337796,135931036,19956704,21287260,18567594,28426128,30312007,30878306,13233624,15577937,14520293,20831101,4501122,19898317
44,,1_PE 17:0-22:4-d5,804.6256_787.6033,5.8115,6890950,7502941,8012179,7716645,9069454,7573403,49902848,55252220,55827120,5852687,6275834,6206983,8364624,1842154,8255193
