Index,Vip,Metabolite name,Average Mz,average RT,Brain1,Brain2,Brain3,Heart1,Heart2,Heart3,Liver1,Liver2,Liver3,Muscle1,Muscle2,Muscle3,Plasma11,Plasma12,Plasma13
2082,,Unknown,372.1594,0.495,0,2238,4254,0,0,0,0,0,0,0,0,0,423051,98942,362304
2083,,Unknown,361.2794,0.498,38793,29664,55254,48180,44561,42450,27692,35060,31932,103051,98194,99958,8463,2270,5253
2084,,Unknown,202.2211,0.5,2292,0,0,0,0,0,0,29457,41047,22545,57055,33298,0,0,0
2085,,Unknown,248.1503,0.502,86044,34708,156755,101326,95855,148362,68918,82501,363854,442512,59083,74325,54818,45915,61952
2086,,Unknown,379.2905,0.503,134139,133237,136983,104481,101959,106284,102670,130458,119001,42014,42250,34433,0,0,0
2087,,Unknown,321.1276,0.503,1610,628,577,0,7280,0,4936,2539,9449,10901,7807,0,16313,8662,14780
2088,,Unknown,147.1174,0.503,154031,154402,187261,159855,173718,184157,194923,201819,263951,141079,154418,125712,64393,21492,52049
2089,,Unknown,277.1062,0.503,8803,8998,3830,3689,5042,6160,3096,5772,4865,0,0,4863,41750,0,24922
2090,,Unknown,189.1126,0.505,15275,11775,12004,14242,15395,13218,25809,24565,18622,9633,7947,10176,7492,2329,5368
2091,,Unknown,296.1224,0.505,0,0,0,0,0,0,0,4448,0,2911,0,0,55149,7136,37996
2092,,Unknown,240.1597,0.508,6290,2025,0,606,815,0,334,360,0,0,3888,14387,6072,0,9584
2093,,Unknown,179.0643,0.508,2110,0,2665,0,3119,2656,4146,0,3061,21945,14925,15865,3006,2100,2096
2094,,Unknown,414.3378,0.512,0,0,0,0,0,0,0,0,0,55064,67453,57867,12698,0,4579
2095,,Unknown,384.1752,0.514,0,0,0,3218,2723,0,2555,0,0,0,0,6662,6604,2203,5066
2096,,Unknown,282.1479,0.518,34951,53637,46737,11058,47820,13973,56776,30023,10274,3548,1144,2577,16236,0,21327
2097,,Unknown,335.1437,0.52,0,0,0,0,0,0,0,0,2520,5499,2617,9091,10208,474,6865
2098,,Unknown,174.1856,0.521,2621,0,0,0,0,4975,9776,0,1969,2165,6770,6725,31724,0,31438
2099,,Unknown,270.9461,0.524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2471
2100,,Unknown,334.2388,0.525,0,0,0,0,0,0,2860,0,0,0,2097,0,150020,23518,89214
2101,,Unknown,333.2549,0.526,622,12503,2122,2133,17855,2978,2588,3638,5328,73347,7130,15522,0,0,2717
2102,,Unknown,252.0634,0.528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2103,,Unknown,315.2654,0.529,0,0,0,2325,0,2354,0,0,0,0,0,0,11176,0,4858
2104,,Unknown,355.0114,0.536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2105,,Unknown,341.1945,0.536,60558,37358,39240,54037,54800,52370,61921,62900,57214,375054,341956,380213,62540,54236,70830
2106,,Unknown,310.1418,0.539,0,0,0,0,0,0,0,0,0,0,0,0,1110566,279604,1096343
2107,,Unknown,201.1126,0.543,82963,45060,180516,75872,54504,138097,64702,80771,503173,667496,31957,56688,65999,44246,68255
2108,,Unknown,310.2169,0.545,24063,3553,58976,58181,38736,47238,31615,14078,89218,84328,7761,8497,16880,8854,14601
2109,,Unknown,315.1353,0.546,0,0,0,0,0,0,0,2227,2346,915,0,0,8879,3387,8818
2110,,Unknown,368.088,0.548,0,0,0,0,0,0,0,0,0,0,0,0,358236,85465,353446
2111,,Unknown,470.2975,0.559,0,0,0,0,0,0,0,0,2479,0,0,4034,4270,4809,3755
2112,,Unknown,315.1914,0.56,0,2343,0,0,0,0,75636,125132,73180,0,0,0,0,0,0
2113,,Unknown,357.2239,0.56,54089,55730,94632,15297,7054,0,3147,11516,0,0,5838,0,0,0,0
2114,,Unknown,266.1524,0.561,411311,383028,409837,126659,375801,200606,262030,200797,152755,229788,60722,42360,162200,9656,173425
2115,,Unknown,637.5287,0.563,63965,38290,60256,52985,55177,47594,0,52091,59739,41720,73393,33437,0,0,0
2116,,Unknown,317.6983,0.564,185605,246654,227532,125459,208830,216082,144680,161483,73567,149566,170418,204065,39652,3024,47243
2117,,Unknown,320.8498,0.564,212158,240500,236075,120028,173858,222187,160437,190897,67019,163371,190204,128666,32514,0,47283
2118,,Unknown,391.1326,0.566,2543,563,0,0,0,0,0,0,0,0,0,0,0,70502,0
2119,,Unknown,306.0817,0.566,0,0,0,0,0,0,0,0,0,0,0,0,19902,0,24435
2120,,Unknown,418.2056,0.566,0,0,0,0,0,329,0,0,0,400,390,0,307,130499,2838
2121,,Unknown,394.1092,0.566,0,0,0,0,0,0,0,0,0,0,0,0,0,298131,0
2122,,Unknown,320.8417,0.566,285239,220633,196603,112511,199268,205531,145536,129400,110659,128532,249902,105931,58107,0,38492
2123,,Unknown,376.1585,0.566,0,0,0,0,0,0,0,0,0,0,0,0,0,274546,0
2124,,Unknown,375.1381,0.566,17359,22179,24347,328,858,1124,16530,7379,6155,0,0,971,826,522855,1247
2125,,Unknown,683.1756,0.566,0,0,0,0,0,0,0,0,0,0,0,0,0,77000,0
2126,,Unknown,319.3719,0.568,658760,816765,884183,620245,479062,832229,685359,862508,801784,666518,744693,612341,260466,42250,190677
2127,,Unknown,319.1622,0.569,723474,817732,862449,792240,864314,483955,696244,465919,626868,744460,639174,660089,233331,35617,195256
2128,,Unknown,202.7367,0.571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2129,,Unknown,259.2027,0.586,0,12654,0,0,266,0,3774,281,7949,0,0,13099,0,0,0
2130,,Unknown,215.1284,0.59,96475,67837,164861,123950,84335,150819,62415,108332,362591,517381,37525,74556,84987,68968,91175
2131,,Unknown,292.1765,0.594,328583,189401,625994,406942,303662,521698,270229,353864,1341849,1735860,191906,281640,271202,182890,248344
2132,,Unknown,326.0861,0.598,0,0,0,0,0,0,0,0,0,55282,29197,33323,0,0,0
2133,,Unknown,249.0683,0.604,0,0,0,0,0,0,0,0,0,200407,196159,178996,0,0,0
2134,,Unknown,307.1083,0.607,0,0,0,0,317,2675,0,5490,0,0,0,0,2064,3309,4424
2135,,Unknown,186.2224,0.609,0,0,0,0,0,0,3537,0,0,3442,0,0,6688,2090,4992
2136,,Unknown,136.1125,0.613,24139,16314,9410,10329,2709,11872,5939,10103,2446,7460,11408,14494,14137,5507,10648
2137,,Unknown,304.176,0.613,0,0,0,0,149940,0,23793,0,0,0,0,0,257667,1965,0
2138,,Unknown,185.9838,0.627,2307,0,0,0,0,2254,7790,3252,0,520,861,0,12181,6016,4083
2139,,Unknown,252.2181,0.631,9831,0,17438,8376,12492,10013,5013,0,16909,7563,0,0,0,0,0
2140,,Unknown,308.2442,0.636,3949,0,19392,11834,25269,22810,25303,0,40669,30364,0,0,0,0,0
2141,,Unknown,240.2331,0.645,2870,0,0,2350,5262,0,3623,0,0,4037,0,2559,47983,28132,56786
2142,,Unknown,245.0787,0.646,0,8963,0,0,0,5750,0,0,0,6387,1897,3614,0,0,0
2143,,Unknown,241.0867,0.647,8555,0,28481,21403,2189,33039,6313,2872,3863,18622,0,2072,2759,0,2373
2144,,Unknown,209.0605,0.648,24690,5382,79601,80479,24974,102890,29344,13512,26786,68704,0,0,18847,0,6997
2145,,Unknown,323.2224,0.653,7742,3964,3619,8350,5988,7832,4684,11419,85918,95397,5561,4417,13500,5113,11647
2146,,Unknown,293.2229,0.654,12248,8629,2487,2624,7665,0,0,2578,0,0,10112,3133,18293,2178,21789
2147,,Unknown,463.3659,0.655,0,0,0,0,0,0,0,0,0,100690,113415,98717,0,0,0
2148,,Unknown,233.191,0.655,33431,36336,16090,18168,36278,2650,0,16452,0,0,30762,23720,46930,11172,55700
2149,,Unknown,477.3816,0.655,0,0,0,0,0,0,0,0,0,116788,119318,105990,0,0,0
2150,,Unknown,355.2644,0.656,0,0,0,0,0,0,55544,91733,73235,0,0,0,0,0,0
2151,,Unknown,373.2749,0.658,0,0,0,2702,0,2208,81965,102300,117867,0,0,0,0,0,0
2152,,Unknown,400.2706,0.659,9689,9079,8538,8194,11496,10157,116185,120825,127324,8073,10973,4295,5940,9417,11653
2153,,Unknown,599.2659,0.679,0,0,0,0,0,0,0,2568,0,80348,82139,72673,0,0,0
2154,,Unknown,311.1272,0.681,6736,2686,12126,5462,8423,0,2087,10073,6442,632136,621802,592728,136280,50851,136656
2155,,Unknown,414.1246,0.683,0,0,0,0,0,0,0,0,0,79787,69456,70673,14126,0,16385
2156,,Unknown,373.0977,0.683,0,0,0,0,0,0,0,0,0,52140,57270,55740,5953,2128,16952
2157,,Unknown,369.086,0.683,0,0,0,0,0,0,0,0,0,54101,39917,38259,2654,0,4622
2158,,Unknown,387.2658,0.685,0,0,0,0,0,0,0,0,0,0,0,0,13639,0,17980
2159,,Unknown,644.3062,0.687,0,0,0,0,2667,0,0,0,0,0,0,0,0,0,0
2160,,Unknown,303.2372,0.701,0,0,0,0,0,0,0,0,0,0,2316,0,0,5924,24899
2161,,Unknown,157.333,0.703,0,0,0,16655,0,0,0,0,0,437,3459,0,0,0,0
2162,,Unknown,298.0476,0.707,4891,8026,23982,6250,7543,6568,12523,2718,3852,3010,7310,624,5324,10811,7787
2163,,Unknown,157.3932,0.707,0,0,21605,0,20500,14396,0,0,0,0,62127,17577,0,0,0
2164,,Unknown,307.1889,0.71,18744,1664,23897,15152,3610,5995,10746,12012,4779,5496,18301,15449,27421,31213,58280
2165,,Unknown,285.291,0.711,3363,0,0,2325,0,0,0,0,0,0,0,0,35303,3492,38359
2166,,Unknown,345.5298,0.713,80538,174930,253143,225863,135503,211113,145177,160465,230460,105353,184708,172927,70818,14849,104465
2167,,Unknown,284.1289,0.713,0,0,0,0,0,0,0,0,0,0,0,0,3239,0,11087
2168,,Unknown,216.1388,0.714,0,0,0,0,0,456,0,0,0,0,0,0,115144,15069,80949
2169,,Unknown,301.2862,0.718,17265,0,8422,514213,21353,4915,38979,0,0,66252,0,0,510610,241751,610926
2170,,Unknown,202.7517,0.726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2171,,Unknown,372.2457,0.727,2151,2457,1497,3061,1526,2347,1664,0,2294,236134,272702,271465,155877,13721,95186
2172,,Unknown,202.7798,0.729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2173,,Unknown,202.7362,0.734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2174,,Unknown,202.8683,0.74,3287,0,0,0,0,0,0,0,0,27039,0,12117,0,513,0
2175,,Unknown,198.3878,0.741,219937,0,0,7530,4568,0,0,0,0,0,0,0,0,49802,0
2176,,Unknown,490.2656,0.742,7344,673,332,1406,12913,9367,3762,6096,252,0,1308,9515,1662,10933,4772
2177,,Unknown,534.2925,0.742,858,3288,0,4154,0,0,0,0,1395,5511,5835,3068,0,0,0
2178,,Unknown,202.8462,0.743,0,0,0,17805,0,0,0,0,0,0,0,0,0,0,0
2179,,Unknown,244.207,0.748,0,0,0,0,0,0,0,0,0,332828,357333,350233,0,0,0
2180,,Unknown,200.2381,0.754,21480,16113,22196,135697,168969,133474,127751,135445,107150,12923,6068,21878,75718,4895,57554
2181,,Unknown,376.1759,0.755,16458,0,0,0,63327,10790,47460,0,0,37457,0,48727,531404,5711,317271
2182,,Unknown,217.1632,0.757,10006,0,13130,0,8588,6299,0,0,58030,117673,2723,5117,0,0,0
2183,,Unknown,275.2013,0.764,0,0,7086,12595,0,8938,3146,5959,121959,115066,0,0,0,0,0
2184,,Unknown,312.1603,0.764,0,0,0,0,0,0,0,1503,0,7357,0,7040,142499,11507,146690
2185,,Unknown,244.264,0.764,0,0,0,0,0,0,0,0,0,12293,7371,13519,0,0,0
2186,,Unknown,242.2853,0.767,0,0,0,0,0,0,0,0,0,0,2515,26242,6659,0,7519
2187,,Unknown,254.2489,0.768,3684,0,5027,0,12292,5882,49094,53036,50561,0,4786,8944,0,0,0
2188,,Unknown,358.2028,0.769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2189,,Unknown,670.2565,0.769,42625,51249,60871,74193,68259,38580,63190,71487,67340,53735,53626,70966,3396,0,5640
2190,,Unknown,596.3222,0.769,0,0,0,34216,162063,88981,3545,0,0,35524,98295,15556,2630,0,3323
2191,,Unknown,289.2167,0.77,0,0,0,0,0,0,0,2473,56892,98631,0,0,0,0,0
2192,,Unknown,456.3533,0.771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2193,,Unknown,371.3274,0.771,11720,0,4822,10786,0,0,6070,7499,0,23184,16482,22153,131593,0,184626
2194,,Unknown,412.3277,0.771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2195,,Unknown,293.2117,0.773,33846,50869,51570,52716,46015,47916,67566,75656,156615,139587,38370,28515,49523,11172,44790
2196,,Unknown,191.18,0.773,96341,82696,96548,113253,94669,99523,102700,101057,112573,113091,95475,64477,122264,54919,129971
2197,,Unknown,295.2275,0.778,29975,38630,35320,70140,80018,71163,67795,67795,70245,42298,53837,41512,52481,36260,35629
2198,,Unknown,368.3013,0.779,0,0,0,0,0,0,0,0,5820,0,0,0,0,0,0
2199,,Unknown,325.9562,0.784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2200,,Unknown,602.2665,0.839,23895,22334,31321,47205,47862,43741,38381,30640,42741,33708,35558,32678,2654,0,4787
2201,,Unknown,270.3165,0.865,0,0,0,22385,26689,23142,183466,199398,203179,0,0,0,5870,3121,5967
2202,,Unknown,357.2758,0.872,0,0,0,2431,0,0,0,219,0,0,0,0,0,0,0
2203,,Unknown,295.2281,0.874,26397,28072,29418,34901,45851,35102,31293,33581,33072,34210,45378,36914,31818,37918,37719
2204,,Unknown,570.284,0.874,106415,106480,118052,0,0,0,0,0,0,0,0,0,0,0,0
2205,,Unknown,277.2176,0.882,0,0,1348,3176,2148,1910,0,9637,10034,9416,0,0,5068,3146,2595
2206,,Unknown,371.3282,0.885,6686,2257,0,0,0,0,10889,2527,0,21171,9656,11913,129327,127550,178007
2207,,Unknown,242.2853,0.888,0,0,0,2600,2390,0,5348,1900,1049,2742,2893,6975,1371,0,3614
2208,,Unknown,305.2121,0.9,2253,1721,0,3206,2449,0,0,1838,78763,85389,1843,2679,0,0,0
2209,,Unknown,473.2878,0.904,0,0,0,0,0,0,0,0,0,131997,131139,142290,0,0,0
2210,,Unknown,414.1834,0.911,1065,7743,3892,4829,5337,8974,4607,5486,6431,42698,51452,57627,0,4336,2548
2211,,Unknown,270.3166,0.919,0,0,0,22385,26689,4680,61894,72101,76164,0,0,0,3236,0,5967
2212,,Unknown,325.2382,0.921,3752,4702,2037,1394,3456,5870,13444,12355,7573,134089,150569,167606,0,0,2677
2213,,Unknown,734.3363,0.922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2214,,Unknown,200.1441,0.924,8603,5064,2397,6112,15367,12135,6816,8020,5667,10829,7735,13933,114215,19225,118885
2215,,Unknown,1056.4541,0.924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2216,,Unknown,909.3922,0.924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2217,,Unknown,209.0817,0.928,21018,13524,8672,7620,11553,17524,16852,14098,9623,11810,19886,15801,12920,21123,7835
2218,,Unknown,685.2308,0.929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2219,,Unknown,421.0918,0.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2220,,Unknown,484.2758,0.93,20986,17644,11252,25876,24795,27096,17493,21742,19171,18395,15889,24761,14565,11644,23925
2221,,Unknown,1235.4911,0.931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2222,,Unknown,191.071,0.932,235,277,3944,0,1882,2478,1781,0,0,2045,0,2810,3637,0,5232
2223,,Unknown,121.0288,0.932,1891,658,5463,1316,4014,0,3813,8253,4086,5286,6465,2425,2114,2704,5062
2224,,Unknown,399.1609,0.934,18440,26540,17281,18700,9392,19662,14519,28438,20588,13291,21235,15909,21526,23944,12194
2225,,Unknown,256.2068,0.935,0,0,5404,11710,0,10969,12965,2080,153034,233095,0,0,0,0,4139
2226,,Unknown,419.1899,0.937,67935,60417,62541,64465,67738,55117,68217,75948,70521,49900,60768,68248,49573,52198,50125
2227,,Unknown,493.2269,0.938,8503,11714,0,3383,8282,17173,16467,16703,15702,5770,7725,10806,8184,4132,10290
2228,,Unknown,190.0506,0.938,1039,1098,3992,0,2727,2088,0,2577,2913,2032,2551,0,2052,0,6529
2229,,Unknown,385.0943,0.939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2230,,Unknown,416.0931,0.939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2231,,Unknown,307.2277,0.939,1845,2828,9568,6887,2968,7929,4879,6063,93184,119355,50296,37766,6237,0,847
2232,,Unknown,403.1043,0.939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2233,,Unknown,167.0345,0.94,0,0,0,0,237,0,0,2137,0,0,2153,6016,0,2449,4864
2234,,Unknown,149.0239,0.94,2312006,2168673,2237022,2231310,2182680,2364384,2270462,2161032,2050032,2187911,2469182,2324187,2185087,2152699,2089855
2235,,Unknown,524.3089,0.94,16004,28225,19174,20108,23880,13844,20455,23537,22756,22575,25136,23446,23375,17841,31063
2236,,Unknown,477.2311,0.941,69261,55161,59235,72924,60467,67093,75337,74874,59694,60215,61333,68115,55497,25323,58812
2237,,Unknown,505.2264,0.942,4141,9366,6549,8225,9052,7371,7193,15733,4288,2401,4995,5901,7701,6909,11302
2238,,Unknown,453.0822,0.944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2239,,Unknown,310.2026,0.945,106854,101648,94961,88592,103416,101573,104517,105014,82074,109264,124684,108715,99220,97345,91034
2240,,Unknown,443.0533,0.946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2241,,Unknown,445.2062,0.947,16785,25843,4567,14002,22763,17188,21458,20863,14744,16370,24476,16604,17741,16344,7697
2242,,Unknown,591.3014,0.949,20099,24311,27126,24144,16941,22913,32551,20298,22271,26244,29957,29744,20655,14482,14366
2243,,Unknown,395.1629,0.951,27093,26814,33619,36882,28386,20830,28580,27069,28126,96612,92028,121967,25409,26740,26596
2244,,Unknown,547.274,0.955,16787,14537,14667,17331,23499,14321,24561,12037,30011,22418,20789,20891,11044,4046,15666
2245,,Unknown,280.2647,0.959,10330,7112,8182,5497,4257,4171,57039,57081,55724,3504,10111,6242,8279,2353,9772
2246,,Unknown,299.2225,0.961,6791,1910,3404,120613,124779,117114,3202,6210,2165,774,1409,1221,2082,1895,2523
2247,,Unknown,304.1764,0.968,98903,0,0,33932,2787,4620,0,0,0,22708,4890,0,4130,0,0
2248,,Unknown,301.2167,0.973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2249,,Unknown,242.2853,0.991,0,0,2257,0,0,0,2763,0,2649,0,2330,11743,2758,2363,1869
2250,,Unknown,437.3763,0.998,4109,4504,5696,10511,51088,49263,100117,0,6007,3607,49051,4561,36847,3243,21010
2251,,Unknown,304.3007,0.998,52453,46153,71920,99355,130380,93141,508443,570105,557108,440100,496871,517418,345096,81738,301682
2252,,Unknown,258.2223,1.008,0,0,0,0,0,0,0,0,71381,93430,0,0,0,0,0
2253,,Unknown,241.2168,1.018,13526,16510,22343,18867,10598,15162,9427,28292,12746,13296,8839,11573,14008,4360,9513
2254,,Unknown,457.2788,1.022,311,3417,1539,591,1423,3637,1861,2516,0,1907,2202,4597,0,1174,1836
2255,,Unknown,329.3175,1.033,11419,0,6658,96331,16178,4457,13971,6039,2345,18305,6456,9002,182456,95513,178701
2256,,Unknown,265.2172,1.033,10976,11706,6489,10081,6126,3236,13355,11263,16793,44622,46305,45516,13240,11332,10616
2257,,Unknown,607.3634,1.048,0,0,0,0,0,0,0,0,0,0,0,0,33063,0,14090
2258,,Unknown,256.2067,1.049,13897,2206,77655,95777,21920,84935,94843,47902,647750,960488,0,2191,25398,0,12693
2259,,Unknown,304.301,1.05,52453,11983,71920,38307,42907,28426,508443,570105,230002,440100,153481,246709,345096,25904,115955
2260,,Unknown,412.3213,1.055,0,0,0,0,0,2458,0,0,0,0,0,0,5138,0,0
2261,,Unknown,368.2934,1.059,11427,2994,2814,3025,3350,6224,3287,7671,7983,10250,11462,25242,9624,0,5396
2262,,Unknown,304.1761,1.059,0,0,0,27362,22295,29495,0,30666,0,0,19560,0,22959,1717,33740
2263,,Unknown,572.2996,1.071,42307,48145,55377,0,0,0,0,0,0,0,0,0,0,0,0
2264,,Unknown,481.2721,1.073,39435,23032,23664,9624,20558,16833,121219,125930,130645,14829,18632,19039,19367,20233,20106
2265,,Unknown,468.391,1.079,3663,9640,2307,0,0,0,6631,3396,0,6416,8517,0,32861,8135,39606
2266,,Unknown,604.2936,1.088,0,0,0,58805,55021,64534,104487,116745,96077,0,0,0,9832,1655,8519
2267,,Unknown,486.2138,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2268,,Unknown,173.0368,1.103,0,0,0,0,0,0,0,0,0,827494,887007,858994,0,0,0
2269,,Unknown,256.3007,1.112,1939,0,0,0,0,0,0,0,0,7113,9483,11730,19058,0,2413
2270,,Unknown,242.2852,1.124,56217,30289,80922,203481,256294,207937,233372,249916,218476,7239,115966,202573,52841,74039,85240
2271,,Unknown,335.1267,1.125,7992,10386,7589,7940,13551,7180,12280,8420,4927,119481,107465,118670,59796,19609,45388
2272,,Unknown,628.2958,1.138,0,0,0,0,0,0,15621,3330,12137,0,0,0,31282,4862,50066
2273,,Unknown,289.2169,1.144,0,5411,0,2770,0,0,0,5350,120496,130547,0,3516,4490,0,3382
2274,,Unknown,228.2696,1.144,4195,0,2953,50553,62530,48662,36713,45153,44344,0,0,0,9272,0,6747
2275,,Unknown,198.2605,1.146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2276,,Unknown,196.9748,1.15,0,0,77892,0,78005,0,0,112400,0,0,85146,0,0,0,0
2277,,Unknown,327.2323,1.153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2278,,Unknown,476.3598,1.164,8578,11390,179776,2960,15617,0,3498,0,0,2733,2207,0,2701,2099,665
2279,,Unknown,277.2172,1.164,21422,2887,33678,84114,64466,107351,97820,121383,298414,202862,2060,1145,9199,2837,2234
2280,,Unknown,1006.6912,1.165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6797
2281,,Unknown,964.643,1.167,0,0,0,0,3997,0,10690,2694,4929,0,0,0,27600,0,12257
2282,,Unknown,520.5532,1.167,0,0,0,385,0,0,20037,32758,20012,0,0,0,41869,6790,79741
2283,,Unknown,594.2646,1.17,0,0,0,16549,305,0,31765,40988,13371,0,0,0,55327,9484,38552
2284,,Unknown,520.1257,1.172,0,0,0,0,4553,0,23907,33816,14132,0,0,0,77579,5261,36700
2285,,Unknown,378.3225,1.175,0,0,0,0,0,0,0,0,0,785850,791082,777104,0,0,0
2286,,Unknown,304.1762,1.175,2815,79343,56514,51589,5701,75259,0,12284,22034,0,0,18977,47436,37828,20106
2287,,Unknown,520.5663,1.178,0,0,0,2702,0,0,18421,23120,9825,0,0,0,42106,5342,41697
2288,,Unknown,604.2931,1.181,0,0,0,12306,10340,18026,71026,72136,88430,0,0,0,158787,51085,165899
2289,,Unknown,242.285,1.182,21828,4848,16806,69555,48049,52545,62218,65311,58842,1070,28988,59178,11947,20234,23534
2290,,Unknown,678.2996,1.182,0,0,0,0,0,0,3257,9013,0,0,0,0,10251,0,8633
2291,,Unknown,196.9952,1.184,0,0,0,0,74455,0,0,71538,0,0,8485,0,0,0,0
2292,,Unknown,202.7608,1.186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2293,,Unknown,554.2899,1.186,93043,72157,97549,0,0,0,11887,3113,3217,2389,2838,2642,4939,0,4459
2294,,Unknown,356.2081,1.209,2209,0,7156,9796,0,2920,0,0,0,5218,15849,8505,2821,0,10720
2295,,Unknown,298.3479,1.236,12173,0,5045,117111,126164,112761,1034226,1255381,1089070,8045,5440,4977,39257,3932,32906
2296,,Unknown,688.2592,1.24,18642,27649,30829,32402,33450,39035,23435,15391,28651,42567,48254,49618,8226,0,2239
2297,,Unknown,698.2872,1.241,89978,95964,138578,136263,133516,146918,100890,107216,115893,121825,148631,134916,60738,6741,55333
2298,,Unknown,766.2738,1.241,19250,24748,48841,33456,35342,37794,37745,42792,25266,38593,48618,47443,11573,0,7180
2299,,Unknown,518.3362,1.246,162924,141356,204852,244125,309639,284090,233550,239607,215919,232273,239808,245065,39912,16448,36179
2300,,Unknown,440.359,1.246,0,0,0,40033,45876,34636,0,0,0,44327,48752,51414,11482,0,14964
2301,,Unknown,278.27,1.246,48642,8158,129181,107794,83157,115587,90141,50008,232496,213339,2598,8912,21816,0,14573
2302,,Unknown,476.3599,1.246,3650,15095,149126,2253,15617,0,258,0,0,0,2207,0,7621,2099,8283
2303,,Unknown,396.3327,1.247,0,0,0,57382,61516,52749,2502,0,18767,88596,66625,63171,11373,2211,23971
2304,,Unknown,282.2801,1.249,207763,213305,300202,101533,101473,97600,276096,286656,286482,53972,57311,55339,2643,0,4455
2305,,Unknown,303.2326,1.25,0,0,3944,0,0,0,0,3132,3598,0,0,0,0,0,0
2306,,Unknown,277.2171,1.254,8596,4738,46362,85061,39669,93677,81460,88016,293525,236503,2060,4773,12013,3171,9404
2307,,Unknown,259.2065,1.257,19705,2716,78445,81603,2497,98186,33671,64112,469307,439506,0,5950,20742,2298,11812
2308,,Unknown,378.3595,1.258,0,0,0,0,0,0,0,0,27016,15672,0,0,0,0,0
2309,,Unknown,273.1859,1.258,7593,5318,2223,0,4993,0,0,2285,0,6795,14878,29756,19200,5057,14764
2310,,Unknown,322.2963,1.26,0,0,4034,2464,314,3092,15055,2836,68648,69508,0,0,0,0,0
2311,,Unknown,258.2803,1.282,127512,89041,74957,105216,124729,76574,252654,287021,261764,91865,85627,88955,583944,73804,177013
2312,,Unknown,273.2223,1.289,0,0,20501,12880,0,3865,0,16246,366000,486967,0,0,0,0,0
2313,,Unknown,225.0608,1.29,0,0,0,0,0,0,4441,0,0,0,0,0,0,0,0
2314,,Unknown,580.2952,1.292,0,3030,10051,0,0,2760,0,1792,0,0,0,2391,110806,23764,94764
2315,,Unknown,255.2116,1.295,0,0,6559,0,0,0,0,6815,189941,260010,0,0,0,0,0
2316,,Unknown,297.0827,1.299,4358,0,2456,16451,3270,2848,67822,2689,2457,4725,46196,2722,4396,65780,7740
2317,,Unknown,476.3601,1.306,1990,15095,71067,282,1121,0,2061,0,0,0,0,0,2977,2110,3602
2318,,Unknown,261.2434,1.316,20843,17571,36958,47607,17723,34732,16150,6368,72471,51814,14633,10822,14394,7255,13606
2319,,Unknown,412.4274,1.316,0,0,0,21212,15927,27113,39150,13342,47305,0,0,0,0,0,0
2320,,Unknown,325.0909,1.317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2321,,Unknown,298.348,1.32,0,0,0,6140,4508,3352,77736,67582,58484,0,0,0,6206,1117,2909
2322,,Unknown,645.2481,1.331,18067,23124,31986,51289,42560,48466,39045,23122,40531,46470,55755,51270,4216,0,0
2323,,Unknown,399.3595,1.332,4406,0,0,2937,0,0,10852,0,0,34303,39126,29588,139633,65674,182258
2324,,Unknown,282.2805,1.336,16892,11252,24083,1218,1715,3201,17696,10800,12523,3294,1177,1325,0,0,0
2325,,Unknown,556.3054,1.348,3052,0,0,0,0,0,37824,31426,31856,2171,15078,0,0,0,0
2326,,Unknown,251.9819,1.367,0,6553,0,0,0,0,0,0,0,0,0,0,75271,113565,121952
2327,,Unknown,518.3355,1.374,436509,246665,596031,824268,441439,424780,335580,296397,267844,699686,747577,784056,110078,19315,94400
2328,,Unknown,327.2539,1.392,0,3059,1815,2730,2811,0,2674,0,0,649937,694427,724197,0,0,0
