,Unnamed: 0,Query Spectrum ID,Match Spectrum ID,Score Original,Score Prescreen,Rank
7281,7281,122,2144218.0,0.5020735013287912,,34.0
7282,7282,122,2139793.0,0.5007312910431841,,35.0
7283,7283,123,2156965.0,0.97982908002002,0.9798302855190456,1.0
7284,7284,123,2158364.0,0.8037008755261779,0.8037034757260276,2.0
7285,7285,123,2157890.0,0.7751171746212911,0.7751209377761471,3.0
7286,7286,123,2156906.0,0.7678146946722685,0.7678055177696144,4.0
7287,7287,123,2158240.0,0.7230508368714748,0.723050138008515,5.0
7288,7288,123,2158179.0,0.7126603187472075,0.7126565907330549,6.0
7289,7289,123,2139027.0,0.6604604794629505,0.6604587167173271,7.0
7290,7290,123,2156977.0,0.6577158942366388,0.6577183825961637,8.0
7291,7291,123,2140675.0,0.6395515507347364,0.6395484853465219,9.0
7292,7292,123,2158239.0,0.6044860757091699,0.6044865924416638,10.0
7293,7293,123,2158078.0,0.557613480714947,,11.0
7294,7294,123,2159700.0,0.5155743012109724,,12.0
7295,7295,124,2156966.0,0.974562049932572,0.974566360753744,1.0
7296,7296,124,2142177.0,0.8218359513266066,0.8218371084458393,2.0
7297,7297,124,2139016.0,0.7965160758518797,0.7965213732100602,3.0
7298,7298,124,2157947.0,0.7747579711193916,0.7747571614998214,4.0
7299,7299,124,2158036.0,0.7067742128469922,0.7067734195933896,5.0
7300,7300,124,2144116.0,0.687856397677017,0.6878564322337736,6.0
7301,7301,124,2157016.0,0.6659638847133289,0.6659665612415733,7.0
7302,7302,124,2144211.0,0.6614103025367074,0.661410950098775,8.0
7303,7303,124,2156947.0,0.6584209118852882,0.6584201272557573,9.0
7304,7304,124,2140666.0,0.6540637792122423,0.654058348544901,10.0
7305,7305,124,2144237.0,0.6525392650352132,,11.0
7306,7306,124,2141513.0,0.6479905378283086,,12.0
7307,7307,124,2140998.0,0.6452907464453785,,13.0
7308,7308,124,2157305.0,0.6412586705825593,,14.0
7309,7309,124,2142133.0,0.6388605961926191,,15.0
7310,7310,124,2142132.0,0.6352798220565655,,16.0
7311,7311,124,2159754.0,0.633331053816615,,17.0
7312,7312,124,2144190.0,0.6315234044828517,,18.0
7313,7313,124,2138897.0,0.6232106309284365,,19.0
7314,7314,124,2157390.0,0.6216116015178572,,20.0
7315,7315,124,2140280.0,0.6214509595341015,,21.0
7316,7316,124,2157112.0,0.6179869525231563,,22.0
7317,7317,124,2157030.0,0.6165274820696783,,23.0
7318,7318,124,2156913.0,0.6128318982538221,,24.0
7319,7319,124,2157043.0,0.6110747329902062,,25.0
7320,7320,124,2142140.0,0.6107678144749465,,26.0
7321,7321,124,2144108.0,0.6063428163406375,,27.0
7322,7322,124,2138973.0,0.6058898871386761,,28.0
7323,7323,124,2157080.0,0.60523719380764,,29.0
7324,7324,124,2158295.0,0.6050088977600446,,30.0
7325,7325,124,2156907.0,0.6042677496441019,,31.0
7326,7326,124,2142126.0,0.6038640472189662,,32.0
7327,7327,124,2138986.0,0.6034642399016418,,33.0
7328,7328,124,2159808.0,0.6026390633025603,,34.0
7329,7329,124,2139621.0,0.6023378636964657,,35.0
7330,7330,124,2144159.0,0.6023342295632903,,36.0
7331,7331,124,2157018.0,0.6006806618515178,,37.0
7332,7332,124,2158040.0,0.6003922753112688,,38.0
7333,7333,124,2157426.0,0.6001546235585596,,39.0
7334,7334,124,2140683.0,0.5989708767586494,,40.0
7335,7335,124,2157293.0,0.5961139780818019,,41.0
7336,7336,124,2156997.0,0.5949149728652413,,42.0
7337,7337,124,2142110.0,0.5947319255920898,,43.0
7338,7338,124,2144171.0,0.5947207715354145,,44.0
7339,7339,124,2144131.0,0.5936306932791874,,45.0
7340,7340,124,2144122.0,0.5936193843820602,,46.0
7341,7341,124,2156943.0,0.5919747676984918,,47.0
