massfeature_rows	m/z	retention_time	p_value	statistic	CompoundID_from_user
row145	144.0	399.1637	3.68	0.2965663215500023	1.0491986711475885
row146	145.0	281.1133	3.126	0.4074532003956566	0.8318209411834367
row147	146.0	395.0742	2.921	0.8849244511787957	-0.14509213230371742
row148	147.0	470.0296	5.666	0.5465481365924953	0.6049614458748969
row149	148.0	254.9808	0.691	1.5663427389193764e-05	-4.5363314020385435
row150	149.0	229.0169	0.383	0.8193082874085134	0.2290247142403612
row151	150.0	315.0401	0.205	0.14653123601248863	-1.4630395999390367
row152	151.0	246.0434	2.967	0.03091618552095312	2.18848225616625
row153	152.0	274.0377	0.628	0.5070641847853012	0.6657649353843342
row154	153.0	643.1201	2.347	0.1406862262119946	1.484779381598286
row155	154.0	215.1036	4.489	0.001976259487685479	3.1758754313268738
row156	155.0	315.0401	0.278	0.9813713413759343	-0.023407013070918227
row157	156.0	315.0401	0.052	0.200216576558202	-1.28928069381499
row158	157.0	388.0273	5.664	0.5289898946640472	0.6317096334569383
row159	158.0	479.2254	3.425	0.3577553970354179	0.9238295279775114
row160	159.0	425.009	0.436	0.6513540940932699	-0.4532184895727067
row161	160.0	331.1382	2.866	0.02064796247358299	2.3509601026232434
row162	161.0	250.0713	3.207	0.28186257539125986	1.0818673421442484
row163	162.0	323.0536	2.34	0.0015711925197096398	3.2485138913375438
row164	163.0	165.0423	1.813	0.4143015757420673	0.8196944748603936
row165	164.0	192.9813	0.609	0.7821660015675873	0.2772281391470817
row166	165.0	194.046	2.234	0.002026854172325315	3.1678006789442033
row167	166.0	206.9965	0.436	0.023717587895446517	2.296065524533327
row168	167.0	303.0709	4.308	0.3516120048014133	0.9357501883976239
row169	168.0	634.0354	5.67	0.38987089876299896	-0.8635322852957791
row170	169.0	149.0464	5.195	0.1624101255324641	-1.4071929161714551
row171	170.0	416.1355	0.729	0.03904990922964836	2.0905965989894324
row172	171.0	385.1667	0.691	1.339384535981693e-06	-5.138128866733431
row173	172.0	248.0952	0.912	0.663601781579856	-0.4362161890534409
row174	173.0	413.179	3.098	0.012239635485806958	2.550596384337725
row175	174.0	247.0272	0.412	0.00023423110011406694	3.814252343303886
row176	175.0	226.978	0.494	0.04354530861027289	-2.0438522098078953
row177	176.0	154.0631	5.847	0.6708336512893904	-0.42623654480865053
row178	177.0	300.0382	1.3	0.4971615174294466	-0.6814017065748091
row179	178.0	282.0465	2.888	0.02468118633050616	2.2801249040417466
row180	179.0	367.1376	2.764	0.35267313807468625	0.9336816733777692
row181	180.0	310.1143	2.948	0.9397323972490013	-0.0757928079832148
row182	181.0	474.1463	3.063	0.8039279010047286	0.24891389827198132
row183	182.0	246.9912	0.497	0.6881619520639319	0.40249512624110395
row184	183.0	173.9944	0.396	0.6453798475603214	-0.4615598166991121
row185	184.0	315.0402	11.933	0.1283195603264216	-1.533211976133262
row186	185.0	157.0373	2.848	0.022367124207958767	2.3193938345275136
row187	186.0	291.9578	0.435	0.9929760571911533	-0.008824925094385642
row188	187.0	253.0921	5.094	0.34848101006329724	-0.9418770801048016
row189	188.0	276.0537	3.155	0.34537418203883485	0.9479918701949781
row190	189.0	253.0921	4.914	0.3103194707355735	1.0196233277004119
row191	190.0	191.0204	8.527	0.8913073409815494	0.13699176918624764
row192	191.0	315.04	1.57	0.05615281962354585	1.931849409788079
row193	192.0	195.0513	5.435	0.21858948675606038	-1.2379148272085796
row194	193.0	345.0831	1.517	0.42458987243982105	0.8017006933503036
row195	194.0	385.148	3.117	0.41448138819348224	0.8193777108273542
row196	195.0	223.0197	5.668	0.6758800383484256	0.4192980853837066
row197	196.0	390.0922	1.954	0.7888018481774577	-0.26857155700138713
row198	197.0	287.0219	0.395	0.053482222393240846	1.953645178667195
row199	198.0	315.0405	1.993	0.5716835228628819	-0.5674083277021988
row200	199.0	716.0385	5.669	0.23321374486033927	-1.1992383719631956
row201	200.0	342.1539	2.892	0.23262037161370927	1.2007730058310615
row202	201.0	265.1184	3.04	0.06237265940038817	1.8842930869097005
row203	202.0	179.0566	5.373	0.10778360291552179	-1.6224984738324828
row204	203.0	320.0641	2.543	0.36048406822951795	-0.9185767758694778
row205	204.0	365.0164	4.587	0.0011823186836461825	3.337062812495587
row206	205.0	383.1174	3.89	0.5404202888406819	-0.6142462325626521
row207	206.0	229.0208	0.354	0.7262399666680927	-0.35109668467592287
row208	207.0	284.043	3.014	0.09320397310636008	1.6945921466494094
row209	208.0	151.0407	1.882	0.0034455664976915405	2.994914758544535
row210	209.0	315.0401	11.495	0.9730402269857489	0.033878524317269655
row211	210.0	191.0204	8.745	0.48451205243268114	0.7016230879247759
row212	211.0	448.3047	3.071	0.14382189578135246	-1.4730311015661701
row213	212.0	156.9917	5.088	0.0003581844836963178	3.6930244753006938
row214	213.0	738.9961	5.667	0.07924012070324857	-1.7728416819773096
row215	214.0	342.154	3.257	0.052100837494297315	1.9652833356006243
