,position,name,ms_level,polarity,retention_time,height,area,mz,neutral_mass,adducts,p_value,DMEM_1.mzXML retention_time,DMEM_1.mzXML height,DMEM_1.mzXML area,DMEM_1.mzXML mz,DMEM_2.mzXML retention_time,DMEM_2.mzXML height,DMEM_2.mzXML area,DMEM_2.mzXML mz,DMEM_3.mzXML retention_time,DMEM_3.mzXML height,DMEM_3.mzXML area,DMEM_3.mzXML mz,DMEM_4.mzXML retention_time,DMEM_4.mzXML height,DMEM_4.mzXML area,DMEM_4.mzXML mz,KIC_1.mzXML retention_time,KIC_1.mzXML height,KIC_1.mzXML area,KIC_1.mzXML mz,KIC_2.mzXML retention_time,KIC_2.mzXML height,KIC_2.mzXML area,KIC_2.mzXML mz,KIC_3.mzXML retention_time,KIC_3.mzXML height,KIC_3.mzXML area,KIC_3.mzXML mz,KIC_4.mzXML retention_time,KIC_4.mzXML height,KIC_4.mzXML area,KIC_4.mzXML mz,KIV_1.mzXML retention_time,KIV_1.mzXML height,KIV_1.mzXML area,KIV_1.mzXML mz,KIV_2.mzXML retention_time,KIV_2.mzXML height,KIV_2.mzXML area,KIV_2.mzXML mz,KIV_3.mzXML retention_time,KIV_3.mzXML height,KIV_3.mzXML area,KIV_3.mzXML mz,KIV_4.mzXML retention_time,KIV_4.mzXML height,KIV_4.mzXML area,KIV_4.mzXML mz,KMV_1.mzXML retention_time,KMV_1.mzXML height,KMV_1.mzXML area,KMV_1.mzXML mz,KMV_2.mzXML retention_time,KMV_2.mzXML height,KMV_2.mzXML area,KMV_2.mzXML mz,KMV_3.mzXML retention_time,KMV_3.mzXML height,KMV_3.mzXML area,KMV_3.mzXML mz,KMV_4.mzXML retention_time,KMV_4.mzXML height,KMV_4.mzXML area,KMV_4.mzXML mz,VIP
59,12392,#12392 435.2351@33.744 MS1+,1,+,33.744,47369.7344,6132.0559,435.2351,,,0.433,33.8472,29220.1809,673.8048,435.2347,33.7898,22994.9816,1736.8397,435.2353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.8388,37103.8019,2374.2889,435.2355,33.805,25530.5754,831.1737,435.2351,,,,,,,,,,,,,33.7437,48190.2939,6238.2781,435.2351,33.807,28454.1659,5734.6884,435.2352,0.5660697139660894
60,50813,#50813 481.2118@18.283 MS1+,1,+,18.283,840316.9375,147644.2595,481.2118,,,0.4207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.2713,4054.1065,241.318,481.2119,,,,,,,,,,,,,18.2825,798499.9709,140296.9899,481.2117,,,,,,,,,0.5748810222850613
61,10035,#10035 450.2323@16.717 MS1+,1,+,16.717,4563.811,718.1265,450.2323,,,0.4262,16.7173,4097.689,644.7811,450.2323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5760298216117562
62,11959,#11959 499.2051@30.622 MS1+,1,+,30.622,59970.582,5930.3486,499.2051,,,0.4262,30.6223,53845.524,5324.6562,499.2051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5760298216117562
63,12298,#12298 375.2617@33.601 MS1+,1,+,33.601,25657.7344,2864.23,375.2617,,,0.4262,33.601,23037.1977,2571.6936,375.2617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5760298216117562
64,12533,#12533 387.2142@34.781 MS1+,1,+,34.781,33891.7031,4229.0138,387.2142,,,0.4262,34.7808,30430.1952,3797.0861,387.2142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5760298216117562
65,12362,#12362 382.2088@33.825 MS1+,1,+,33.825,21277.2266,1099.3602,382.2088,,,0.4262,33.8248,19104.0903,987.0777,382.2088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5760298216117562
66,12641,#12641 383.2040@35.496 MS1+,1,+,35.496,51334.4766,7776.9837,383.204,,,0.4262,35.4955,46091.4618,6982.6863,383.204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5760298216117562
67,11459,#11459 467.1678@25.859 MS1+,1,+,25.859,60265.6758,6953.1669,467.1678,,,0.4262,25.8587,54110.4786,6243.0095,467.1678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5760298216117562
68,10583,#10583 410.2010@20.560 MS1+,1,+,20.56,26296.9551,4229.9361,410.201,,,0.4262,20.56,23611.132,3797.9142,410.201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5760298216117562
69,10591,#10591 453.2098@20.560 MS1+,1,+,20.56,13153.1064,2252.0876,453.2098,,,0.4262,20.56,11809.7221,2022.0721,453.2098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5760298216117562
70,11436,#11436 379.0699@25.706 MS1+,1,+,25.706,169911.5938,25563.9198,379.0699,,,0.4262,25.706,152557.779,22952.9648,379.0699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5760298216117562
71,11483,#11483 384.2592@25.974 MS1+,1,+,25.974,151225.6875,16442.2415,384.2592,,,0.4262,25.9738,135780.3462,14762.9234,384.2592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5760298216117564
72,12100,#12100 369.1608@32.037 MS1+,1,+,32.037,131926.2656,17390.3154,369.1608,,,0.4262,32.0367,118452.0587,15614.1664,369.1608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5760298216117564
73,20408,#20408 442.1471@9.940 MS1+,1,+,9.94,743983.625,93089.2936,442.1471,,,0.4059,,,,,,,,,9.9403,675101.3097,84470.5474,442.1471,9.8826,7977.4594,771.1273,442.1468,,,,,,,,,9.9344,17418.5992,1930.1084,442.1472,,,,,,,,,,,,,,,,,9.9066,11480.3772,1506.3119,442.1473,,,,,,,,,,,,,,,,,0.5767795078832872
74,18196,#18196 414.2151@33.534 MS1+,1,+,33.534,290039.0313,26881.3604,414.2151,,,0.0947,,,,,33.5567,291967.7295,45077.6444,414.215,33.591,117095.6994,9795.7918,414.2153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.534,353818.2938,32792.5419,414.2151,,,,,,,,,,,,,33.6273,274887.8681,41431.9476,414.215,,,,,0.5770975453841025
75,17557,#17557 467.1676@27.647 MS1+,1,+,27.647,55647.5234,6208.2139,467.1676,,,0.4159,,,,,27.6678,25183.3867,712.4026,467.1678,27.6258,27182.1331,2358.8314,467.1673,,,,,,,,,,,,,,,,,27.6363,49510.7031,5668.6886,467.1677,,,,,,,,,27.7293,33906.4608,1902.0728,467.1673,,,,,,,,,27.6465,52878.3175,5899.2725,467.1678,27.7103,24557.8061,2485.8964,467.1676,,,,,0.5801559781062797
76,19735,#19735 399.1445@6.994 MS1+,1,+,6.994,1121066.25,228908.8807,399.1445,,,0.4262,,,,,,,,,6.9936,1017271.4401,207715.17,399.1445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5812371533845144
77,20905,#20905 352.1478@12.373 MS1+,1,+,12.373,18411.9746,2323.5171,352.1478,,,0.4262,,,,,,,,,12.3734,16707.2873,2108.3924,352.1478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5812371533845144
78,20893,#20893 442.1471@12.173 MS1+,1,+,12.173,10706.3379,1655.2512,442.1471,,,0.4262,,,,,,,,,12.1727,9715.0831,1501.9984,442.1471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5812371533845144
79,23273,#23273 467.1678@25.228 MS1+,1,+,25.228,47688.2109,7144.5408,467.1678,,,0.4262,,,,,,,,,25.2278,43272.96,6483.0578,467.1678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5812371533845144
80,24182,#24182 412.2846@34.281 MS1+,1,+,34.281,21457.4238,3813.669,412.2846,,,0.4262,,,,,,,,,34.2812,19470.7712,3460.5774,412.2846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5812371533845144
81,21140,#21140 361.0829@13.462 MS1+,1,+,13.462,15307.5898,2427.1834,361.0829,,,0.4262,,,,,,,,,13.4615,13890.3245,2202.4607,361.0829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5812371533845144
82,65859,#65859 428.0366@9.977 MS1+,1,+,9.977,33026.4492,3444.938,428.0366,,,0.4262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9771,31382.9432,3273.5064,428.0366,,,,,,,,,0.5829337878597637
83,66496,#66496 439.2437@14.927 MS1+,1,+,14.927,2749.0806,346.6911,439.2437,,,0.4262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.9269,2612.2772,329.4386,439.2437,,,,,,,,,0.582933787859764
84,66462,#66462 380.1816@14.696 MS1+,1,+,14.696,4587.8857,841.748,380.1816,,,0.4262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.6961,4359.5773,799.8598,380.1816,,,,,,,,,0.582933787859764
85,67162,#67162 410.2009@20.793 MS1+,1,+,20.793,16931.7754,2850.4647,410.2009,,,0.4262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.7927,16089.1939,2708.6161,410.2009,,,,,,,,,0.582933787859764
86,66179,#66179 508.0030@11.984 MS1+,1,+,11.984,33224.8555,6698.8361,508.003,,,0.4262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.9835,31571.4761,6365.4797,508.003,,,,,,,,,0.582933787859764
